baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN134151_c0_g1_i2	10.6088431867981	-6.93392086693324	1.65094728720287	-4.19996502655218	2.66956212192374e-05	0.00389474772965704
TRINITY_DN2445_c0_g1_i45	11.2660541190364	-22.9995741735835	2.611847827868	-8.80586300939194	1.29849560933446e-18	3.29009464228612e-16
TRINITY_DN2024_c0_g1_i11	23.8265715726265	-24.0107724843881	2.66150486808676	-9.02150237344801	1.85527224984952e-19	1.33805861482432e-16
TRINITY_DN1633_c0_g1_i1	15.9744243656408	-23.4295933222996	2.62865169819682	-8.9131600578242	4.95983039844105e-19	2.3041348942442e-16
TRINITY_DN478_c0_g1_i7	16.3072327079913	-23.5041674555411	2.46360054579574	-9.54057568125324	1.42041613897465e-21	1.59206102891138e-18
TRINITY_DN14179_c0_g1_i1	728.653383387269	13.0243825437975	2.44362176943985	5.32995028391118	9.82396560126544e-08	1.65560783532734e-05
TRINITY_DN49403_c0_g1_i1	31.4092787431459	-24.3489915513077	2.68504845309525	-9.06836207117189	1.20819489421077e-19	9.47936289610059e-17
TRINITY_DN3420_c0_g1_i50	27.4531473257261	-24.2119893353024	2.67087511845319	-9.0651895957324	1.24387736808811e-19	9.54716441226147e-17
TRINITY_DN21622_c0_g1_i1	13.7592838278276	-23.2375780332728	2.62084780578366	-8.86643550304309	7.55246553834558e-19	2.45209809521735e-16
TRINITY_DN197627_c0_g1_i2	6.71927498268423	-22.3031362632499	2.96205282519177	-7.52962137392198	5.08876646104838e-14	8.87242138553109e-12
TRINITY_DN22418_c0_g1_i81	12.1361295324381	-23.0973326799962	2.61515605243791	-8.83210493632467	1.02724004279904e-18	2.77917628897198e-16
TRINITY_DN1332_c0_g1_i7	12.1013780394239	-23.0972986699047	2.60732276215409	-8.85862655946072	8.10062376614407e-19	2.45209809521735e-16
TRINITY_DN40603_c1_g1_i1	8.38759354183522	-22.5973030155728	2.9616558561754	-7.62995571158439	2.34834373216852e-14	4.24101268438914e-12
TRINITY_DN313791_c1_g1_i1	27.1689247822846	7.61942093190157	1.70145687658167	4.47817457895815	7.52840242642003e-06	0.00118134017897066
TRINITY_DN17100_c0_g1_i16	22.2005996975792	-23.9162153371458	2.49041926581384	-9.60328875761818	7.74334416797262e-22	1.08093025360431e-18
TRINITY_DN6697_c0_g1_i8	12.9511233919821	-23.1939426724003	2.61080049834623	-8.88384336033801	6.4589217928919e-19	2.43962458341871e-16
TRINITY_DN4486_c0_g1_i35	34.7162738944963	-24.5338512002625	2.51838486087426	-9.74189909629047	1.99785248677365e-22	6.71782655469276e-19
TRINITY_DN11518_c0_g1_i13	377.177482042903	-8.31964939278479	1.75827021655634	-4.73172400604	2.22620965534553e-06	0.000358085062398437
TRINITY_DN8005_c0_g1_i7	7.53194570109342	-22.4590831809899	2.79865486439374	-8.02495636983629	1.01562033325608e-15	2.03738632364237e-13
TRINITY_DN12147_c0_g1_i5	10.1554511113944	22.4613499117324	2.95154747377391	7.61002494837492	2.74043018675086e-14	4.9114212379959e-12
TRINITY_DN1001_c5_g1_i39	9.78715170940376	-22.8043316659498	2.84832993937229	-8.00621141207236	1.18296291590997e-15	2.35302986989156e-13
TRINITY_DN69356_c0_g1_i2	3458.14895286718	7.00514581575747	1.51355366799209	4.6282771228394	3.68720399107949e-06	0.000586406611311027
TRINITY_DN23259_c0_g1_i7	8.8017547601937	22.2671449483415	2.72705323465915	8.16527696098483	3.20698563204169e-16	6.75984705777194e-14
TRINITY_DN2699_c0_g1_i22	18.0291987478188	-23.6316168547279	2.63852986826935	-8.95635753035012	3.35580587859593e-19	1.92653268703492e-16
TRINITY_DN2762_c0_g1_i2	17.178733016876	-23.5698579704225	2.4510454209897	-9.61624691594057	6.82770135224848e-22	1.02579675656664e-18
TRINITY_DN2308_c0_g1_i2	11.4760173974993	-23.0266932040738	2.61221860459911	-8.81499471886952	1.19690703568213e-18	3.0958680040521e-16
TRINITY_DN2941_c0_g1_i8	12.1954014701882	-23.1003368203858	2.61234464685334	-8.84276002716982	9.33826496631212e-19	2.62710320345099e-16
TRINITY_DN14905_c5_g1_i1	7.8318233217928	-22.5125350527284	2.96176988736025	-7.60104123848503	2.9375747343209e-14	5.25141682821776e-12
TRINITY_DN193_c0_g1_i3	18.4180210520768	-23.641259780506	2.45189996467268	-9.64201644485196	5.31338182468208e-22	8.93318644729228e-19
TRINITY_DN5533_c1_g1_i29	18.0642053241184	-23.6459558002434	2.63639129156651	-8.96906156376859	2.9905138375876e-19	1.81479401960051e-16
TRINITY_DN1575_c0_g1_i11	17.522331643149	-23.6041699163644	2.63460065191163	-8.95929707572096	3.26754703666833e-19	1.90687023884513e-16
TRINITY_DN6100_c0_g1_i19	17.8346324663848	-23.6282658171417	2.64333819896032	-8.93879785281929	3.93426788176516e-19	2.05785524396358e-16
TRINITY_DN11645_c0_g1_i16	6.68508442163151	-21.8838824278607	2.96206202704087	-7.38805677534136	1.48990128544349e-13	2.5473704471918e-11
TRINITY_DN23187_c0_g1_i1	12.7193606700665	-23.1666381937844	2.61280973788066	-8.86656148662998	7.54392926921125e-19	2.45209809521735e-16
TRINITY_DN19611_c0_g1_i13	17.9937734872989	-23.6142586288504	2.96080329861597	-7.97562561480828	1.51610868730754e-15	2.96556738883234e-13
TRINITY_DN15851_c1_g1_i18	8.23103468917791	-22.5634336635239	2.96168628949189	-7.61844147490546	2.56756852521575e-14	4.61332611376742e-12
TRINITY_DN61782_c0_g1_i1	17.3755003901777	-23.5920678122274	2.6360784433093	-8.94968352406472	3.56502965100946e-19	1.9547180507829e-16
TRINITY_DN2576_c0_g1_i11	24.4959306347837	-8.14146266904195	1.92996588698725	-4.21844900157852	2.45988593372899e-05	0.0036112250610895
TRINITY_DN61_c0_g1_i6	13.138575981846	-23.2084542359894	2.6176009556313	-8.86630721388627	7.56116783008337e-19	2.45209809521735e-16
TRINITY_DN3763_c19_g2_i2	8.58318698808928	-22.6329341331652	2.827245275054	-8.00529559032793	1.19180046115407e-15	2.35732789813648e-13
TRINITY_DN751_c0_g1_i6	22.7956259562304	-23.9541790395314	2.66078407326846	-9.00267679748492	2.20280075466363e-19	1.5249644087163e-16
TRINITY_DN669_c2_g1_i6	12.1572960315422	-23.1057094795961	2.61638015642018	-8.83117440823667	1.03582327392972e-18	2.79170186419844e-16
TRINITY_DN13336_c0_g1_i11	40.716194718552	24.3965060819808	2.40671767479031	10.1368375433177	3.79176423952836e-24	2.48198989297724e-20
TRINITY_DN3547_c0_g1_i7	21.1382467753307	-23.8593567726275	2.65399175955013	-8.98998901815424	2.47255137060771e-19	1.65107288039853e-16
TRINITY_DN12340_c0_g1_i11	53.9447875722732	-9.27995968243685	2.01573059941103	-4.60376981187284	4.14911049531125e-06	0.000658384582933513
TRINITY_DN7025_c0_g1_i4	10.5551904476108	-22.9135006299446	2.63136732886428	-8.70783047984195	3.09746081764884e-18	7.38922299718371e-16
TRINITY_DN2252_c0_g1_i43	12.2791627081877	-23.1182965221013	2.60741557133939	-8.86636437099506	7.55728944549236e-19	2.45209809521735e-16
TRINITY_DN622_c0_g1_i16	24.0526689340521	8.33926689202384	1.8461477822693	4.51711773678982	6.26870541576569e-06	0.000988062713222015
TRINITY_DN1710_c0_g1_i2	32.1843565176085	-8.53498155583114	1.91285682222703	-4.46190298022114	8.12350062178182e-06	0.00126908130399531
TRINITY_DN582_c2_g1_i13	15.2420592312896	-23.3633679159158	2.63260883072161	-8.87460668036726	7.01809883690558e-19	2.45209809521735e-16
TRINITY_DN92015_c0_g1_i12	7.33346742723112	-22.398941437513	2.79482011317227	-8.01444834747845	1.10632441540301e-15	2.20680468770771e-13
TRINITY_DN1801_c1_g2_i17	9.04925199228664	-22.7108305652672	2.96153995679198	-7.66858826712176	1.7389967288348e-14	3.18123772054953e-12
TRINITY_DN1465_c9_g1_i7	169.560464066118	8.74311756790325	2.05514437427559	4.25425954368052	2.09741910463061e-05	0.00314448100287221
TRINITY_DN15271_c0_g1_i9	11.9414990277246	-23.0515521325745	2.61243770171603	-8.82377103860987	1.10668382669218e-18	2.89430611311907e-16
TRINITY_DN2516_c7_g1_i4	14.4290601178585	-23.3365099542875	2.62370746934115	-8.8944786059353	5.86942155814845e-19	2.42372786248852e-16
TRINITY_DN2930_c0_g1_i16	24.7867654181023	-24.0731922541428	2.48743157181947	-9.67793145623461	3.74210480809465e-22	7.88523665791683e-19
TRINITY_DN21373_c0_g1_i10	31.514020236896	-24.3918538061603	2.48754045781309	-9.80561089149254	1.06500610165227e-22	3.9580671503143e-19
TRINITY_DN78_c0_g1_i23	9.30388117198181	-22.7451995223476	2.96149859698935	-7.68030062397134	1.58715685481959e-14	2.91859132784833e-12
TRINITY_DN5721_c0_g2_i10	10.9475881918725	-22.9604512924521	2.61110030999292	-8.79340069953666	1.45099847345682e-18	3.58249493727995e-16
TRINITY_DN305842_c0_g1_i8	9.73508983386908	-21.9598735047936	2.46213337558387	-8.91904302283626	4.70334643089332e-19	2.26089685125455e-16
TRINITY_DN5560_c0_g1_i2	9.95042330777516	-22.8153060612158	2.63404725243688	-8.6616920179045	4.64812750531572e-18	1.09771982452461e-15
TRINITY_DN17237_c0_g1_i10	13.5975333376702	-23.256454366324	2.61624038874672	-8.88926509442996	6.15144069954759e-19	2.43962458341871e-16
TRINITY_DN7602_c0_g1_i13	12.2803230332146	-23.0860149797234	2.61048233739072	-8.84358214152822	9.26977998958583e-19	2.62134818014384e-16
TRINITY_DN932_c0_g1_i5	59.9725216967204	8.98750083594266	1.72583912965621	5.20761215892292	1.91286217210345e-07	3.19321363023028e-05
TRINITY_DN21015_c0_g1_i12	15.4920049042449	-23.3716479082499	2.46212652412926	-9.49246420896888	2.25636094620015e-21	2.34306493373576e-18
TRINITY_DN2157_c0_g1_i18	135.053937822087	-9.34383041080531	2.21017418180997	-4.22764435839777	2.36150663017408e-05	0.00349473021017338
TRINITY_DN628_c0_g1_i5	82.5970359067809	-25.7166630544699	2.57084710494072	-10.0031865002967	1.47570606423671e-23	8.01569479338054e-20
TRINITY_DN648_c0_g1_i6	11.7313392615856	-23.0554238681984	2.60520176134774	-8.84976519295428	8.77036224628375e-19	2.5590974764332e-16
TRINITY_DN193_c0_g1_i7	10.0961608657723	-22.4836525358584	2.96138532960709	-7.59227524735575	3.14336404306467e-14	5.57694384856597e-12
TRINITY_DN33182_c0_g1_i4	19.243249639645	-23.1697284131217	2.64070985863522	-8.77405305901206	1.72347959397173e-18	4.22569668642797e-16
TRINITY_DN6061_c5_g1_i4	16.9726948135927	-23.5605712242998	2.96084807048459	-7.95737257144833	1.75730952978825e-15	3.39969583087501e-13
TRINITY_DN896_c6_g1_i10	20.6134357795579	23.4512648987151	2.79501331970101	8.39039468378052	4.84512800451227e-17	1.08958287828862e-14
TRINITY_DN19455_c1_g1_i11	16.5336477014991	23.1419246785249	2.58023995118784	8.96890410051643	2.99479162453351e-19	1.81479401960051e-16
TRINITY_DN52936_c0_g1_i3	13.8019497044756	-23.2760539486379	2.62538184321932	-8.86577851856253	7.59713567363562e-19	2.45209809521735e-16
TRINITY_DN400_c1_g1_i1	8.69136162156782	-22.6523776758529	2.96160102865984	-7.64869320905908	2.03031983734312e-14	3.67607627370025e-12
TRINITY_DN35979_c0_g1_i24	7.67248180634569	-22.4833914348593	2.96180571575968	-7.5911094759612	3.17177826261704e-14	5.61325259293676e-12
