"kMEblack"	"kMEbrown"	"kMEcyan"	"kMEmagenta"	"kMEpink"	"kMEred"	"kMEtan"
"TRINITY_DN21460_c0_g1_i38"	-0.77259421647888	0.970265195547212	-0.102507489668357	-0.399147007073456	0.577729693237732	0.38320910670167	-0.397964563990286
"TRINITY_DN5656_c11_g1_i8"	0.755593285836868	-0.67209229005743	-0.0437087910939435	0.156877713609728	-0.47559930681931	-0.580653901293766	0.407920948392923
"TRINITY_DN5644_c12_g1_i16"	0.930323098569179	-0.776556132669685	0.02658366327808	0.410897647244235	-0.704858644049474	-0.519039742754281	0.424074903971515
"TRINITY_DN5644_c14_g1_i3"	0.802916881338641	-0.6181812357938	0.089364224700714	0.468705290047784	-0.735978189919673	-0.272756411347634	0.119838331933938
"TRINITY_DN5644_c0_g1_i9"	0.904269001257179	-0.759169635900527	0.00775194977864561	0.379055768731108	-0.720691128330605	-0.559935824120913	0.41032593775662
"TRINITY_DN5644_c7_g1_i1"	0.911573246304186	-0.570574870084991	-0.0891279633603972	0.3065393928599	-0.686926127773432	-0.490851383578663	0.234722345263482
"TRINITY_DN5644_c10_g1_i4"	-0.729524687349657	0.818482430537578	-0.0762086185389294	-0.476274258295182	0.768312975998221	0.137311133997753	-0.444770858340708
"TRINITY_DN5614_c0_g1_i8"	0.317277669158432	-0.52830045407144	0.153695894432669	0.141721057229673	-0.337207924939606	-0.257296302703599	0.500274049354454
"TRINITY_DN5651_c0_g1_i3"	0.913101804685029	-0.682709710873105	-0.133038786314063	0.157595639021252	-0.682100845846433	-0.535944800468447	0.442996157964378
"TRINITY_DN5612_c17_g1_i3"	0.369137972426226	-0.606075781641411	0.21183932966363	0.178215032887886	0.141865275585099	-0.687718672377149	0.259134720720235
"TRINITY_DN5612_c10_g4_i2"	0.954414089446667	-0.654243527750473	-0.271222877677825	0.211626678504972	-0.702237415474769	-0.551632292947195	0.380568400201549
"TRINITY_DN5612_c12_g1_i1"	0.838898588358498	-0.584793929902089	0.0808527559661255	0.550087460904816	-0.720587700161915	-0.459700049041064	0.329678695189912
"TRINITY_DN5608_c1_g1_i1"	-0.681671006598842	0.934626658245465	0.0153876792603087	-0.366444362161202	0.598231542270332	0.317054177907714	-0.373709384780039
"TRINITY_DN5621_c1_g1_i1"	-0.553996248393775	0.864057352893864	0.0098933662085758	-0.313955083474949	0.614716711620478	0.169632055454964	-0.431292133909125
"TRINITY_DN5600_c0_g1_i13"	-0.71491837096575	0.950700005722973	-0.0678700521842021	-0.294662156251719	0.514757499447344	0.381239418624467	-0.579577124290423
"TRINITY_DN5600_c0_g1_i7"	-0.624146265626723	0.907806662442348	-0.144396153997965	-0.379184363570246	0.30353450671701	0.464135282544701	-0.241306659662052
"TRINITY_DN5632_c0_g1_i10"	0.938110972722428	-0.618484647725393	-0.147556944247115	0.297270958852095	-0.808339361751043	-0.360779588045708	0.303359235331264
"TRINITY_DN5632_c0_g3_i1"	0.796983578361811	-0.668943997820685	0.0627517126539637	0.490070611712259	-0.789183870031532	-0.412214080480531	0.534007808326194
"TRINITY_DN5632_c0_g2_i2"	0.727874127631929	-0.447319330602822	-0.0191408827916534	0.328196596336258	-0.544488451094612	-0.287075505071663	0.144908915928769
"TRINITY_DN5601_c0_g1_i10"	0.604618279323666	-0.290183952639808	-0.212907245436513	0.0536094254481833	-0.490264979614831	0.0150630587275678	0.105187228645451
