,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,G01,FAM,Hemato,Unkn-31,31-G12,,38.5064313838296,38.402270752264,0.147305377825346,0.858416091735681,-0.0663021497484115,0.924860283967285,0.0939662777948604,72,
,G02,FAM,Hemato,Unkn-31,31-G12,,38.2981101206985,38.402270752264,0.147305377825346,0.99130447619889,-0.00379293277649364,0.924860283967285,0.0939662777948604,72,
,F01,FAM,Hemato,Unkn-26,31-G12,,27.0107591407983,26.9064681179645,0.147489778925285,2416.06134430348,3.38310795691692,2603.32371590342,264.828985638785,72,
,F02,FAM,Hemato,Unkn-26,31-G12,,26.8021770951308,26.9064681179645,0.147489778925285,2790.58608750336,3.4456954247208,2603.32371590342,264.828985638785,72,
,E07,FAM,Hemato,Unkn-24,32-C04,,20.0670743727509,19.9627746590705,0.147502069638429,292847.350886451,5.46664129972952,315547.187007365,32102.4161058441,72,
,E08,FAM,Hemato,Unkn-24,32-C04,,19.8584749453901,19.9627746590705,0.147502069638429,338247.02312828,5.52923398311253,315547.187007365,32102.4161058441,72,
,E03,FAM,Hemato,Unkn-22,38-G02,,36.0749552730861,36.2022054597693,0.179958939821928,4.6056457013692,0.663290525929878,4.23432294809618,0.525129673696426,72,
,E04,FAM,Hemato,Unkn-22,38-G02,,36.3294556464526,36.2022054597693,0.179958939821928,3.86300019482316,0.586924730047647,4.23432294809618,0.525129673696426,72,
,E11,FAM,Hemato,Std-11,,,30.0673282742641,30.2365031034606,0.239249337861855,300,2.47712125471966,300,0,72,
,E12,FAM,Hemato,Std-11,,,30.4056779326571,30.2365031034606,0.239249337861855,300,2.47712125471966,300,0,72,
,B05,FAM,Hemato,Unkn-08,32-B01,,19.0055482189344,19.1761742899838,0.241301703772524,609767.907785359,5.7851645636199,545729.098408268,90564.5527393069,72,
,B06,FAM,Hemato,Unkn-08,32-B01,,19.3468003610332,19.1761742899838,0.241301703772524,481690.289031177,5.68276789094245,545729.098408268,90564.5527393069,72,
,B03,FAM,Hemato,Unkn-07,31-H08,,29.6962994578231,29.8881791152361,0.271358813857021,377.816014439626,2.57728036236125,333.818196141967,62.222311351376,72,
,B04,FAM,Hemato,Unkn-07,31-H08,,30.0800587726491,29.8881791152361,0.271358813857021,289.820377844309,2.46212891831321,333.818196141967,62.222311351376,72,
,C05,FAM,Hemato,Unkn-13,32-B03,,37.2221171979211,37.0268024950772,0.276216701692702,2.08483290703316,0.319071253333077,2.40779838798899,0.456742163346081,72,
,C06,FAM,Hemato,Unkn-13,32-B03,,36.8314877922333,37.0268024950772,0.276216701692702,2.73076386894482,0.436284148016721,2.40779838798899,0.456742163346081,72,
,D01,FAM,Hemato,Unkn-16,31-G07,,34.8142397599062,34.6060576396552,0.2944139779026,11.0048182129263,1.04158287289799,12.838890294928,2.59376961273666,72,
,D02,FAM,Hemato,Unkn-16,31-G07,,34.3978755194042,34.6060576396552,0.2944139779026,14.6729623769297,1.16651780396412,12.838890294928,2.59376961273666,72,
,C07,FAM,Hemato,Unkn-14,32-C02,,25.3381057041149,25.1136842040822,0.3173799290344,7673.73976384819,3.88500706707482,9068.74816605282,1972.83980202221,72,
,C08,FAM,Hemato,Unkn-14,32-C02,,24.8892627040495,25.1136842040822,0.3173799290344,10463.7565682575,4.01968762755012,9068.74816605282,1972.83980202221,72,
