"kMEblack"	"kMEcyan"	"kMEdarkgreen"	"kMEdarkorange"	"kMEdarkred"	"kMEdarkturquoise"	"kMElightcyan"	"kMElightyellow"	"kMEred"	"kMEroyalblue"
"TRINITY_DN5632_c0_g1_i10"	-0.766013577220213	0.332368967974693	0.524209074075422	0.0626301586088675	0.935234069420584	0.243337537797035	0.438288039761944	0.420406936770594	-0.326130961633895	-0.243238067122688
"TRINITY_DN5632_c0_g3_i1"	-0.809479321975459	0.638695186901032	0.660474708031162	0.294091523691846	0.752519749933017	0.136469964053346	0.624758507044888	0.0677349279404094	-0.337837820247661	0.0084747740940766
"TRINITY_DN5632_c0_g2_i2"	-0.601790950419441	0.00877214787700564	0.489950207240381	-0.466210340910787	0.698458784101771	0.167873583142955	0.521312253635109	0.239017452816628	-0.245857586141363	-0.0295194599122663
"TRINITY_DN5601_c0_g1_i28"	-0.403208265326629	0.327697624815149	0.61383233681828	-0.259629430791859	0.549361588990301	0.945091658214039	-0.114540865389278	-0.0494404443943193	-0.216318323704515	-0.245895728881645
"TRINITY_DN5662_c12_g1_i7"	-0.196742251969514	-0.0421552012328494	0.465198295571467	-0.364283530170649	0.489274895910091	0.430141680023031	0.067073647857385	-0.0445404098445275	0.0623686750726088	-0.323204269789337
"TRINITY_DN5662_c0_g2_i2"	-0.611167975529823	0.0529351465889218	0.575427223891648	-0.43771352787553	0.809901005240934	0.710062380498181	0.243432005473875	0.309899478230277	-0.483744776987452	-0.0828409855104188
"TRINITY_DN5662_c1_g1_i17"	-0.684068614738316	0.224660782953239	0.248036115834263	0.00461772585765506	0.51273762722308	-0.347323499122772	0.77478667133856	0.299483231010976	-0.319454616999025	0.30257457527687
"TRINITY_DN5662_c21_g2_i1"	0.906616357688837	-0.444414511081674	-0.652298172166466	0.0264799425329596	-0.871570951621324	-0.362910451282102	-0.467065770921567	-0.220635488008542	0.169184837710613	0.225902332338098
"TRINITY_DN5622_c0_g1_i7"	-0.753147147127874	0.390302822287339	0.730560547686851	-0.069851893238056	0.959888178691992	0.488852346691252	0.442734725563025	0.206868066770368	-0.374008643985069	-0.203921753821088
"TRINITY_DN5637_c1_g1_i4"	-0.44071398579679	-0.024066728808374	0.545806846990574	-0.525751798547202	0.737113828693596	0.598149361025244	0.153912474069029	0.186136458551769	-0.208395613440473	-0.259350021475902
"TRINITY_DN5616_c8_g1_i1"	-0.571874457903567	0.318138610315516	0.714887817520605	-0.0898438681080788	0.878464134515042	0.577577224325658	0.252000966174602	0.130625323077332	-0.306109853104807	-0.407829053926612
"TRINITY_DN5616_c0_g1_i3"	-0.606121343762611	0.337723323991757	0.474532639208384	0.177614257969805	0.765254486971509	0.176717155009458	0.509772026997284	0.318080741419491	-0.753374592451958	-0.0123358200629689
"TRINITY_DN5616_c0_g1_i12"	-0.512112131347142	0.183193972131679	0.566602971017128	-0.375656866626674	0.785541328856951	0.432843237113112	0.250151957253605	0.180320910001037	-0.217216499040237	-0.296565645841407
"TRINITY_DN5616_c11_g1_i1"	-0.486693773817574	0.337244132350561	0.778325898356737	-0.0340875447100573	0.776130669544066	0.645506237333861	0.248494582828178	-0.0294076466352612	-0.34717846315234	-0.293327681782055
"TRINITY_DN5616_c0_g2_i8"	-0.894924269191379	0.405729180276001	0.642842147886192	-0.0522784986907017	0.911109830068713	0.511959843784085	0.432473665959535	0.324516571304854	-0.505769214444146	-0.0640184804371804
"TRINITY_DN5616_c0_g3_i1"	-0.568162142018228	0.39460068441657	0.663369686900327	-0.251364959155994	0.579734145205813	0.504921320952525	0.322740646481623	-0.0783959340981336	-0.0950365956095476	-0.0246433742813412
"TRINITY_DN5616_c0_g3_i5"	-0.67506035018688	0.386524156531401	0.681209792458285	0.113443371690766	0.903592103303296	0.562572213185226	0.356601704927871	0.259790957650641	-0.659582476699843	-0.197122822516478
"TRINITY_DN5639_c1_g1_i1"	0.796938754284645	-0.511293734738952	-0.818046295031601	-0.0146208098133569	-0.694841053821457	-0.365742347176694	-0.591941271239932	0.180498566524296	0.175036829959804	-0.0455562840298545
"TRINITY_DN5605_c6_g1_i1"	-0.348472247746327	0.0470547039090882	-0.364717428704826	0.16927677458889	0.399176746425264	0.0524915393545102	-0.295998693377804	0.933731791113965	-0.304619167171216	-0.394302074615993
"TRINITY_DN5628_c1_g1_i17"	-0.820418159030515	0.502315176823662	0.491135019215152	0.200771052641876	0.82781697854567	0.212921294515144	0.49448599451371	0.404843146870021	-0.494380080821718	-0.072032466540572
"TRINITY_DN5631_c0_g1_i2"	-0.454085503480451	0.0409644276243442	0.58260872918027	-0.439157691256917	0.637366864125674	0.0088168192226677	0.716003127583464	0.0148407947802435	-0.221979447785865	0.100026783685907
"TRINITY_DN37816_c0_g1_i1"	0.828450590773815	-0.358557715798713	-0.370042580223108	-0.122092269400437	-0.547078539195856	-0.265121634711147	-0.367565969163979	-0.260971021720927	0.358659592401578	-0.119513595372542
"TRINITY_DN37884_c0_g1_i2"	0.910518497987466	-0.385314093657625	-0.421044059350421	-0.026174726432795	-0.624229560440514	-0.299418104031547	-0.397933896743857	-0.277260999662692	0.362327263686943	-0.0493925221220078
"TRINITY_DN37868_c0_g1_i2"	0.92364275816433	-0.367896103698955	-0.425187877364511	0.0467650869299953	-0.631827927420774	-0.304537223883497	-0.380378837412871	-0.265499585276174	0.325016940914329	0.131666981143975
"TRINITY_DN37855_c0_g2_i3"	-0.706595260104409	0.437069820933017	0.443768303110212	0.0859647724749666	0.730460830795343	0.419283842020713	0.229668739260052	0.357688158890002	-0.0468273998798422	-0.233894141888958
"TRINITY_DN37821_c0_g1_i10"	0.885633175840006	-0.450992666133593	-0.553017400916457	-0.122550498746825	-0.629248358161618	-0.333552745235883	-0.488352543839137	-0.14917127051336	0.509893000778499	-0.119021576685464
"TRINITY_DN37814_c0_g1_i3"	0.358441731370697	-0.228564124178527	-0.32649466432029	7.6081552301252e-05	-0.492115966346285	-0.270073455549667	-0.295834222902394	-0.258400897287149	0.987871617004148	-0.0916363104949511
"TRINITY_DN37883_c1_g2_i7"	0.884214335396641	-0.322705480927947	-0.339850064296659	-0.0136393323596444	-0.724145933429423	-0.292480770175845	-0.271147106670194	-0.453709919725678	0.368263628483706	0.175472849493504
"TRINITY_DN37810_c0_g1_i7"	-0.682693955542693	0.15887930004092	0.647469416548058	-0.255099665844333	0.863760894106901	0.219270220775155	0.641389156457465	0.192720659218621	-0.289421359685195	-0.0337554378419188
"TRINITY_DN37828_c1_g1_i1"	0.709713089014927	-0.340359661031116	-0.540813642141235	0.139225609011036	-0.848057855028668	-0.312146148830889	-0.364998300564863	-0.288206545378318	0.117594586503962	0.231760130074149
"TRINITY_DN79355_c0_g1_i7"	0.906853896033645	-0.473511648771905	-0.472134194972193	-0.0949304886409997	-0.607013014272396	-0.3763472453891	-0.372101025108707	-0.211105455931539	0.348314933164105	-0.0333559605154845
"TRINITY_DN79315_c0_g2_i1"	0.837428584011886	-0.479618561610334	-0.62910105612275	-0.00249093742056161	-0.815991249627246	-0.252903370864797	-0.504500668563554	-0.171194404434934	0.0932797761885296	0.156434311501109
"TRINITY_DN63028_c0_g1_i2"	0.946258376506768	-0.634176759196581	-0.463167822519622	-0.26146501667499	-0.705613322564346	-0.327744437751417	-0.319148181621213	-0.29783535879658	0.290725617101064	0.130099051906717
"TRINITY_DN28797_c0_g3_i7"	-0.280157873738047	-0.0724945626425179	0.595738627609374	-0.4666158731035	0.493634239092417	0.549432933457706	0.124267956764129	-0.184817738021367	0.1363922769961	-0.191498005815258
"TRINITY_DN28742_c0_g1_i10"	-0.632542735133255	0.26679150016085	0.478469741902038	-0.118410593238946	0.923412750329271	0.637617805284548	0.0908895081869769	0.510960452741737	-0.49828141458198	-0.396631325429061
"TRINITY_DN28742_c0_g1_i2"	-0.46698748282969	0.182305040905014	0.511567527762156	-0.39972682522401	0.571132555624377	-0.00855867692533095	0.64034430007047	0.0486004805248396	-0.287723374941057	0.108058155835026
"TRINITY_DN28708_c1_g1_i6"	0.70673231268739	-0.343149924926748	-0.554252639926402	0.0612755635359256	-0.874548159109528	-0.31399572071197	-0.367066988987025	-0.303330414447468	0.111754039963145	0.274826498460595
"TRINITY_DN28708_c2_g2_i1"	0.714873154867959	-0.274352721233568	-0.410774704354178	0.176836432381837	-0.630130436960356	-0.26663069713235	-0.285848619110416	-0.214782261989123	0.111698517136812	0.450748531181654
"TRINITY_DN28779_c0_g1_i3"	-0.547434044389683	0.0484896614171075	0.71360434795764	-0.537967205588413	0.718090688756453	0.358113412899147	0.596550737315	-0.0105449405219979	-0.286454916559307	0.0270337632557712
"TRINITY_DN28779_c0_g1_i9"	-0.541511806005876	0.231007793328701	0.596835977390987	-0.359720796007083	0.668587890116192	0.66542851582838	0.168970732555329	0.11615698166575	-0.189357720320426	-0.148223533263996
"TRINITY_DN28779_c0_g1_i2"	-0.262708708655279	0.231515786590053	0.62081336727186	-0.180790097256309	0.427553303803567	0.976304220495734	-0.166953306815838	-0.179095187815482	-0.297468626003143	-0.205879513904891
"TRINITY_DN28721_c2_g2_i1"	0.832450797666273	-0.321820312460464	-0.446429598535869	0.138759116348093	-0.679615540663348	-0.298534352129831	-0.336335624459154	-0.248669844689913	0.199096870036934	0.38920638741464
"TRINITY_DN28760_c7_g1_i1"	0.958239910501995	-0.436003321411849	-0.454487223579485	0.0318497443422099	-0.758916920501539	-0.231160216163406	-0.45125937775443	-0.343466987326444	0.250020094363219	0.202901418958153
"TRINITY_DN28770_c0_g1_i2"	-0.426155368185144	-0.0648482638372894	0.504391372864859	-0.210402718831601	0.291846224740494	-0.291600337089325	0.981575541968217	-0.267237219430427	-0.224696334924297	0.605069182955567
"TRINITY_DN28791_c8_g1_i1"	0.829442446965194	-0.440973688942646	-0.4308726841703	-0.144629328417441	-0.499851139535969	-0.334864131041817	-0.367425119793974	-0.15241667232978	0.368682770416494	-0.147882379833649
"TRINITY_DN28777_c0_g2_i1"	0.89417926427135	-0.469359947309574	-0.646940461270831	-0.0145605722265541	-0.82160429611505	-0.212030955625755	-0.564607709033449	-0.144397928392577	0.169814203263315	0.133108166034538
"TRINITY_DN28777_c1_g1_i1"	0.968144995267211	-0.422693177211185	-0.575564163631736	0.0338585742942503	-0.885074181694311	-0.365173030475573	-0.446853302780999	-0.341060774672077	0.293708605614803	0.19767844535533
"TRINITY_DN28710_c0_g1_i8"	0.70915918074509	-0.389151392068579	-0.639617199722954	-0.0414583593890361	-0.801279283991769	-0.31455902971996	-0.410050564105762	-0.132464156475077	0.0343727884967544	0.309371551916316
"TRINITY_DN28710_c0_g1_i2"	0.740124901213436	-0.385228578913158	-0.622768946204021	0.0534402980113038	-0.777695469670829	-0.317699295727889	-0.40607492579158	-0.12494125382669	0.046448551194549	0.32156204466753
"TRINITY_DN28769_c0_g1_i1"	0.846537237572261	-0.479966664369951	-0.657775604030962	0.0268373971784731	-0.830490654924572	-0.284723469691036	-0.502135869212682	-0.135167016601998	0.0960388400561371	0.218161787310616
"TRINITY_DN28722_c2_g1_i1"	-0.632087331273262	0.365035132803747	0.61317380368082	-0.0199321887273894	0.940509904291505	0.487475302990078	0.276354348187318	0.322992406287239	-0.451479587722926	-0.358685828995687
"TRINITY_DN28767_c1_g1_i8"	0.76689701936645	-0.34571922502353	-0.301272031679983	-0.240931723618608	-0.534800459644768	-0.127649874805625	-0.344615224803176	-0.293424919411817	0.190195306635554	0.289365153689395
"TRINITY_DN28767_c1_g1_i5"	0.910503501923268	-0.357882905102238	-0.454889974479774	0.0440441937418176	-0.687234136410992	-0.311855815116047	-0.369885230061164	-0.273441075024937	0.263565966885137	0.308523255864785
"TRINITY_DN28783_c1_g1_i5"	0.892562744136748	-0.450310946536302	-0.660281834484832	0.0684949028767174	-0.853874185387224	-0.361754726676348	-0.476313181564014	-0.190477844373336	0.174301643567259	0.143519805252216
"TRINITY_DN28729_c0_g1_i3"	0.884314979792131	-0.384562799977708	-0.421246778240999	-0.105521506907598	-0.629093257062569	-0.292916677941929	-0.396441365649968	-0.286315832767453	0.360984742430029	-0.0719822636195628
"TRINITY_DN28789_c2_g1_i24"	-0.705230087348796	0.35829266874003	0.448301954995441	0.065644662306312	0.666025197809724	0.554431638428823	0.214098248685794	0.304856760020576	-0.494116610829861	-0.0600464821668602
"TRINITY_DN28789_c2_g1_i13"	-0.706319716707548	0.124702398372433	0.73234120831168	-0.408796206495631	0.729654905515002	0.247111818761977	0.81684642037241	0.0177911659282317	-0.527167382259308	0.313044884009477
"TRINITY_DN79407_c0_g1_i7"	0.863978971570029	-0.436477166614635	-0.38422198866419	-0.134791745967758	-0.643977584649473	-0.348809451329331	-0.298346003065296	-0.345497914536533	0.316487856017238	-0.0294729667575683
"TRINITY_DN79422_c1_g1_i1"	0.874850993475	-0.447857558898935	-0.491309678236122	-0.0983751443129354	-0.872296299507315	-0.186359784303496	-0.468731352608441	-0.398482114380106	0.177238428343271	0.27525382091468
"TRINITY_DN79478_c0_g1_i2"	-0.637815973414174	0.365621321467095	0.225861777869005	0.356513668751853	0.557076090685742	0.0709638894991072	0.251714044621464	0.407891555094366	-0.448392915584539	-0.445351958779556
"TRINITY_DN79478_c1_g1_i1"	-0.793079895020202	0.303074201464389	0.522525258615378	0.0760221395986427	0.933416743438318	0.253863259776846	0.462993240518144	0.462804560246137	-0.368216751463121	-0.228304667238713
"TRINITY_DN12483_c0_g1_i3"	-0.399508098631048	0.239493254364673	0.370787287147461	-0.12872975503064	0.716929011504689	0.7816047503651	-0.259549464499326	0.391252812822996	-0.241411938751155	-0.569365962895374
"TRINITY_DN12483_c2_g1_i1"	0.951826966515238	-0.479188395695439	-0.673956437552874	-0.0351353762770463	-0.866173014519702	-0.372664973868408	-0.503372851741922	-0.208910268951914	0.221771357437778	0.104374311060909
"TRINITY_DN12440_c0_g2_i1"	-0.715835306834356	0.383049473518207	0.717362434595883	-0.0441425087124951	0.852083189828143	0.607681997119854	0.249481842587702	0.0958238400926736	-0.0966570215619721	-0.276357289655245
"TRINITY_DN12479_c0_g1_i17"	-0.477530626050717	0.439390998043539	0.888737656386287	0.117854682755592	0.548093540968952	0.299699506872356	0.604844760813671	-0.475926884818946	-0.107377151528194	0.0501907680523698
"TRINITY_DN12479_c0_g1_i14"	-0.56553927622056	0.0136886150396103	0.520670640561383	-0.340751301048331	0.608889187153747	-0.0254249160442567	0.824434405763219	0.124537087137906	-0.607598418555154	0.365443137914894
"TRINITY_DN12479_c0_g1_i1"	-0.338909133024271	0.256796037298781	-0.248986047746845	0.320338788185728	0.466884705733604	0.0423495494179816	-0.162896566555965	0.863876245070526	-0.462710330608885	-0.347149484491865
"TRINITY_DN12400_c5_g1_i1"	0.633896499704561	-0.401425878096726	-0.226788941057457	-0.117838673475524	-0.332719424226556	-0.0275104002170715	-0.297371605296769	-0.121097876916251	-0.0335437587582961	0.251754268922365
"TRINITY_DN12487_c0_g1_i1"	-0.73239330875333	0.338313702019687	0.460119543160933	0.0814688611304895	0.91859607166529	0.414247371520948	0.237329471484456	0.484723590697724	-0.448141368164932	-0.300548280541748
"TRINITY_DN12419_c2_g1_i1"	-0.521320007183611	-0.167628354162113	0.291186680189913	-0.382382778334957	0.481299879582355	-0.240038674428655	0.740526933543999	0.237800542863686	-0.126545150108357	0.252777081203136
"TRINITY_DN12416_c0_g1_i2"	-0.822557309639163	0.340659604516981	0.690227433607925	-0.0820733587323684	0.940504351485212	0.438649587992818	0.485746674051203	0.249721074265255	-0.317141890206245	-0.142127529066211
"TRINITY_DN12416_c0_g1_i4"	-0.855493310071948	0.35150056620398	0.666750354151274	-0.00424866200256824	0.943999986696633	0.422503497842789	0.486695094356381	0.302195192403709	-0.350314692804664	-0.258784706145764
"TRINITY_DN96666_c3_g1_i2"	0.0423078489317322	-0.105823567055634	0.210940336798028	-0.231643416649568	-0.157450882713421	-0.25032323298163	0.591185076972736	-0.401359854084881	-0.146248788152426	0.962796324297519
"TRINITY_DN96656_c1_g2_i2"	-0.855266912831965	0.537690046265764	0.649983256452808	-0.00285621157337793	0.909741752132786	0.375723002150071	0.490916525486712	0.273456321054473	-0.41870604775241	-0.0471817683182369
"TRINITY_DN96656_c1_g3_i1"	-0.90896748912869	0.408627695067348	0.719120578188745	-0.047494130710293	0.768809258342869	0.246978612779941	0.685490703586401	0.0379261304673609	-0.261740381259215	0.139541381439268
"TRINITY_DN96678_c2_g1_i1"	-0.581188822666471	-0.0413370696101007	0.139874699500488	-0.2649678234545	0.708780178894285	0.346048208840481	0.149613120327834	0.749609173079517	-0.443146502719981	-0.179417636545236
"TRINITY_DN96677_c6_g1_i1"	0.739113121237398	-0.41208020930019	-0.491738058087314	0.0797890798527114	-0.577131675078411	-0.154820446952445	-0.434691386675199	-0.0640277058433597	0.0686425831130147	0.230337924588734
"TRINITY_DN4795_c0_g1_i22"	-0.444779951425801	-0.0358075774511754	0.498814952832598	-0.210265793973445	0.287562092127657	-0.295716282925809	0.977536923112049	-0.266770871507617	-0.168709963437482	0.590889462763047
"TRINITY_DN4715_c0_g1_i19"	-0.831877699273154	0.428307589249974	0.589196364910108	0.052751228798587	0.936847911089384	0.267511194947923	0.507528791527405	0.3790407580212	-0.43040969299615	-0.268635406821361
"TRINITY_DN4775_c4_g1_i1"	-0.43425765775835	-0.0540192308195617	-0.118446798985132	0.122136611083173	0.390978896998738	-0.375107293502994	0.459447536127224	0.621300333467171	-0.390914013454891	0.147143379817471
"TRINITY_DN4775_c2_g3_i2"	-0.480113327849264	-0.132010399050311	0.41916073432642	-0.420353140771512	0.789852011058287	0.310003777820855	0.358153052203206	0.433122974752271	-0.365114374563474	-0.192847218083309
"TRINITY_DN4791_c0_g1_i1"	-0.449019512537725	0.0761812684550148	0.628185284500551	-0.35764374269209	0.771108943963807	0.399198754470039	0.357430543393797	0.0948517863298464	-0.304255299623582	-0.221389838347952
"TRINITY_DN4718_c7_g1_i2"	-0.428010052391458	-0.0169407258074904	0.527445811155285	-0.21848255586799	0.306703553177495	-0.298992813961844	0.994806627257061	-0.276599926919379	-0.269729111992005	0.586970398687576
"TRINITY_DN4727_c0_g1_i6"	-0.239092685722796	0.0518279390264891	0.309214966314173	-0.174794694410437	0.531850440815483	0.518787535062945	-0.164110396854827	0.171876483802087	-0.0764691695265776	-0.432832830369762
"TRINITY_DN4778_c1_g1_i2"	0.283260900403566	-0.387323262914491	-0.381427990911375	-0.0811084639592936	-0.481108180945127	-0.357552367650785	-0.181781867851468	-0.133929012588931	0.921522752370607	-0.0166795630042253
"TRINITY_DN4766_c0_g2_i1"	-0.705064423898607	0.342409473614921	0.221166347143375	0.15074691452931	0.797673869619559	0.132442723167136	0.229441406425564	0.640921883874191	-0.347547972484888	-0.270539192618778
"TRINITY_DN4776_c5_g1_i2"	-0.481142548556416	0.547097078624502	0.341791981547086	0.329328661012429	0.589364089738129	0.784660668596437	-0.309415291965407	0.306205202564389	-0.314371601903434	-0.460311336685833
"TRINITY_DN4776_c5_g1_i7"	-0.262398526684341	-0.251965982459141	-0.140348668803692	-0.350663927300156	0.354486384203686	-0.318722147682714	0.423341320442125	0.605872250522635	-0.416540807124963	0.27315398099432
"TRINITY_DN4796_c0_g1_i5"	-0.435264090289633	-0.163507420882566	0.193998495750142	-0.383953350936249	0.668407164231587	-0.0397006818309548	0.474664119293054	0.542975886522488	-0.41088747315054	-0.0239849046374178
