"kMEblue"	"kMEcyan"	"kMEgreenyellow"	"kMEmagenta"	"kMEpurple"	"kMEtan"
"TRINITY_DN4718_c0_g1_i2"	0.587928121736144	-0.350063476288723	0.643896408579	0.318726405089523	-0.638685448903743	0.6797322612392
"TRINITY_DN4766_c0_g1_i1"	0.69895908985131	-0.00995126394486111	0.572987503147778	0.288562641229697	-0.791720267503753	0.758981231116915
"TRINITY_DN4781_c0_g1_i1"	0.390310594970724	-0.200227402183421	0.12478703851168	0.966824168210828	-0.562394585012309	0.25912092395936
"TRINITY_DN4743_c0_g1_i14"	-0.630139245937311	0.257029155848261	-0.539975126942084	-0.0698915148690948	0.820538681007348	-0.63298101034765
"TRINITY_DN4707_c0_g1_i2"	0.430983879989632	0.374348630447003	-0.0262466586498448	0.0089375046787476	-0.128771624608663	-0.321246228352406
"TRINITY_DN4780_c0_g1_i2"	-0.146650924102854	0.209861229812578	-0.0626739518890845	-0.459129723937312	0.299293875601455	-0.443169278747968
"TRINITY_DN4780_c0_g3_i3"	-0.917782012426269	0.122617817741148	-0.389579218661991	-0.423727258428889	0.926564744060698	-0.54163336606752
"TRINITY_DN4714_c2_g1_i1"	0.735985552363911	-0.215623385606509	0.436638586082134	0.235571025385196	-0.639745081592954	0.664578937701638
"TRINITY_DN4714_c0_g1_i17"	-0.696455051392927	-0.0961327006339097	-0.187354180389572	-0.501338508804299	0.766047172620068	-0.517049251225348
"TRINITY_DN4714_c0_g1_i2"	-0.0976892343261353	0.0939656086692991	-0.168093027803507	0.149141527002552	0.359327493605083	-0.307971194749205
"TRINITY_DN4714_c0_g1_i4"	-0.577094995193652	-0.0780383474297183	-0.615189856923076	-0.66423034377608	0.762693707302124	-0.481186050644586
"TRINITY_DN4714_c0_g1_i5"	0.938144676741349	-0.129681113060467	0.41567576373736	0.472127905230667	-0.834634141921914	0.508883282774244
"TRINITY_DN4714_c0_g1_i6"	0.662090413368111	-0.28540088080273	0.507985515442659	0.361747098868453	-0.495098373805812	0.0777968716457473
"TRINITY_DN4730_c0_g1_i7"	-0.586404273739493	0.130818409202601	-0.338607518790856	-0.353996399987657	0.87956293956426	-0.529965023326581
"TRINITY_DN4730_c0_g2_i1"	-0.765647293872168	0.0705541695135077	-0.509861812876521	-0.552276813246772	0.942336480764509	-0.726963485031999
"TRINITY_DN4735_c0_g1_i1"	0.939593343753339	-0.0945488079929885	0.318277135386269	0.397544698298968	-0.763743331225233	0.407505918567232
"TRINITY_DN4754_c0_g1_i2"	-0.148762962253104	0.0948580907429706	0.0116500784243261	0.0749886824034265	0.335136053045437	-0.574490618644172
"TRINITY_DN4739_c0_g1_i1"	0.735004833506125	-0.155517797074707	0.515898404311469	0.208286309922049	-0.830315566184562	0.847617138032301
"TRINITY_DN4742_c0_g1_i1"	0.891739132873995	-0.0958322963377013	0.172235995478491	0.331243495412299	-0.555828251501656	-0.0331354837077097
"TRINITY_DN4744_c0_g1_i12"	-0.82892884930267	0.041655724467056	-0.0675767141205751	-0.514903014654157	0.62029072916835	-0.189326735272919
"TRINITY_DN4744_c0_g1_i5"	-0.0288161422195124	0.335842281332077	-0.290349319164055	0.219267786138173	0.0726890480346276	-0.424058919483896
"TRINITY_DN4757_c0_g1_i1"	0.865957896362834	-0.0768486244888183	0.555814788104976	0.207842864946012	-0.823309809016246	0.663359061070837
"TRINITY_DN4701_c0_g1_i2"	0.508982887948605	0.072039385096557	-0.130347383695335	0.169054931824296	-0.199100925279621	-0.406155979885697
"TRINITY_DN4711_c2_g1_i2"	-0.522615817305546	0.0969245948636378	-0.166266742168138	-0.426416513945079	0.678376951452712	-0.613676858390441
"TRINITY_DN4711_c8_g1_i1"	0.624620778104071	-0.121952435249892	0.464231693068786	-0.0602847968380654	-0.362616606569369	0.38517321218497
"TRINITY_DN4711_c4_g1_i2"	0.574630718535665	0.0340422069298423	0.0506788949196879	-0.208481994898777	-0.148925591611497	-0.237296179557003
"TRINITY_DN4704_c4_g1_i1"	0.521867756510529	-0.152722548222838	0.530804255217405	0.281230137702166	-0.520960263680019	0.678661484140489
"TRINITY_DN4704_c4_g1_i2"	0.11977480409599	-0.445723358275108	0.530779689309458	0.0234876418936592	-0.331293675777964	0.515955813450836
"TRINITY_DN4704_c4_g1_i3"	0.769772835648146	-0.167987780263586	0.51535611956476	0.358206671470169	-0.884557576757497	0.841080648987804
"TRINITY_DN4704_c0_g1_i10"	0.934314341244744	-0.063744857673601	0.375858842820158	0.470860981049487	-0.856433264916459	0.52231325362155
"TRINITY_DN4704_c0_g1_i16"	0.935273887105328	-0.0544044114052372	0.365885283325355	0.468213417613536	-0.84316500096535	0.506242207188192
"TRINITY_DN4704_c0_g1_i4"	0.92721564011105	-0.0391251110972255	0.326938539592653	0.467442998687545	-0.840551014477562	0.516022705548002
"TRINITY_DN4704_c14_g1_i1"	0.903476857411086	-0.28144037211977	0.288053794334352	0.381629770848115	-0.631211214927717	0.262258618874473
"TRINITY_DN4704_c1_g1_i2"	0.784198147064883	-0.150789366575643	-0.0594724523241859	0.134748570292413	-0.471786629322897	0.0511889747422867
"TRINITY_DN4704_c2_g2_i1"	-0.258590162946703	0.0660340583972972	-0.454200180008738	8.54946295367406e-05	0.673859254791001	-0.697154972822374
"TRINITY_DN4704_c2_g1_i1"	-0.130301717856965	0.116834163975712	-0.173419862385117	0.169649394817936	-0.115818184271092	0.273770840831368
