"kMEblack"	"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEsalmon"
"TRINITY_DN21443_c0_g1_i2"	-0.627439895635865	0.876422290637946	-0.86346423913512	-0.0478176395014975	0.340229195252289	-0.406804075240061	0.706924454464904	-0.403903790534736
"TRINITY_DN21491_c1_g1_i1"	-0.44715816323081	0.31606651473446	-0.633987260317188	0.23640103805245	0.0661828096540567	-0.194276461932483	0.764556907494385	-0.166996309689672
"TRINITY_DN21406_c11_g1_i1"	0.551181134023698	-0.707013647424173	0.933222876358631	-0.00826884362947503	-0.610126043506208	0.315821658368746	-0.61249497971254	0.2538204422762
"TRINITY_DN21425_c2_g3_i2"	-0.468488785753204	0.434193829613148	-0.524576306076883	0.160088653891058	-0.0121789998380162	-0.306765615187833	0.853740746398131	-0.314565911947245
"TRINITY_DN21430_c0_g1_i1"	-0.229547045835993	0.922934240459255	-0.608408333481468	-0.184522529483869	0.403642206059441	-0.318886273877886	0.285658142035692	-0.390661219548648
"TRINITY_DN21410_c0_g1_i21"	-0.44443154436932	0.33266380326648	-0.531119555899096	0.335587410289621	0.0666294171845001	-0.178794391551132	0.766542888597599	-0.182187070488858
"TRINITY_DN21460_c0_g1_i36"	-0.369579247357854	0.910960409572778	-0.601943635352871	-0.084115607201993	0.41690821782058	-0.32534054101234	0.303753313220585	-0.337449827664256
"TRINITY_DN21460_c0_g1_i38"	-0.523090449669054	0.972172000830175	-0.788495697679199	-0.101555688828343	0.382485314492438	-0.397146446052261	0.555434768475346	-0.397244601318464
"TRINITY_DN5656_c11_g1_i8"	0.338537995639593	-0.673290008668182	0.805053157184818	-0.0456165633376531	-0.579107227650939	0.15411263490391	-0.462700266941535	0.407595098266614
"TRINITY_DN5644_c12_g1_i16"	0.65605519379706	-0.78587711887481	0.943763008762632	0.0260920027887912	-0.519109558738119	0.409046850768344	-0.691939863259641	0.423989682770483
"TRINITY_DN5644_c14_g1_i3"	0.597041131024358	-0.632435558510759	0.807667367769044	0.0898523409080247	-0.272644534136651	0.466437208172504	-0.727400574000287	0.12028105276328
"TRINITY_DN5644_c0_g1_i9"	0.603578565949661	-0.768774224358078	0.923918819286751	0.00768449255349724	-0.560136502715093	0.377364897695061	-0.708170891554957	0.410243354414974
"TRINITY_DN5644_c7_g1_i1"	0.774224286739136	-0.581226492158541	0.896948821430477	-0.0895599732140884	-0.490206648967717	0.304149749034726	-0.681138031316118	0.233317723500303
"TRINITY_DN5644_c10_g1_i4"	-0.484335055310666	0.831275442749068	-0.747420508802122	-0.0743122824112449	0.1360959975171	-0.474571123704526	0.751399609500384	-0.444824882426371
"TRINITY_DN5614_c0_g1_i8"	-0.188083562578084	-0.531014106185842	0.405319881067177	0.151780015020021	-0.25780048185817	0.14166813444775	-0.320751980982923	0.501241131816932
"TRINITY_DN5651_c0_g1_i3"	0.648473630241541	-0.690869312611504	0.924579929611986	-0.133643271768509	-0.535708151298725	0.15433683679595	-0.672187303499331	0.44323066934923
"TRINITY_DN5612_c17_g1_i3"	0.139063869145313	-0.590203877812929	0.401724523254587	0.210684657032226	-0.687711025436796	0.178303369630328	0.163145412137882	0.258704319464831
"TRINITY_DN5612_c10_g4_i2"	0.706277931346299	-0.664587129344192	0.961498762247336	-0.270443908294201	-0.551635807934163	0.209286452217022	-0.694615111749096	0.380506657805285
"TRINITY_DN5612_c12_g1_i1"	0.540407639788261	-0.598326342026707	0.85964389580098	0.0816007469402438	-0.46048765231085	0.550346794985735	-0.712356833262421	0.329573711637188
"TRINITY_DN5608_c1_g1_i1"	-0.454653351090492	0.937377776275966	-0.697928788529627	0.0174067438549748	0.315680676854373	-0.364843183058223	0.579283992182028	-0.3733212440579
"TRINITY_DN5621_c1_g1_i1"	-0.304899247745	0.868838575651126	-0.580815264694811	0.0117230889970353	0.168669359782566	-0.312743345131358	0.597827572377969	-0.4309230785184
"TRINITY_DN5600_c0_g1_i13"	-0.3884103019119	0.952744866162499	-0.75037491460909	-0.0677703125856995	0.38010621252103	-0.294157518553686	0.491045315870456	-0.577738538268071
"TRINITY_DN5600_c0_g1_i7"	-0.402775304414673	0.903058448173486	-0.641217110309061	-0.143538315435635	0.463346096662351	-0.377208578163308	0.278037063580466	-0.241317468848394
"TRINITY_DN5632_c0_g1_i10"	0.764570930894332	-0.634681474914548	0.930432063758818	-0.147490661018786	-0.360555589007779	0.294555264381287	-0.801225032209649	0.302427857496847
"TRINITY_DN5632_c0_g3_i1"	0.418241700353894	-0.68330731260975	0.835751817734939	0.062991688466518	-0.412255405747797	0.488972171595945	-0.777041026864507	0.534729207302901
"TRINITY_DN5632_c0_g2_i2"	0.850940778643861	-0.456080566720865	0.669795884121848	-0.0202692608314488	-0.286608516375457	0.323809918641352	-0.539883108425257	0.143718124493662
"TRINITY_DN5601_c0_g1_i10"	0.928555336898807	-0.3000387917613	0.512022837328786	-0.213521438749071	0.0157996771033323	0.0496149299239038	-0.4926229532419	0.103855778068888
"TRINITY_DN5662_c12_g1_i7"	0.93197892865727	-0.299690914588535	0.57795821676474	-0.24524916219042	-0.0528522685760264	0.0531808656103266	-0.50247952913111	0.0811597670411227
"TRINITY_DN5662_c0_g2_i2"	0.789622458138737	-0.513507951056078	0.77114392788673	0.0247565863194205	-0.455116779197388	0.251636267976787	-0.500493083201746	0.190158766590312
"TRINITY_DN5662_c1_g1_i17"	0.0616145763284702	-0.571882060192679	0.518138351547999	0.306098549443964	-0.297493029002731	0.641501296203373	-0.574224624110952	0.24495196566632
"TRINITY_DN5662_c21_g2_i1"	-0.496924211446278	0.505799986171513	-0.678577682494829	0.0936964245703623	-0.00916106124844416	-0.341877531626956	0.967864460101757	-0.344754839551884
"TRINITY_DN5622_c0_g1_i7"	0.772678701385159	-0.628186079268109	0.95898111903862	-0.0899868089496676	-0.46803402772249	0.360558603520077	-0.780477018207841	0.385516754846143
"TRINITY_DN5637_c1_g1_i4"	0.97279744428137	-0.382338703385792	0.690314909504206	-0.144335237670132	-0.253859609600629	0.137051250427372	-0.533510476657652	0.126139522125667
"TRINITY_DN5616_c8_g1_i1"	0.862520303735631	-0.5607468571453	0.908243942218348	-0.147097013789599	-0.454252480572479	0.255615339907252	-0.680861437032311	0.350226935112812
"TRINITY_DN5616_c0_g1_i3"	0.662833512256264	-0.482051465993191	0.756152653226876	0.0880294200669672	-0.658898482365272	0.427042033682951	-0.434453377679883	0.394705518909684
"TRINITY_DN5616_c0_g1_i12"	0.938233043413583	-0.440741306802478	0.735682577946152	-0.0915377910113769	-0.342563825447288	0.271516936461061	-0.592558930052858	0.316625280183738
"TRINITY_DN5616_c11_g1_i1"	0.814448159939918	-0.508715498762231	0.85431943532311	-0.0939756878356572	-0.560763410769458	0.263818486616872	-0.516769561909869	0.402372942741678
"TRINITY_DN5616_c0_g2_i8"	0.642273995169639	-0.704552845406477	0.827419386490971	0.132816260493936	-0.568099135456834	0.452206011793344	-0.586091059449675	0.485391888587643
"TRINITY_DN5616_c0_g3_i1"	0.378988191704473	-0.618431133163696	0.697204176602137	0.102015207450032	-0.323425395704164	0.325959399817873	-0.586734992989076	0.428096636143468
"TRINITY_DN5616_c0_g3_i5"	0.559279392806502	-0.495713837725251	0.838871931849928	-0.081010334813189	-0.565598843376421	0.297567394436191	-0.565018600953485	0.341093810499604
