"kMEblack"	"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEsalmon"
"TRINITY_DN28742_c0_g1_i2"	0.388704755934604	-0.350441124212251	0.466124919425273	0.166206821190162	-0.128148509139414	0.56138617599566	-0.522675415004282	0.166203869813467
"TRINITY_DN28708_c1_g1_i6"	-0.623586635646826	0.390389273533202	-0.739536541896615	0.184318225784401	0.0459443913773689	-0.268095525512079	0.943100207232989	-0.266288638835498
"TRINITY_DN28708_c2_g2_i1"	-0.478511336579728	0.478241024053065	-0.603397152388183	0.161733637220771	0.0528533690199131	-0.274431356854996	0.885617118280167	-0.275890649704067
"TRINITY_DN28708_c2_g1_i3"	-0.404099903413714	0.358307314728292	-0.498739478442078	0.201781837456934	-0.0758473118038459	-0.185759896622266	0.866095704278998	-0.189629969787272
"TRINITY_DN28779_c0_g1_i3"	0.735477347648249	-0.363715201195822	0.666197942149921	0.160488743574616	-0.527336381026755	0.500302329737552	-0.471927352615567	0.241992919268815
"TRINITY_DN28779_c0_g1_i9"	0.596379540464289	-0.531065777041399	0.740785312279198	-0.0507760484391394	-0.299230639299007	0.158160942474423	-0.546962255935118	0.282220927718094
"TRINITY_DN28721_c2_g2_i1"	-0.538143387889867	0.486470101458301	-0.652648863321293	0.189857642669844	0.0891976692499457	-0.257266484360475	0.907902334533932	-0.257663507684932
"TRINITY_DN28760_c7_g1_i1"	-0.456486991366497	0.775741207405822	-0.727869762201012	0.0128779001908729	0.131795563017917	-0.417082133361034	0.852823951724969	-0.378269024209057
"TRINITY_DN28791_c8_g1_i1"	-0.305582103906326	0.951373175386823	-0.630300859894689	-0.200344382919518	0.416409120043991	-0.33560699587796	0.295605935340233	-0.411046390318211
"TRINITY_DN28777_c0_g2_i1"	-0.556698956229912	0.608223635153991	-0.701664354256741	0.0206842375277779	0.0219210455826746	-0.472806139028486	0.949831489749227	-0.391928007778653
"TRINITY_DN28777_c1_g1_i1"	-0.645698638309249	0.808159139232975	-0.862370436582553	-0.0129131272581105	0.257200827735837	-0.400534155130638	0.862114741555077	-0.3967022206022
"TRINITY_DN28710_c0_g1_i8"	-0.456016258544885	0.362202678761497	-0.618384925063575	0.280059307156643	-0.00735021044056903	-0.257078705384344	0.815199943019085	-0.263537844053199
