"kMEblack"	"kMEblue"	"kMEbrown"	"kMEpink"	"kMEred"	"kMEyellow"
"TRINITY_DN5642_c0_g1_i3"	-0.324995463974729	-0.75862859506608	0.390759443910619	-0.173685134347008	-0.286381106992992	0.912673663312557
"TRINITY_DN5681_c0_g1_i1"	0.0845188031897212	-0.0381034332850547	-0.0678103718266997	-0.17679113483302	-0.160580655359018	0.228862450222184
"TRINITY_DN5622_c0_g1_i1"	0.384690236915594	0.844781871408225	-0.533349690041652	-0.177667083138894	0.152849478015739	-0.768654146316747
"TRINITY_DN5699_c0_g1_i3"	-0.0997039076489765	-0.260709366557475	0.317600774326473	-0.30467169609573	-0.0240039878515756	0.321095636135164
"TRINITY_DN5635_c0_g1_i1"	0.33761125804967	0.96649772187396	-0.597524054778625	-0.202121752519389	0.26640256427848	-0.837292573789421
"TRINITY_DN5611_c0_g2_i2"	0.358423733587422	0.78769553891701	-0.292479864607962	0.0156425548906783	0.304204097034415	-0.672974549135964
"TRINITY_DN37977_c0_g1_i1"	-0.424556255182851	-0.414920591225624	0.884098821438852	0.397481904381886	-0.170926944054081	0.279284147340018
"TRINITY_DN37897_c0_g1_i1"	-0.174118065115354	0.0988218142039454	0.283975058570849	0.350841779615499	-0.178732303410019	-0.151553049001014
"TRINITY_DN37941_c0_g1_i1"	0.125127719211695	0.288884326997215	-0.363921140260944	-0.259922868150713	0.955152895373438	-0.386480204880601
"TRINITY_DN28830_c0_g1_i1"	0.349981183156343	0.963811386282738	-0.59645971344334	-0.105357458322706	0.263140934828368	-0.851703861040278
"TRINITY_DN28802_c0_g1_i1"	0.523278979245852	0.85743873933521	-0.575954674125659	-0.0857788571030475	0.346296228385509	-0.717319880078575
"TRINITY_DN28816_c0_g1_i1"	0.139038890255612	0.77337211391006	-0.266386629952771	0.035684305758097	0.247531670467524	-0.548490108057503
"TRINITY_DN12423_c0_g2_i1"	0.0499686185679353	0.353163030628409	0.185600589911118	0.0402937845169231	0.105210091902395	-0.221071226796102
"TRINITY_DN12473_c0_g1_i2"	-0.407918945991592	-0.757231104700914	0.927208940740609	0.280034384910015	-0.370031327792751	0.637848823304822
"TRINITY_DN12428_c0_g1_i1"	0.14420560515795	0.645186237784809	-0.0598655025839407	0.245026473933661	0.0652529488289366	-0.474689761923306
"TRINITY_DN12499_c0_g1_i1"	0.363964892880526	0.8859442162046	-0.638003236041209	-0.176621106163468	0.196845202916869	-0.798703395878154
"TRINITY_DN12451_c0_g1_i1"	0.358114073174276	0.899778257639279	-0.601187805295388	-0.294106495394244	0.124836440814841	-0.627399055164281
"TRINITY_DN12437_c0_g2_i1"	-0.448007576632187	-0.638707847076313	0.350056854356745	-0.0921422334846079	-0.27585629662934	0.858407961412879
"TRINITY_DN12462_c0_g1_i1"	-0.369000634371105	-0.762903167601041	0.531295794124226	-0.071271862943613	-0.357664962015368	0.774342528334623
"TRINITY_DN12415_c1_g1_i1"	0.241615409110811	0.894858176002335	-0.401779333057302	-0.149169307687572	0.0893486910227533	-0.593830517094884
"TRINITY_DN12415_c2_g1_i3"	0.200980405099729	0.836728592179595	-0.400752187013676	-0.0200997257773927	-0.103612594012939	-0.564771227335943
"TRINITY_DN12415_c2_g1_i4"	0.124773270242979	0.345200686482952	-0.2255011234846	-0.60289221747331	0.401231531659244	-0.141693600710035
"TRINITY_DN12415_c0_g1_i13"	0.118867885422598	-0.541831810710999	0.283763899557614	0.0582679185344213	-0.127913918076508	0.378269088167591
"TRINITY_DN12416_c0_g1_i1"	-0.219076705171011	0.0956407503458462	0.0790928047753628	-0.315809577027739	0.227951244694673	0.0412268764925456
"TRINITY_DN12405_c0_g2_i3"	-0.397550557931873	-0.77475359880798	0.772282375854417	-0.0303570057912875	-0.494305383165641	0.92418811037603
"TRINITY_DN4725_c0_g1_i1"	0.175857676925064	0.102167062562533	-0.434067295322411	-0.402877089695509	-0.123347425112165	-0.0847992295036633
"TRINITY_DN4725_c0_g1_i4"	0.412257924146935	0.84446551530538	-0.665772458994574	-0.0659014196043267	0.261355611050595	-0.824997539150705
"TRINITY_DN4706_c0_g4_i1"	-0.168611978836776	-0.0258836272230783	0.225463519715273	0.974294223407853	-0.104121559663287	-0.270639739560624
"TRINITY_DN4706_c1_g1_i3"	-0.395192460261945	-0.360478271568461	0.447056049504552	0.874002020168216	-0.446927757727261	0.160987697826756
"TRINITY_DN4706_c0_g1_i1"	-0.469826234013162	-0.715355545414176	0.524513418669229	0.0849344121676493	-0.432634652351891	0.824334975448937
"TRINITY_DN4706_c0_g1_i2"	-0.397081807328925	-0.658258162211133	0.42176084809898	-0.156879857393344	-0.0144421520339585	0.779381353108028
"TRINITY_DN4715_c3_g1_i3"	-0.145806072375005	-0.290187016878877	0.611603659334308	0.234821255080538	-0.202556597708336	0.233710957196348
"TRINITY_DN4715_c1_g1_i1"	0.305168336822095	0.819736705673238	-0.374836111979096	-0.0184330802110922	0.260869470387729	-0.632271892936763
"TRINITY_DN4715_c2_g1_i1"	0.387155216760272	0.880971440122962	-0.460190104842695	-0.164042072919042	0.128766737122689	-0.607547890421719
"TRINITY_DN4703_c0_g1_i1"	-0.422865529374977	-0.644260869819429	0.836614033307936	-0.037738712414303	-0.448659159758763	0.777869321493863
"TRINITY_DN4749_c0_g1_i1"	0.333609512062854	0.785293192953037	-0.329315591931776	-0.0659562554946837	0.0512999123423433	-0.501433384103353
