"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgreen"	"kMEgrey60"	"kMElightgreen"
"TRINITY_DN21430_c0_g1_i1"	0.142497491242746	-0.546184696721239	0.833903779045519	0.308071781816342	-0.245315781643802	-0.122374632745623
"TRINITY_DN21460_c0_g1_i36"	0.273902531153994	-0.569001094959668	0.847672934158387	0.322688837632721	-0.352606365103225	-0.315327769583962
"TRINITY_DN21460_c0_g1_i38"	0.182118606173647	-0.809697888389761	0.963099951857736	0.693368502261934	-0.466517910101614	-0.392017843215011
"TRINITY_DN5644_c12_g1_i16"	-0.435959026791721	0.974781758427222	-0.761630983319042	-0.737395952270178	0.475899456295185	0.467260258092353
"TRINITY_DN5644_c14_g1_i3"	-0.35858083517106	0.931891543326705	-0.816768354914605	-0.785795528368636	0.516721496180034	0.477417941075982
"TRINITY_DN5644_c0_g1_i9"	-0.465205343923591	0.965215341432056	-0.76317783151552	-0.693172644156483	0.483176417819729	0.442891487445347
"TRINITY_DN5644_c10_g1_i4"	-0.0816968412645515	-0.599740228773124	0.787462863906944	0.814040566651209	-0.53475379249499	-0.299430685395849
"TRINITY_DN5651_c0_g1_i3"	-0.467452085615453	0.960156433251815	-0.72275770006044	-0.65637366232023	0.25653229330567	0.45413326920102
"TRINITY_DN5612_c17_g1_i3"	-0.596901170952732	0.459505555508301	-0.611914194605676	0.124893868588201	0.344141120383592	0.511525831399042
"TRINITY_DN5612_c10_g4_i2"	-0.474821104893945	0.959183211821721	-0.698362359958169	-0.64625238388213	0.268419656717694	0.459973817742044
"TRINITY_DN5612_c12_g1_i1"	-0.440821840733324	0.930350479826091	-0.702798569582075	-0.785686975196448	0.583216920492362	0.407013552365893
"TRINITY_DN5608_c1_g1_i1"	0.136565381479584	-0.654670064568303	0.914218387123636	0.635451229199105	-0.389234901472287	-0.346500705592376
"TRINITY_DN5621_c1_g1_i1"	0.0268007492956667	-0.557243660820512	0.832686104920125	0.609085550162536	-0.265284354649975	-0.380655871475203
"TRINITY_DN5600_c0_g1_i13"	0.11730621606749	-0.738382457052133	0.903297758652539	0.519444867787695	-0.260211720498477	-0.548746560752515
"TRINITY_DN5600_c0_g1_i7"	0.285706141122223	-0.632373107474629	0.863346741747929	0.375769771542643	-0.423854426428865	-0.381860034676389
"TRINITY_DN5632_c0_g1_i10"	-0.326809521041404	0.954377281737823	-0.669095563883851	-0.774828819663759	0.353231912287225	0.37577284177801
"TRINITY_DN5632_c0_g2_i2"	-0.32564183483518	0.812251359127808	-0.466929915553032	-0.570860779999082	0.374238095044502	0.477591158669325
"TRINITY_DN5662_c12_g1_i7"	-0.132255950024684	0.798112750709796	-0.477324731579487	-0.601978388634838	0.0409572394131749	0.399828551199823
"TRINITY_DN5662_c1_g1_i17"	-0.251739681276113	0.507347398033768	-0.654839326809736	-0.566624652578665	0.716795350002189	0.295531003517991
"TRINITY_DN5662_c21_g2_i1"	0.00468295481201417	-0.6634289516477	0.583768402736986	0.958554669726315	-0.348699030728932	-0.302993660560828
"TRINITY_DN5622_c0_g1_i7"	-0.439727151851832	0.98173185835997	-0.705881433869366	-0.746494000792219	0.395367521616129	0.472175064496767
"TRINITY_DN5637_c1_g1_i4"	-0.317973248526397	0.852724507672056	-0.504801647423732	-0.581761304948022	0.235876300439507	0.469798049289245
"TRINITY_DN5616_c8_g1_i1"	-0.448300413665472	0.974553176465329	-0.653783618970552	-0.709045583243463	0.318143914738798	0.467003650921434
"TRINITY_DN5616_c0_g1_i3"	-0.54924441768901	0.851135325608037	-0.503043084587282	-0.542124995167262	0.510450993879361	0.558061852453443
"TRINITY_DN5616_c0_g1_i12"	-0.382619820002159	0.856716342223977	-0.507376196270629	-0.58417965912332	0.371896974734189	0.520016105860855
"TRINITY_DN5616_c11_g1_i1"	-0.60523971110775	0.964980272497354	-0.652035145940864	-0.602676250900019	0.327117599242004	0.580973681668882
"TRINITY_DN5616_c0_g3_i1"	-0.418253497249335	0.82389860707082	-0.719618883944347	-0.571571529880808	0.346169388807404	0.5630372284047
"TRINITY_DN5616_c0_g3_i5"	-0.533640575995115	0.875238101896936	-0.580720729204507	-0.623704237654956	0.352583622656774	0.464454694824726
