"kMEblack"	"kMEbrown"	"kMEmagenta"	"kMEpink"	"kMEred"	"kMEturquoise"
"TRINITY_DN5653_c0_g1_i1"	0.149118584789952	-0.434493821842648	-0.139731100746091	0.110734229517436	-0.738134725704508	0.535071528581009
"TRINITY_DN5653_c0_g4_i1"	-0.267468219680792	0.416143378937822	-0.229743362045412	0.173773814985532	-0.155348836804983	-0.135843245997314
"TRINITY_DN5653_c0_g2_i1"	0.708897380579412	-0.0893823838649131	-0.368448509850345	-0.071614913510438	-0.138468781301085	0.16457731098728
"TRINITY_DN5653_c0_g2_i2"	0.0191292333078248	0.107343266836928	-0.0102731641334719	0.101381143618255	-0.0707463165226112	0.104060779067492
"TRINITY_DN5653_c0_g2_i3"	-0.357857543989432	-0.277380685711409	0.413993828059772	0.185873575725347	-0.114938941229176	0.303907133882402
"TRINITY_DN5633_c0_g1_i1"	0.0356676340714288	-0.545313520583577	-0.161306001419638	0.288819389882421	-0.514559296776112	0.764849436905868
"TRINITY_DN5633_c0_g1_i2"	0.491498822070954	-0.583918678309338	0.0641267373943222	0.453580164467153	-0.467747698331409	0.417863599247262
"TRINITY_DN5661_c0_g1_i1"	-0.321313222240534	0.545320887190545	0.161207107749395	-0.355097299246755	0.860861645053846	-0.555335876522122
"TRINITY_DN5661_c0_g1_i4"	-0.385150540780676	0.73199196643048	0.182392897670237	-0.420482595294721	0.932914348032741	-0.774353095308669
"TRINITY_DN5661_c0_g1_i5"	-0.378964311513186	0.640345103743951	0.126707640759818	-0.412640977194304	0.909860025027771	-0.605720522525418
"TRINITY_DN5661_c0_g4_i3"	-0.463808295944019	0.77707350426254	0.0974366715832326	-0.506593529512145	0.88694592034822	-0.764542148376987
"TRINITY_DN5614_c0_g1_i1"	0.280110042369026	-0.420317346041961	0.0102548042075363	0.153723174787617	-0.277934459979037	0.679472550799312
"TRINITY_DN5651_c0_g1_i1"	-0.132099747307067	0.400254428283333	-0.064804784443487	-0.298791775734435	0.445955311523222	-0.238152560152443
"TRINITY_DN5692_c0_g1_i2"	0.231489020810814	-0.639756438922661	-0.160621463472227	0.390869873354861	-0.432607790869949	0.890440144891914
"TRINITY_DN5654_c0_g1_i7"	0.314682191801773	-0.789599920457521	-0.0597045394913253	0.157981855442325	-0.480896372978738	0.906476786159581
"TRINITY_DN5608_c0_g1_i1"	0.21949119829802	-0.824655805092344	-0.0750662258253007	0.393147541844024	-0.598961110437402	0.953936197523424
"TRINITY_DN5697_c1_g2_i1"	0.21825189094424	-0.629523612543142	-0.25610875081962	0.177061366270751	-0.505766185967927	0.889062703726681
"TRINITY_DN5695_c0_g2_i1"	0.189119871937763	-0.315856836206493	-0.360538664999652	0.0295224861769535	-0.446056984981111	0.621365151035431
"TRINITY_DN5695_c0_g1_i1"	0.372713496866619	-0.347491964525357	-0.388205207465854	0.12182160396752	-0.415461985637238	0.469865423348202
"TRINITY_DN5695_c0_g1_i2"	-0.197781106651397	-0.256817304523636	0.571543189093768	-0.217618543337773	0.039499050001461	0.221762872172512
"TRINITY_DN5695_c1_g1_i1"	0.408885351214573	-0.227979477203498	-0.124311290419075	0.186668135255675	-0.459550633356664	0.372761076842059
"TRINITY_DN5695_c0_g3_i1"	0.176915246611685	-0.638064750267049	-0.323939426775059	0.278260560046089	-0.616157525523247	0.93268940772071
"TRINITY_DN5634_c0_g1_i1"	0.210088169047568	-0.732598674547093	-0.248980626701175	0.375047221347776	-0.588013779396658	0.979656738822403
"TRINITY_DN5649_c0_g1_i21"	0.186611838288986	-0.642573401907682	-0.318992038836361	0.257008349106145	-0.627088223782917	0.872865208462309
"TRINITY_DN5649_c0_g1_i23"	0.125339378303478	-0.165579474938745	-0.0614722274527655	-0.00943827405499328	-0.27270439304538	0.425065074108721
"TRINITY_DN5649_c0_g1_i26"	0.188435994152492	0.198438284157941	-0.29995450938324	-0.194741865457049	-0.0877117425758996	-0.0930407930969823
"TRINITY_DN5617_c0_g1_i1"	0.11433522725742	-0.645396140636752	-0.0584301796722365	0.0613986577650258	-0.217422744412225	0.764744608210922
"TRINITY_DN5677_c0_g1_i3"	0.0245107900462565	-0.733271053016948	0.496988499742253	0.195716017463907	-0.37951537198244	0.495337343408487
"TRINITY_DN5677_c0_g1_i4"	-0.0928159809547433	0.245850581387718	0.192525180507748	-0.228246728886361	0.555856424890743	-0.138372191018294
