"id127_TPM"	"id280_TPM"
"TRINITY_DN145310_c0_g1_i1"	3897.85	539.25
"TRINITY_DN173288_c0_g1_i3"	1595.41	216.072
"TRINITY_DN163951_c0_g1_i2"	317.933	54.117
"TRINITY_DN171837_c0_g1_i14"	787.18	133.865
"TRINITY_DN182084_c0_g1_i1"	329.484	47.4595
"TRINITY_DN176571_c1_g2_i1"	71.3102	2119.53
"TRINITY_DN114417_c1_g1_i5"	1348.87	209.873
"TRINITY_DN174202_c0_g1_i2"	35.4664	845.457
"TRINITY_DN196166_c1_g1_i3"	110.666	2848.84
"TRINITY_DN186334_c1_g1_i2"	22.4187	616.485
"TRINITY_DN124607_c0_g1_i6"	1141.63	217.007
"TRINITY_DN195798_c1_g1_i2"	118.039	2598.64
"TRINITY_DN133640_c0_g1_i10"	389.834	41.4299
"TRINITY_DN118138_c0_g1_i1"	625.717	97.2094
"TRINITY_DN157303_c0_g1_i17"	2018	363.675
"TRINITY_DN157300_c0_g1_i1"	599.259	90.2637
"TRINITY_DN141779_c2_g1_i16"	102.985	3087.66
"TRINITY_DN117149_c0_g1_i4"	30.1712	2691.52
"TRINITY_DN123161_c1_g1_i23"	18.6637	731.098
"TRINITY_DN125566_c0_g1_i7"	38.8812	855.077
"TRINITY_DN189529_c1_g1_i1"	63.2813	658.592
"TRINITY_DN174344_c1_g1_i6"	334.089	44.1498
"TRINITY_DN174344_c1_g1_i10"	336.507	42.0928
"TRINITY_DN153217_c0_g1_i23"	2218.45	203.391
"TRINITY_DN108017_c1_g1_i1"	1337.9	131.836
"TRINITY_DN108017_c0_g1_i1"	3526.95	424.054
"TRINITY_DN179351_c0_g1_i2"	375.697	40.9085
"TRINITY_DN134765_c0_g1_i5"	20.9219	714.586
"TRINITY_DN134765_c0_g1_i6"	657.292	29257.1
"TRINITY_DN115810_c0_g1_i1"	1090.75	131.899
"TRINITY_DN151463_c4_g1_i5"	553.472	75.9998
"TRINITY_DN142345_c0_g1_i14"	37.9698	869.446
"TRINITY_DN154022_c0_g1_i4"	662.564	49.0905
"TRINITY_DN154022_c0_g1_i2"	776.211	41.2387
"TRINITY_DN153958_c1_g1_i2"	5992.09	1159.24
"TRINITY_DN135038_c1_g1_i18"	198.244	5227.4
"TRINITY_DN187544_c0_g1_i11"	27.5875	1202.24
"TRINITY_DN141294_c7_g1_i1"	308.495	56.536
"TRINITY_DN165550_c0_g1_i1"	3054.34	327.154
"TRINITY_DN165627_c0_g1_i7"	33.1884	726.217
"TRINITY_DN107053_c1_g5_i1"	651.451	68.8152
"TRINITY_DN107053_c8_g1_i1"	760.479	84.1139
"TRINITY_DN173973_c0_g2_i1"	606.469	41.2383
"TRINITY_DN166628_c0_g1_i2"	952.605	121.728
"TRINITY_DN125134_c0_g1_i1"	623.952	92.1186
"TRINITY_DN153503_c0_g1_i1"	324.211	46.1308
"TRINITY_DN151860_c0_g1_i1"	1145.06	157.922
"TRINITY_DN128821_c0_g1_i1"	93.8064	3943.28
"TRINITY_DN135818_c0_g1_i6"	279.492	8398.95
"TRINITY_DN189392_c0_g1_i14"	33.3702	4492.99
"TRINITY_DN297627_c0_g1_i1"	112.344	3030.94
"TRINITY_DN247265_c0_g1_i15"	15.4926	1777.73
"TRINITY_DN212032_c0_g1_i2"	306.778	46.6603
"TRINITY_DN211682_c2_g1_i3"	621.409	66.6723
"TRINITY_DN262440_c1_g1_i5"	658.759	43.4252
"TRINITY_DN264815_c0_g1_i2"	23.679	1444.99
"TRINITY_DN248420_c0_g1_i2"	95.5883	2725.84
"TRINITY_DN225080_c0_g1_i13"	375.064	127.88
"TRINITY_DN203515_c9_g1_i4"	355.761	61.2378
"TRINITY_DN264692_c0_g1_i7"	610.749	14946.8
"TRINITY_DN201800_c0_g1_i6"	29.2549	2240.66
"TRINITY_DN223321_c0_g1_i1"	477.774	73.8385
"TRINITY_DN242443_c0_g2_i5"	426.307	50.5221
"TRINITY_DN290802_c0_g1_i2"	225.657	5459.76
"TRINITY_DN267503_c0_g1_i1"	340.004	50.4897
"TRINITY_DN286285_c0_g1_i1"	428.269	68.4317
"TRINITY_DN215039_c0_g2_i2"	346.696	60.7081
"TRINITY_DN214687_c2_g1_i1"	723.198	79.1429
"TRINITY_DN292182_c0_g1_i1"	49.8193	507.645
"TRINITY_DN219803_c0_g1_i1"	57.7091	1207.44
"TRINITY_DN209457_c1_g1_i2"	3340.27	495.521
"TRINITY_DN306019_c0_g1_i1"	354.389	63.1576
"TRINITY_DN325265_c0_g1_i1"	2013.49	165.662
"TRINITY_DN351167_c0_g1_i4"	323.944	45.5837
"TRINITY_DN341857_c0_g1_i1"	407.469	282.125
"TRINITY_DN382694_c0_g1_i1"	898.486	147.403
"TRINITY_DN308961_c0_g1_i3"	496.913	38.0397
"TRINITY_DN339829_c0_g1_i1"	29.1213	1377.75
"TRINITY_DN383714_c1_g1_i1"	21.7549	733.541
"TRINITY_DN347763_c0_g1_i2"	1204.06	345.205
"TRINITY_DN332180_c0_g1_i4"	5376.97	204.656
"TRINITY_DN355268_c0_g1_i2"	519.033	557.237
"TRINITY_DN331068_c1_g1_i1"	681.897	63.9868
"TRINITY_DN331249_c1_g1_i1"	381.964	61.6693
"TRINITY_DN366550_c0_g1_i1"	39.9728	966.983
"TRINITY_DN334776_c0_g1_i2"	34.677	734.998
"TRINITY_DN377001_c0_g1_i1"	1268.83	74.1259
"TRINITY_DN338886_c1_g1_i1"	308.079	56.2782
"TRINITY_DN362816_c0_g1_i2"	25.2018	544.695
"TRINITY_DN404112_c0_g1_i8"	24.3879	681.389
"TRINITY_DN437213_c0_g1_i1"	330.414	63.8209
"TRINITY_DN449042_c0_g1_i1"	21.0205	721.472
"TRINITY_DN406561_c0_g1_i1"	13.6558	680.696
"TRINITY_DN477737_c0_g1_i1"	753.755	120.31
"TRINITY_DN415070_c0_g1_i3"	1657	326.358
"TRINITY_DN476069_c0_g1_i1"	404.516	69.5488
"TRINITY_DN411736_c0_g1_i1"	6679.93	791.483
"TRINITY_DN436344_c0_g1_i1"	2896.2	413.012
"TRINITY_DN435923_c0_g1_i1"	853.167	114.006
"TRINITY_DN403745_c0_g1_i1"	40.1642	1260.07
"TRINITY_DN479573_c0_g1_i1"	538.818	59.462
"TRINITY_DN402509_c0_g1_i1"	249.699	4859.12
"TRINITY_DN457629_c0_g1_i1"	1453.18	228.926
"TRINITY_DN531303_c0_g1_i11"	2495.49	301.361
"TRINITY_DN583862_c0_g1_i2"	782.147	187.412
"TRINITY_DN526487_c0_g1_i1"	5283.57	569.427
"TRINITY_DN577945_c0_g1_i1"	340.795	38.9127
"TRINITY_DN520915_c0_g1_i1"	992.272	70.3025
"TRINITY_DN506561_c0_g1_i1"	2975.42	485.902
"TRINITY_DN534761_c0_g1_i1"	311.96	48.3958
"TRINITY_DN594310_c0_g1_i1"	2825.76	419.226
"TRINITY_DN617291_c1_g1_i1"	1207.32	137.872
"TRINITY_DN610599_c0_g1_i1"	566.698	61.2624
"TRINITY_DN645731_c0_g1_i1"	14.8316	871.167
"TRINITY_DN626847_c0_g1_i2"	474.502	41.2884
"TRINITY_DN647073_c0_g1_i1"	35.3741	764.177
"TRINITY_DN607590_c0_g1_i1"	1045.7	38.1502
"TRINITY_DN651727_c0_g1_i1"	2428.29	184.606
