"kMEblack"	"kMEbrown"	"kMEgreenyellow"	"kMEgrey"	"kMEmagenta"	"kMEpurple"	"kMEred"	"kMEsalmon"	"kMEtan"
"TRINITY_DN5680_c0_g1_i1"	0.980634426690408	-0.642297799799516	-0.335029352170396	-0.0950590304965566	0.304312146281568	-0.242117495943065	-0.810649121604999	0.0548522207309374	0.424710397926167
"TRINITY_DN5653_c0_g1_i1"	0.53742184860403	-0.79430268754944	-0.351180799043134	0.256045993434285	0.179188682253294	-0.137941319790409	-0.442699264992495	-0.393891381854328	0.0908511533985322
"TRINITY_DN5653_c0_g4_i1"	-0.118822105538967	-0.324299681004539	0.236135331725012	0.0537464269322428	-0.231434893562535	-0.271745613011305	0.40540232217924	0.00584147216485255	0.220530772934435
"TRINITY_DN5653_c0_g2_i1"	0.226264078438498	-0.267379728767635	0.150152432108688	0.192271729335236	0.823002893373826	-0.297160956663428	-0.339708805915428	0.17649028816089	0.123759256775455
"TRINITY_DN5653_c0_g2_i2"	0.0583512149631965	-0.191259583415583	0.524709614669766	0.116635557343461	0.0630817507372888	-0.013487070954314	0.0738260577763087	0.637792016993581	0.356514804431574
"TRINITY_DN5653_c0_g2_i3"	0.459633311277832	-0.236672624399086	-0.402931819596557	-0.326319781851481	-0.43213145314188	0.366886352083941	-0.330556506890495	-0.35016387427504	0.0716451410604614
"TRINITY_DN5633_c0_g1_i1"	0.784811870802869	-0.545508953070873	-0.343858472306401	-0.0400632045937233	0.124563615959635	-0.116547159145967	-0.618450242968102	0.314385040725683	0.336693246263128
"TRINITY_DN5633_c0_g1_i2"	0.500224428320879	-0.394101648165209	0.414537417461256	0.151293870182061	0.675255259233332	0.0946431697053662	-0.623011660249554	0.430807757547512	0.323697209707798
"TRINITY_DN5661_c0_g1_i1"	-0.587993465677277	0.814877904200837	0.117153835753314	-0.117425015332164	-0.344285769983863	0.198395429414931	0.528711407111246	0.338319576727262	-0.290208117534108
"TRINITY_DN5661_c0_g1_i4"	-0.786368302494784	0.883905752671689	0.170074189000121	-0.138820548058644	-0.494637536852884	0.118414317302573	0.778180060299786	0.0252685222992665	-0.407970570336327
"TRINITY_DN5661_c0_g1_i5"	-0.641080514678284	0.880541818527772	0.0997331518901188	-0.119198438129654	-0.42957293055322	0.13795332992522	0.634959464201056	0.309145244516904	-0.357363390524593
"TRINITY_DN5661_c0_g4_i3"	-0.816241355419115	0.842067595345744	0.220314690572078	-0.073876357324942	-0.5282314281521	0.0904902222284689	0.833479742662137	-0.0426493592761609	-0.435728199602906
"TRINITY_DN5614_c0_g1_i1"	0.777503729079051	-0.450790863118696	0.299955463191885	0.0550251321422944	0.34489340317579	-0.0156801489368952	-0.62502660807505	0.478331099190712	0.346973134368796
"TRINITY_DN5651_c0_g1_i1"	-0.231382551617726	0.299387323111089	0.383891888899693	0.539687350017211	-0.114518275818964	-0.0699310127499389	0.344624085198835	0.637499640706394	-0.0855399620945883
"TRINITY_DN5692_c0_g1_i2"	0.875592031691248	-0.387863998789298	0.173951471628719	-0.199651851643168	0.294403954488412	-0.118273303962904	-0.679012125925291	0.388015295612225	0.45820586366587
"TRINITY_DN5654_c0_g1_i7"	0.933479619395784	-0.48085814793008	-0.271263054749934	-0.0123142408399187	0.387778138217565	-0.0196021624513601	-0.887053623563138	0.264390454421148	0.328544243189572
"TRINITY_DN5608_c0_g1_i1"	0.96358694850515	-0.52019485961676	-0.220217340876163	-0.0580157209627872	0.310966507616105	-0.044947476408809	-0.848586870761139	0.250828210598766	0.391136737696841
"TRINITY_DN5697_c1_g2_i1"	0.959866639620318	-0.631598006233304	-0.389750491014099	-0.197993622959706	0.253376195720715	-0.227039238157153	-0.798896494847476	-0.0124124062993995	0.458774564638309
"TRINITY_DN5695_c0_g2_i1"	0.743487372788397	-0.751405568247727	-0.335645181118218	-0.100335503126614	0.213001954857585	-0.41504085272465	-0.521525992818631	-0.21445226132288	0.360008540200495
"TRINITY_DN5695_c0_g1_i1"	0.730602128956651	-0.644851882259596	-0.248449048443917	0.0774490558714847	0.320720493261812	-0.447203306716407	-0.62106898137282	0.000954640535082069	0.40777112257191
"TRINITY_DN5695_c1_g1_i1"	0.390752730646932	-0.507418023053146	0.483385001023219	0.34644843221253	0.564902045975113	-0.106704732207976	-0.307545643072413	0.46466114561843	0.218364538048949
