Accession_ID,log2FoldChange
Q0DJA0,2.73707090682873
Q5FWM8,NA
Q9MBF8,NA
P48166,NA
Q9LZH9,3.46230667176149
P26505,1.15771755274672
O14040,NA
P50651,NA
Q6ICB0,NA
Q12904,-3.02090752020488
Q2KIA4,NA
Q9LPX2,NA
Q9LPX2,NA
Q9LPX2,NA
Q5JVL4,NA
Q9C912,2.07550069810524
O09452,2.23747263307601
Q8T2Q0,NA
Q5T4D3,NA
P93212,NA
Q16566,NA
Q6AX60,NA
F1QXD3,NA
O14717,NA
P22518,-1.05307233657177
Q2K414,NA
P45858,NA
Q8N6V9,NA
P30707,4.48287367062943
Q6BI69,NA
P31851,4.45854794332542
O96651,NA
B9EUM5,NA
P80067,NA
P40590,NA
Q8C1B2,3.57219647481001
Q9Z273,NA
Q6P8I6,3.57219647481001
O24047,NA
P54750,NA
Q3V384,NA
O80642,NA
Q54QU8,NA
A0A1L8HCK2,NA
Q9SCN0,NA
P21187,1.64223616766687
P21187,1.64223616766687
Q9S7U0,4.70177805952107
Q9XGL4,NA
Q58455,NA
Q6C537,NA
O24308,NA
Q8TGM7,-0.884827640745233
Q920A7,NA
Q63170,NA
O35130,1.15771755274672
Q80V31,0.636467228251839
Q4FP38,-5.5003130222924
O75037,NA
Q9BKS0,NA
Q9ATY5,NA
O74534,NA
Q55ED4,-1.38894846942388
P0A986,0.636467228251839
Q5Y5T1,3.34358071572869
Q5NVI9,0.636467228251839
P87239,NA
Q9Y810,3.34358071572869
Q8VXY7,0.636467228251839
Q8ICR0,-0.709228150601061
F4I366,2.73707090682873
O49289,NA
Q10074,NA
Q7ZTK7,NA
Q39610,NA
Q9DB85,-0.695583532438575
Q0IWL9,3.88477699743466
Q0IWL9,3.88477699743466
Q0IWL9,3.88477699743466
Q09734,NA
Q03685,3.0240813629771
Q5RFT1,NA
Q10SX7,NA
P70569,NA
A6WXR6,1.15771755274672
Q29079,2.73707090682873
P23500,NA
Q23G98,2.86268921218765
Q8BJL0,NA
A8WGF4,NA
Q55GD2,NA
P53634,1.15771755274672
A7RM20,-0.325317788341059
Q8TDX7,NA
Q9P4Z1,NA
Q9SYM2,NA
P42795,1.15771755274672
Q9V438,NA
Q9V438,NA
A2APC3,NA
Q9P4Z1,NA
Q7TSU1,NA
Q969Q0,-0.11616336616825
Q940G0,0.636467228251839
Q9FF66,NA
Q9S752,NA
Q8ICR0,NA
Q68HB4,-0.480492530223376
Q33AH8,0.636467228251839
Q8R519,-0.325317788341059
O35643,4.23810308613641
O32210,NA
Q9Z2K9,NA
Q9V106,NA
Q28FE4,NA
Q24799,NA
Q9SA63,-0.709228150601061
A0DSB3,NA
P0DKK0,-0.0509258172252321
P46272,NA
Q94KD3,NA
O74777,1.82077169977169
Q6DD70,NA
A6R7B8,NA
Q7XR06,-0.47869291072654
Q8ICR0,NA
Q4FZT9,-2.87249968669768
O02773,NA
O94289,NA
Q6NRV8,NA
Q8K596,NA
Q54CD8,NA
Q6ZIV7,-0.894771239696449
Q96MR6,NA
Q4N4N8,NA
P37167,3.01572056888877
Q75K27,-0.926088003183075
Q96361,0.636467228251839
O14617,NA
Q29AU5,NA
P11139,3.02645618839558
Q9C774,2.59095365142826
Q1MTN8,0.636467228251839
Q5M807,NA
A7KAL8,NA
Q54WR9,-0.325317788341059
O55057,NA
P42325,2.73707090682873
B0W9B4,NA
