Accession_ID,log2FoldChange
Q6P4T2,NA
Q6P4T2,NA
Q9T079,NA
O14717,NA
O73944,1.45251249660495
O35245,NA
Q54SR7,NA
Q9Y0V6,NA
O77404,NA
Q9LYZ7,NA
P47197,1.13840454125783
Q8BRC6,NA
A6NMK7,NA
Q9FX86,NA
O82528,NA
Q9NXW2,NA
O70133,NA
Q8IY21,NA
Q99ME9,NA
Q9T029,NA
P31209,NA
Q54258,NA
Q9VVA0,NA
P18562,-2.11434129329906
Q3V0Q1,NA
P26182,NA
Q39022,NA
Q7K4W1,1.38852270635758
P29356,NA
Q9V3P6,NA
Q99572,NA
Q8R4V0,-0.902638913039139
P0DJ54,NA
Q4L9R6,NA
Q6DD70,NA
Q9SIC9,NA
Q9SIC9,NA
Q9SIC9,NA
Q5XF24,NA
Q9UPV0,NA
P34140,NA
P48859,-0.40904961643599
P14091,NA
Q9SMR2,-0.1935936900216
Q40522,NA
Q4N594,1.62022245397638
P39057,NA
P47008,NA
Q7JP68,NA
Q84Y18,1.20219980286566
Q8VH51,NA
Q8FDE1,NA
Q54NK8,NA
Q9I2A8,NA
V5Y0F7,NA
Q9FF66,NA
Q75JD5,NA
Q6EQX3,NA
P48467,NA
O12947,1.388522719424
P49727,1.38852270635758
Q9P2J5,NA
P0CS66,NA
Q5R478,2.17114182432826
Q10NQ9,1.38852270635758
P42339,NA
Q7RAV5,NA
P0DJ52,NA
P41189,NA
Q8X097,NA
Q2UVJ5,NA
Q2QAV0,NA
Q9SPE6,NA
Q946Y7,NA
Q9DCD2,NA
Q72VB8,NA
O77814,NA
Q9UFH2,NA
Q9FJL3,NA
P45860,-1.70787256501984
Q9GMY4,NA
Q9UUC6,1.13840454125783
Q96PY6,NA
Q24120,NA
Q8LEZ8,-0.1935936900216
Q54RJ1,NA
Q05966,NA
P31320,1.38852271458255
P31244,NA
O76743,NA
Q3ZZM3,-0.797083282562589
P87239,NA
Q559A0,NA
O44006,NA
Q55BN8,NA
Q50KB1,-0.1935936900216
Q90XC2,NA
Q16566,NA
Q6AY17,NA
Q5XK85,NA
Q5XK85,NA
P52873,NA
Q8QGH2,1.13840454125783
Q9US41,NA
Q9C912,NA
Q6PBF0,NA
O23894,NA
O42820,0.257593933312013
Q8IYE0,NA
Q04447,NA
Q962X7,NA
Q8N3C0,1.13840454125783
Q8N3C0,1.13840454125783
Q80UW5,NA
P93484,NA
Q8LLD4,NA
Q5ZLX5,NA
Q09522,NA
A6TU88,NA
Q5UNT8,NA
Q9P6Q3,1.38852271458255
P51566,-0.1935936900216
P0CR38,NA
Q6BLM5,NA
Q6DRC4,NA
Q8R1F6,NA
Q2HJH6,NA
Q2HJH6,NA
Q64392,NA
Q05746,NA
P62749,NA
Q94BT9,NA
Q9H892,NA
B4K799,1.72379458360664
Q6P656,NA
Q54PF3,NA
Q8WYR4,NA
Q8WYR4,NA
Q54I48,NA
Q6C537,NA
P48166,NA
Q5XGY1,-0.72445567522642
Q6IQ85,NA
Q54BM1,NA
Q7YSW8,-0.797083282562589
Q54ES9,0.226594636195209
P92177,NA
Q58556,NA
Q9LT02,NA
P02385,NA
Q5R7Y0,NA
Q5R7Y0,NA
Q06056,1.388522719424
O13861,NA
Q61880,NA
C1D8N3,1.01673502826625
Q9UFH2,NA
Q9ZGI5,NA
Q9ZGI5,NA
Q9ZGI5,NA
P43333,NA
P0CX42,NA
Q6GME1,-1.02580518631816
Q6VVB1,-0.0933252476101241
