"kMEblack"	"kMEbrown"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEyellow"
"TRINITY_DN5653_c0_g4_i1"	-0.267229591096378	-0.170735895403752	-0.126866484505256	-0.228417780895215	0.175377447517641	0.404084307312612
"TRINITY_DN5653_c0_g2_i1"	0.705252341311379	-0.130977953346169	0.162572205252968	-0.36878367489161	-0.0773931140256613	-0.0861053359857757
"TRINITY_DN5653_c0_g2_i2"	0.0226420878214403	-0.070027423812896	0.107038250324145	-0.00846000896380261	0.0992017126573781	0.109173085489842
"TRINITY_DN5653_c0_g2_i3"	-0.361300756539748	-0.0989374474571766	0.299293870590681	0.416440840444803	0.186875961074916	-0.27253585852026
"TRINITY_DN5633_c0_g1_i1"	0.0396125310124854	-0.502356049759087	0.760279719263438	-0.16003415365786	0.286665735834578	-0.537725229868683
"TRINITY_DN5633_c0_g1_i2"	0.488769328149671	-0.462317302067968	0.418404962307346	0.064346015291196	0.449053661436589	-0.584233185154818
"TRINITY_DN5661_c0_g1_i1"	-0.320305406277804	0.856774041847796	-0.54759141127442	0.160230927214627	-0.354996867435259	0.562873002664684
"TRINITY_DN5661_c0_g1_i4"	-0.385335573513689	0.928013894997334	-0.772195109151588	0.181578449711948	-0.420788462550161	0.748969971006912
"TRINITY_DN5661_c0_g1_i5"	-0.379096069675919	0.904921132424846	-0.60005248277408	0.123324140670584	-0.414087200601058	0.660877412227348
"TRINITY_DN5661_c0_g4_i3"	-0.46428433687981	0.879122595112024	-0.758191395437355	0.0928166277181377	-0.509353610628534	0.790798227482638
"TRINITY_DN5614_c0_g1_i1"	0.283738708655743	-0.262136726922694	0.675069345309266	0.00577445574508036	0.151253578487671	-0.408577727733129
"TRINITY_DN5651_c0_g1_i1"	-0.12664560732215	0.44360479687032	-0.232016480034071	-0.0599314852350812	-0.296711260227527	0.411430083504518
"TRINITY_DN5692_c0_g1_i2"	0.236184731150743	-0.424302755105502	0.891911489907465	-0.159620323773387	0.388446532604053	-0.633365134707056
"TRINITY_DN5654_c0_g1_i7"	0.31286028516464	-0.4641189178465	0.905317448861532	-0.0592593589507315	0.160111487562785	-0.782762511975955
"TRINITY_DN5608_c0_g1_i1"	0.219349476031314	-0.583638268817049	0.951661569345221	-0.0728901056841385	0.388396035795813	-0.818691745207475
"TRINITY_DN5697_c1_g2_i1"	0.223718283403702	-0.49516523217898	0.890622254755264	-0.253640363997786	0.174158367065268	-0.630324248124763
"TRINITY_DN5695_c0_g2_i1"	0.192405581840683	-0.436420242782995	0.613815398900835	-0.358764270255501	0.0264649890654014	-0.311445104649058
"TRINITY_DN5695_c0_g1_i1"	0.367622783912568	-0.408790169055475	0.465939123983896	-0.385829559178471	0.119432621948905	-0.350129602675643
"TRINITY_DN5695_c0_g1_i2"	-0.200492720767019	0.0588930863662207	0.218427401958145	0.576121378115783	-0.221852686495686	-0.245139455547665
"TRINITY_DN5695_c1_g1_i1"	0.408788736321783	-0.460865097268368	0.372496632764016	-0.125259161001113	0.184043868193152	-0.230696346605093
"TRINITY_DN5695_c0_g3_i1"	0.178437026957073	-0.610693937195884	0.93055429041592	-0.327401808211534	0.279012218218031	-0.631815173325505
"TRINITY_DN5634_c0_g1_i1"	0.213107561635466	-0.579649720839141	0.980006211586138	-0.247863882999202	0.37252455565245	-0.728570705503672
"TRINITY_DN5649_c0_g1_i21"	0.188334342798694	-0.621346904979121	0.86984063827287	-0.319148410730395	0.259074564453473	-0.646761702629948
"TRINITY_DN5649_c0_g1_i23"	0.133556573992485	-0.268750794428691	0.421813724064953	-0.0663162498461828	-0.00930263814555712	-0.162451280559435
"TRINITY_DN5649_c0_g1_i26"	0.197305555072265	-0.0965325491066878	-0.086754787037692	-0.303389854730775	-0.189076730374742	0.188346048790856
