"kMEblack"	"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEgreenyellow"	"kMEred"	"kMEsalmon"	"kMEyellow"
"TRINITY_DN5612_c17_g1_i3"	0.148223726662252	0.406958794921002	0.150375830507012	0.208238747178982	0.174431162629998	-0.687339135395096	0.257864144524696	-0.59936791481181
"TRINITY_DN5612_c10_g4_i2"	0.713249892961219	0.962105972941945	-0.699067668042155	-0.271425132733994	0.210084640334818	-0.551469039471352	0.380832189739106	-0.656247947419841
"TRINITY_DN5612_c12_g1_i1"	0.544754848741042	0.858138603910485	-0.713350753123527	0.0798837174834792	0.555217701427192	-0.461899896469935	0.329375049948261	-0.589439564995038
"TRINITY_DN5608_c1_g1_i1"	-0.461297269519204	-0.698921487885817	0.590263914133483	0.0235005411761128	-0.364348704049246	0.312614257602231	-0.372112390107134	0.934515547744338
"TRINITY_DN5621_c1_g1_i1"	-0.311909752944417	-0.582891722093941	0.608495611622423	0.0167171862276678	-0.313404913393729	0.166444139236766	-0.429319930623883	0.864040357408719
"TRINITY_DN5600_c0_g1_i13"	-0.397590758208225	-0.753054090213216	0.504468414837026	-0.0669443254176145	-0.295437185130748	0.377542515295761	-0.573964229183612	0.953160125097791
"TRINITY_DN5600_c0_g1_i7"	-0.408430114345281	-0.641287137564776	0.289207448627326	-0.140620508345367	-0.375078617830885	0.46156159995743	-0.241116090558457	0.908733665207965
"TRINITY_DN5632_c0_g1_i10"	0.770597472355926	0.928647575636658	-0.804447526619106	-0.15005154445506	0.296760471925153	-0.359999937778902	0.3016697709656	-0.624380366940968
"TRINITY_DN5632_c0_g3_i1"	0.422694709821357	0.835269299404055	-0.779535507534264	0.0608044359266814	0.490713594494759	-0.412096685503445	0.536641812847892	-0.671081576520113
"TRINITY_DN5632_c0_g2_i2"	0.851329715024175	0.664250654476624	-0.540489651188747	-0.0255879150199184	0.324999845181427	-0.285680258585707	0.142141872098802	-0.448410333210341
"TRINITY_DN5601_c0_g1_i10"	0.924979524055129	0.505690583695386	-0.491103497337369	-0.217327331448309	0.0515724224160318	0.017157676773855	0.101471532076996	-0.294624849744168
"TRINITY_DN5662_c12_g1_i7"	0.929773437501335	0.571924450308895	-0.501067664606896	-0.248705950514323	0.0561812613936152	-0.0523304972707771	0.0794503212059452	-0.294009147542168
