"kMEblue"	"kMEbrown"	"kMEgrey"	"kMEpink"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN8_c0_g1_i5"	-0.072472910574268	-0.199762772707103	-0.0968442789668379	0.19174258563433	0.933437242266058	0.543285939886036
"TRINITY_DN86_c0_g2_i1"	0.0296843050532897	-0.307116108106395	-0.199952520678639	0.0593195344769842	0.946590613966445	0.721344817638933
"TRINITY_DN86_c0_g1_i1"	-0.222995761543457	-0.163604868664673	-0.234179392247596	0.271616546622976	0.969794758824073	0.520245646669578
"TRINITY_DN43_c0_g2_i1"	-0.219955552952887	-0.12529252833134	-0.16272198553312	0.330239308903244	0.980150586600753	0.532950667025299
"TRINITY_DN63_c0_g1_i3"	-0.230996768865107	-0.117600875894407	-0.201643818339552	0.301877435774897	0.98299468730262	0.536590611860036
"TRINITY_DN63_c0_g1_i2"	-0.195568268652239	-0.146180205928795	-0.191873674936081	0.273633540020855	0.960367585012145	0.545773022701476
"TRINITY_DN22_c0_g1_i6"	-0.212339940140061	-0.0979228073696259	-0.172559341402219	0.230690564027006	0.959471280813207	0.541196802996539
"TRINITY_DN74_c0_g1_i1"	-0.0526394757815519	-0.243037770957918	-0.0917149970982682	0.158215482809424	0.924942447226073	0.537593882048425
"TRINITY_DN15_c0_g1_i1"	-0.0596278307374621	-0.187122065921119	-0.368267438389015	0.135828077914293	0.940639417686074	0.735912487479872
"TRINITY_DN72_c0_g1_i5"	0.151757947975281	-0.0755110677707256	-0.369040968242944	-0.218343854427011	0.275703926625638	0.305851047594553
"TRINITY_DN72_c0_g1_i13"	-0.00908645151865028	0.272770902900736	-0.226145013684684	-0.0176746381516697	-0.154920959719377	-0.0222513789271117
"TRINITY_DN72_c0_g1_i7"	0.13984768187347	-0.0634296490708414	-0.297635115276156	-0.203389449990039	0.184367198026398	0.235366474481287
"TRINITY_DN72_c0_g1_i9"	-0.0198543752911803	-0.194987079508424	-0.141277263877182	0.0049521448354059	-0.00541774955275147	-0.121574113756947
"TRINITY_DN72_c0_g1_i12"	0.48156311617906	-0.54104118175015	-0.329818231393654	-0.412373111386825	0.541956285214329	0.615325172905334
"TRINITY_DN72_c0_g1_i8"	0.849375897345695	-0.670583725651756	-0.0692793519467348	-0.786190458007531	-0.189984643129186	0.322271946670955
"TRINITY_DN55_c0_g1_i1"	0.860945936414926	-0.625863610441767	-0.172123570505773	-0.793927027615503	0.0640161839367149	0.612619120918893
