"id173_TPM"	"id272_TPM"
"TRINITY_DN3050_c0_g1_i1"	0	11.137
"TRINITY_DN582_c0_g1_i1"	6212.68	9889.28
"TRINITY_DN582_c1_g2_i1"	5532.45	26396.2
"TRINITY_DN590_c0_g1_i1"	1.19181	16.4908
"TRINITY_DN537_c0_g1_i1"	0	6.62883
"TRINITY_DN599_c0_g2_i1"	0	9.894
"TRINITY_DN561_c0_g1_i1"	3.40263	4.61662
"TRINITY_DN569_c0_g1_i1"	0	6.89732
"TRINITY_DN2172_c0_g1_i1"	0	24.6761
"TRINITY_DN2140_c0_g1_i1"	0	5.20999
"TRINITY_DN1255_c0_g1_i3"	10.4996	13.047
"TRINITY_DN999_c0_g1_i1"	0	5.70988
"TRINITY_DN3319_c0_g1_i1"	1.93781	9.98193
"TRINITY_DN3309_c0_g1_i1"	0	5.56664
"TRINITY_DN3337_c0_g1_i1"	6.78748	18.5288
"TRINITY_DN3356_c0_g1_i1"	0	15.7537
"TRINITY_DN1596_c0_g1_i1"	0	5.52221
"TRINITY_DN1510_c0_g1_i1"	0.754165	15.897
"TRINITY_DN1545_c0_g2_i1"	3533.07	7002.26
"TRINITY_DN4685_c0_g1_i1"	1.94053	14.0362
"TRINITY_DN354_c0_g1_i2"	0.0986009	22.0801
"TRINITY_DN389_c0_g2_i1"	442.386	1224.56
"TRINITY_DN320_c0_g1_i2"	1.81292	96.656
"TRINITY_DN320_c0_g1_i1"	1.54073e-08	17.6937
"TRINITY_DN4963_c0_g1_i1"	0	18.9612
"TRINITY_DN4993_c0_g1_i1"	0.789183	4.51534
"TRINITY_DN4910_c0_g1_i1"	2.28644	14.8389
"TRINITY_DN4901_c0_g1_i1"	2.27088	11.059
"TRINITY_DN5024_c0_g1_i1"	0.595199	17.7422
"TRINITY_DN5089_c0_g1_i1"	0	5.02299
"TRINITY_DN5079_c0_g1_i1"	0.277256	7.50843
"TRINITY_DN5075_c0_g1_i1"	0	5.79433
"TRINITY_DN795_c1_g1_i1"	7.02542	167.204
"TRINITY_DN730_c0_g1_i1"	0	15.4048
"TRINITY_DN756_c0_g1_i1"	10.1446	49.8733
"TRINITY_DN2256_c0_g1_i1"	0	10.5332
"TRINITY_DN2241_c0_g1_i1"	0	146.861
"TRINITY_DN2241_c0_g1_i2"	46.18	145.381
"TRINITY_DN2252_c0_g1_i1"	0	8.76292
"TRINITY_DN1393_c0_g1_i1"	169.837	394.635
"TRINITY_DN1362_c0_g1_i1"	0	7.87527
"TRINITY_DN4410_c0_g1_i1"	0	8.87368
"TRINITY_DN4402_c0_g1_i1"	0	8.51259
"TRINITY_DN1674_c0_g1_i1"	0	24.2028
"TRINITY_DN1679_c0_g1_i1"	0	11.6951
"TRINITY_DN1671_c0_g1_i1"	0	7.53533
"TRINITY_DN1690_c0_g1_i1"	0	5.44106
