"kMEblue"	"kMEbrown"	"kMEgreen"	"kMEgrey"	"kMEturquoise"
"TRINITY_DN2969_c0_g1_i2"	0.482536723438781	0.860758293562833	-0.351238287235224	-0.605638966524257	0.253939771364192
"TRINITY_DN2969_c0_g1_i3"	0.452834669632628	0.912673639097834	-0.395640244443858	-0.618517118653101	0.373027270235311
"TRINITY_DN2987_c0_g1_i1"	-0.681435873760862	-0.282772068933501	0.622429021186986	0.192239082715806	0.0146471441023881
"TRINITY_DN2092_c0_g1_i1"	-0.27783331893549	0.647051007298886	0.0497010612411988	-0.0742196188524401	0.982065316162177
"TRINITY_DN2099_c0_g1_i1"	-0.345791699113703	0.604613972841448	0.0846936331312486	-0.186294848824888	0.967712891283728
"TRINITY_DN412_c0_g1_i1"	-0.125051049091143	0.352419096549243	0.302655402323622	-0.200871764553345	0.134331113938363
"TRINITY_DN429_c0_g3_i1"	0.910984014800495	0.434389678938668	-0.856864179599568	-0.0476362976906015	-0.0596394549141979
"TRINITY_DN438_c0_g1_i1"	0.0221498662533282	0.916862472898213	-0.12948212342027	-0.496562729435453	0.844636739592215
"TRINITY_DN404_c0_g1_i7"	0.190650040233605	0.601516359768227	-0.401655254348682	-0.102742086109729	0.67134725499405
"TRINITY_DN404_c0_g1_i5"	-0.0588570617171721	0.768210033370358	-0.0957834459195517	-0.232311720390699	0.927037379937616
"TRINITY_DN404_c0_g1_i3"	-0.240488338807695	0.636440288202063	-0.0156476114052014	-0.12355446835084	0.9798418253602
"TRINITY_DN1188_c0_g1_i1"	0.0889218227151031	0.843317028845764	-0.282339613442922	-0.283863562372789	0.86960719702186
"TRINITY_DN1127_c1_g1_i1"	0.836281262482013	0.161442782661138	-0.672921783831334	-0.0816489028918844	-0.343765403953987
"TRINITY_DN1167_c0_g1_i1"	-0.28162498946156	0.610801609862798	0.0372573523471397	-0.0626687951845942	0.947536454633065
"TRINITY_DN804_c0_g1_i1"	-0.324866195813854	0.628208798872793	0.0898744543140067	-0.139660228792527	0.987255117229127
"TRINITY_DN825_c1_g1_i1"	0.41392172479694	0.930253494340661	-0.3463345031255	-0.645247804001438	0.398997864411044
"TRINITY_DN805_c0_g2_i1"	0.678091960141829	0.1447690659432	-0.502581735190065	-0.0236281685472012	-0.441978724242557
"TRINITY_DN836_c0_g1_i2"	-0.671056603746037	-0.0623318593002535	0.807953120067187	-0.203409248873844	0.0933486645609326
"TRINITY_DN836_c0_g1_i1"	-0.638232089756753	-0.0763085558550626	0.82031659032744	-0.22897902037582	0.124450505228433
"TRINITY_DN868_c0_g1_i1"	0.332707364956669	0.931694798366269	-0.282029228451081	-0.679258555884081	0.457130625203292
"TRINITY_DN5114_c0_g1_i1"	-0.282953919475156	0.64568176864467	0.0475045020016254	-0.0717876250308916	0.985392258016601
"TRINITY_DN5198_c0_g1_i1"	0.113391603432017	0.953198792297702	-0.179362412763886	-0.477674959483471	0.782093294129942
"TRINITY_DN5162_c0_g1_i1"	-0.835034687391532	-0.0893310007412305	0.831144827738023	-0.253869364249373	0.345684126066187
"TRINITY_DN5174_c0_g1_i1"	0.350095796321823	0.959195259238242	-0.30205391795043	-0.62394859860286	0.499090547039784
"TRINITY_DN5195_c0_g1_i1"	-0.0869189606249663	0.58866596805852	-0.127705458299679	-0.0657209662539411	0.884398700093558
"TRINITY_DN4288_c0_g1_i1"	-0.896991773833995	-0.190110133610255	0.910615201037058	0.0130581506303622	0.299838993634177
"TRINITY_DN4200_c0_g1_i1"	-0.361029562101722	0.619362668739899	0.118475009809604	-0.164634390270781	0.98481263741465
"TRINITY_DN4264_c0_g1_i1"	-0.889410874579976	-0.362427666292152	0.802812991862219	6.63780095929155e-05	0.195469772629575
"TRINITY_DN4233_c0_g1_i1"	-0.317073738913083	0.63240365489771	0.0769154758010728	-0.129091876520276	0.989271489662393
"TRINITY_DN4238_c0_g1_i1"	0.458179707241926	0.820366586188184	-0.566614318434213	-0.189920299293104	0.518775531751151
"TRINITY_DN4263_c0_g1_i1"	0.707980742191028	-0.0932944368903305	-0.559211206963974	-0.0550631870610901	-0.63233038429817
"TRINITY_DN4279_c0_g1_i1"	-0.175626225807746	0.596777120208134	-0.103478419402791	-0.0212950632003893	0.936231816313204
"TRINITY_DN4518_c0_g1_i1"	0.0656970219478978	0.889102873654695	-0.227031453930374	-0.434716621424424	0.840335775001056
"TRINITY_DN4534_c0_g1_i1"	-0.318923166637816	0.633930173949933	0.0798139551662691	-0.129838402563096	0.991579394868348
"TRINITY_DN4541_c0_g1_i1"	-0.273085599677263	0.650410998051994	0.0226242679100218	-0.118971044781244	0.985366713409679
"TRINITY_DN4548_c0_g1_i1"	-0.810870813032351	-0.296059495509816	0.936183456471933	-0.0413150993828914	0.0050832471288709
"TRINITY_DN3614_c0_g1_i1"	-0.27703545534315	0.584462553131224	-0.0138840340134547	-0.130611674349248	0.947985899310881
"TRINITY_DN3640_c0_g1_i1"	-0.303219196238108	0.635284153566196	0.0541978001766387	-0.177144470482197	0.982902988344598
"TRINITY_DN2745_c0_g1_i1"	-0.0652567172823422	0.605528468185928	-0.1536458222452	-0.0345993959721402	0.889384580635486
