Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,full Cq mean,,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,full SQ mean,SQ Std. Dev,Set Point,Well Note
H02,FAM,Hemato,Unkn-36,37-F06,,28.68026373,28.47360934,28.42735887,diff,0.29225343,399.4,2.60141132,468.93,499.02,98.32708178,72,
E07,FAM,Hemato,Unkn-24,31-E02,,29.09125319,29.00618827,28.97078547,diff,0.120299963,296.8,2.472398457,316.17,335.28,27.45731821,72,
E08,FAM,Hemato,Unkn-24,31-E02,,28.92112335,29.00618827,28.97078547,diff,0.120299963,335.6,2.525803567,316.17,335.28,27.45731821,72,
E06,FAM,Hemato,Unkn-23,31-D01,,28.89936526,29.27965974,29.21296422,diff,0.537817599,340.9,2.532633604,268.82,293.28,101.9446573,72,
E05,FAM,Hemato,Unkn-23,31-D01,,29.65995421,29.27965974,29.21296422,diff,0.537817599,196.7,2.293878685,268.82,293.28,101.9446573,72,
A06,FAM,Hemato,Unkn-03,31-B08,,29.33098617,29.24609845,29.22094114,diff,0.120049374,249.5,2.397144367,265.83,280.11,23.03783536,72,
A05,FAM,Hemato,Unkn-03,31-B08,,29.16121072,29.24609845,29.22094114,diff,0.120049374,282.1,2.450438232,265.83,280.11,23.03783536,72,
E11,FAM,Hemato,Std-11,,,29.47032626,29.47449947,29.43341393,diff,0.005901819,300.0,2.477121255,300.00,300.00,0,72,
E12,FAM,Hemato,Std-11,,,29.47867269,29.47449947,29.43341393,diff,0.005901819,300.0,2.477121255,300.00,300.00,0,72,
F10,FAM,Hemato,Unkn-30,31-F07,,29.30157358,29.52323912,29.4820262,diff,0.31348242,254.9,2.406377215,219.96,234.88,49.41767807,72,
F09,FAM,Hemato,Unkn-30,31-F07,,29.74490467,29.52323912,29.4820262,diff,0.31348242,185.0,2.267212059,219.96,234.88,49.41767807,72,
H07,FAM,Hemato,Unkn-39,31-E06,,29.41471363,29.60550359,29.56341451,diff,0.269817751,234.9,2.370861652,206.58,220.88,40.03458539,72,
H08,FAM,Hemato,Unkn-39,31-E06,,29.79629355,29.60550359,29.56341451,diff,0.269817751,178.3,2.251080679,206.58,220.88,40.03458539,72,
A04,FAM,Hemato,Unkn-02,37-C08,,29.46322459,29.63431046,29.60537184,diff,0.241951959,226.8,2.355633675,201.95,213.88,35.13839506,72,
A03,FAM,Hemato,Unkn-02,37-C08,,29.80539633,29.63431046,29.60537184,diff,0.241951959,177.1,2.248223244,201.95,213.88,35.13839506,72,
G01,FAM,Hemato,Unkn-31,37-B05,,29.68967563,29.65417716,29.61803845,diff,0.050202421,192.6,2.284548893,197.62,210.46,7.169394304,72,
G02,FAM,Hemato,Unkn-31,37-B05,,29.61867869,29.65417716,29.61803845,diff,0.050202421,202.7,2.306835398,197.62,210.46,7.169394304,72,
H10,FAM,Hemato,Unkn-40,31-F12,,29.55283272,29.67143291,29.6275253,diff,0.167725994,212.6,2.32750497,195.83,209.76,23.68239355,72,
H09,FAM,Hemato,Unkn-40,31-F12,,29.7900331,29.67143291,29.6275253,diff,0.167725994,179.1,2.253045886,195.83,209.76,23.68239355,72,
E04,FAM,Hemato,Unkn-22,38-G02,,30.22711311,29.92495874,29.87770467,diff,0.427310804,130.6,2.115842994,166.33,178.92,50.57088002,72,
E03,FAM,Hemato,Unkn-22,38-G02,,29.62280437,29.92495874,29.87770467,diff,0.427310804,202.1,2.305540314,166.33,178.92,50.57088002,72,
C04,FAM,Hemato,Unkn-12,38-D01,,30.34715577,30.19810012,30.17011125,diff,0.210796523,119.7,2.078160647,134.11,142.52,20.35502771,72,
C03,FAM,Hemato,Unkn-12,38-D01,,30.04904447,30.19810012,30.17011125,diff,0.210796523,148.5,2.171740156,134.11,142.52,20.35502771,72,
A01,FAM,Hemato,Unkn-01,37-F01,,30.65911624,30.47682552,30.44592128,diff,0.257798008,95.6,1.980233775,109.96,117.26,20.37087703,72,
A02,FAM,Hemato,Unkn-01,37-F01,,30.2945348,30.47682552,30.44592128,diff,0.257798008,124.4,2.094678789,109.96,117.26,20.37087703,72,
G03,FAM,Hemato,Unkn-32,38-E08,,30.51165941,30.60864266,30.56962284,diff,0.137155025,106.3,2.026521645,99.34,106.62,9.832482671,72,
G04,FAM,Hemato,Unkn-32,38-E08,,30.70562591,30.60864266,30.56962284,diff,0.137155025,92.4,1.965634019,99.34,106.62,9.832482671,72,
B07,FAM,Hemato,Unkn-09,31-D08,,30.62036351,30.65325083,30.6178854,diff,0.046509699,98.3,1.992398565,95.98,102.82,3.226096953,72,
B08,FAM,Hemato,Unkn-09,31-D08,,30.68613815,30.65325083,30.6178854,diff,0.046509699,93.7,1.97175138,95.98,102.82,3.226096953,72,
C01,FAM,Hemato,Unkn-11,37-D02,,31.14560048,30.79464935,30.76838136,diff,0.496319853,67.2,1.8275225,89.44,95.31,31.41348818,72,
C02,FAM,Hemato,Unkn-11,37-D02,,30.44369822,30.79464935,30.76838136,diff,0.496319853,111.6,2.047855205,89.44,95.31,31.41348818,72,
F02,FAM,Hemato,Unkn-26,37-H04,,30.85600416,31.00750248,30.97155394,diff,0.214250976,82.9,1.91842909,74.73,80.30,11.52606235,72,
F01,FAM,Hemato,Unkn-26,37-H04,,31.15900079,31.00750248,30.97155394,diff,0.214250976,66.6,1.823316035,74.73,80.30,11.52606235,72,
D07,FAM,Hemato,Unkn-19,31-D12,,31.12329475,31.02533744,30.99298928,diff,0.13853256,68.3,1.834524447,73.51,78.79,7.348635397,72,
D08,FAM,Hemato,Unkn-19,31-D12,,30.92738012,31.02533744,30.99298928,diff,0.13853256,78.7,1.896023607,73.51,78.79,7.348635397,72,
D10,FAM,Hemato,Unkn-20,31-F01,,30.074252,31.32078113,31.27888578,diff,1.762858407,145.8,2.163827313,84.94,91.01,86.10206423,72,
D09,FAM,Hemato,Unkn-20,31-F01,,32.56731026,31.32078113,31.27888578,diff,1.762858407,24.1,1.38123649,84.94,91.01,86.10206423,72,
D04,FAM,Hemato,Unkn-17,38-C02,,31.7201219,31.59912692,31.56118772,diff,0.171112744,44.4,1.647175656,48.62,52.49,5.99805963,72,
D03,FAM,Hemato,Unkn-17,38-C02,,31.47813194,31.59912692,31.56118772,diff,0.171112744,52.9,1.723138231,48.62,52.49,5.99805963,72,
C05,FAM,Hemato,Unkn-13,31-C03,,31.52387568,31.60146955,31.56380408,diff,0.109734308,51.1,1.708778906,48.43,52.29,3.837157856,72,
C06,FAM,Hemato,Unkn-13,31-C03,,31.67906343,31.60146955,31.56380408,diff,0.109734308,45.7,1.660064238,48.43,52.29,3.837157856,72,
F06,FAM,Hemato,Unkn-28,31-D02,,31.52023536,31.70273193,31.66025925,diff,0.258089122,51.3,1.70992163,45.33,49.13,8.407772076,72,
F05,FAM,Hemato,Unkn-28,31-D02,,31.8852285,31.70273193,31.66025925,diff,0.258089122,39.4,1.595347381,45.33,49.13,8.407772076,72,
B05,FAM,Hemato,Unkn-08,31-C02,,31.94678157,32.50348017,32.4719912,diff,0.787290719,37.7,1.576025384,27.26,29.52,14.72594941,72,
B06,FAM,Hemato,Unkn-08,31-C02,,33.06017878,32.50348017,32.4719912,diff,0.787290719,16.8,1.226521141,27.26,29.52,14.72594941,72,
A07,FAM,Hemato,Unkn-04,31-D06,,32.78094568,32.65433618,32.6114645,diff,0.179052864,20.6,1.314174634,22.68,24.76,2.927680329,72,
A08,FAM,Hemato,Unkn-04,31-D06,,32.52772669,32.65433618,32.6114645,diff,0.179052864,24.8,1.393662089,22.68,24.76,2.927680329,72,
D01,FAM,Hemato,Unkn-16,37-A04,,32.33400286,32.70634699,32.66783905,diff,0.526574123,28.5,1.45447354,22.55,24.57,8.38106898,72,
D02,FAM,Hemato,Unkn-16,37-A04,,33.07869113,32.70634699,32.66783905,diff,0.526574123,16.6,1.220709969,22.55,24.57,8.38106898,72,
E02,FAM,Hemato,Unkn-21,37-C04,,34.4163089,34.70316544,34.64951425,diff,0.405676399,6.3,0.800821108,5.25,5.84,1.517328351,72,
E01,FAM,Hemato,Unkn-21,37-C04,,34.99002197,34.70316544,34.64951425,diff,0.405676399,4.2,0.620728013,5.25,5.84,1.517328351,72,
H06,FAM,Hemato,Unkn-38,31-D05,,34.81662875,35.0212154,34.98503069,diff,0.289329213,4.7,0.675157523,4.13,4.56,0.856895935,72,
H05,FAM,Hemato,Unkn-38,31-D05,,35.22580205,35.0212154,34.98503069,diff,0.289329213,3.5,0.54671477,4.13,4.56,0.856895935,72,
G11,FAM,Hemato,Std-13,,,35.29061064,35.23007549,35.19729753,diff,0.085609629,3.0,0.477121255,3.00,3.00,0,72,
G12,FAM,Hemato,Std-13,,,35.16954034,35.23007549,35.19729753,diff,0.085609629,3.0,0.477121255,3.00,3.00,0,72,
G07,FAM,Hemato,Unkn-34,31-E04,,36.60092822,36.25229945,36.2118596,diff,0.49303553,1.3,0.115051725,1.73,1.93,0.603909374,72,
G08,FAM,Hemato,Unkn-34,31-E04,,35.90367069,36.25229945,36.2118596,diff,0.49303553,2.2,0.333926412,1.73,1.93,0.603909374,72,
H04,FAM,Hemato,Unkn-37,31-B07,,36.56153188,36.59643672,36.54818396,diff,0.049362894,1.3,0.12741855,1.31,1.47,0.046658024,72,
H03,FAM,Hemato,Unkn-37,31-B07,,36.63134155,36.59643672,36.54818396,diff,0.049362894,1.3,0.105504738,1.31,1.47,0.046658024,72,
E09,FAM,Hemato,Unkn-25,31-F02,,35.61843069,36.61493108,36.57537546,diff,1.409264359,2.7,0.423465515,1.64,1.82,1.430833277,72,
E10,FAM,Hemato,Unkn-25,31-F02,,37.61143146,36.61493108,36.57537546,diff,1.409264359,0.6,-0.202153281,1.64,1.82,1.430833277,72,
D05,FAM,Hemato,Unkn-18,31-C11,,36.62444894,37.15548207,37.11792728,diff,0.750994255,1.3,0.107668385,0.94,1.05,0.485556095,72,
D06,FAM,Hemato,Unkn-18,31-C11,,37.6865152,37.15548207,37.11792728,diff,0.750994255,0.6,-0.225722663,0.94,1.05,0.485556095,72,
