"kMEblack"	"kMEbrown"	"kMEmagenta"	"kMEpink"	"kMEred"	"kMEturquoise"
"TRINITY_DN5695_c0_g1_i1"	0.372123972486847	-0.347315352218504	-0.388636998377385	0.122243999700644	-0.416745051248181	0.470604192637107
"TRINITY_DN5695_c0_g1_i2"	-0.195198473097666	-0.259012652450014	0.570668994333992	-0.217169169209942	0.037120269658657	0.222344074579335
"TRINITY_DN5695_c1_g1_i1"	0.409797481727776	-0.225620735906247	-0.124124521822924	0.186447544008729	-0.461301196593033	0.372771871143928
"TRINITY_DN5695_c0_g3_i1"	0.176281388379046	-0.638769638069398	-0.323316354699267	0.277877243220993	-0.617453268456201	0.93305227541742
"TRINITY_DN5634_c0_g1_i1"	0.209606961632607	-0.73244681041346	-0.249187749345505	0.37520304384278	-0.589704267111651	0.979584728347255
"TRINITY_DN5649_c0_g1_i21"	0.186471960015821	-0.642355339720779	-0.318974272201898	0.256509550356433	-0.627626999591749	0.873405772170172
"TRINITY_DN5649_c0_g1_i23"	0.126069556542179	-0.165530276952972	-0.0605802779387996	-0.00994552843347123	-0.274052211641889	0.425599209556488
"TRINITY_DN5649_c0_g1_i26"	0.187854966617554	0.199919448861747	-0.299320967188816	-0.19548573793224	-0.086825558006994	-0.0942291390216486
"TRINITY_DN5617_c0_g1_i1"	0.113859267781884	-0.646768959796551	-0.0582564353123206	0.0605911169970806	-0.219009037551668	0.764694052449638
"TRINITY_DN5677_c0_g1_i3"	0.0243143203476567	-0.734055961769284	0.497345861073055	0.195784591366114	-0.379515802977518	0.494831579486688
"TRINITY_DN5677_c0_g1_i4"	-0.0916885182981475	0.24410621690386	0.192030286189061	-0.228656736124351	0.555849457472186	-0.140132791103943
"TRINITY_DN5696_c0_g1_i1"	-0.0220488687308542	-0.42219702668604	0.0910920853015362	0.262525640830261	-0.290580123646447	0.61379376028259
"TRINITY_DN5696_c0_g1_i2"	0.198823486724126	-0.61732794121194	-0.0922060377991588	0.386873818242601	-0.433752497021725	0.817721454313173
"TRINITY_DN5624_c0_g1_i1"	0.0370897091377956	-0.565758524376951	-0.130267264454171	0.173476137577656	-0.405489222999022	0.840233310291793
"TRINITY_DN5660_c1_g1_i2"	0.230004302624534	-0.535399013451649	-0.413364180183367	0.277207863383089	-0.602322804775383	0.84491576564836
"TRINITY_DN5660_c2_g1_i1"	0.245820093374048	-0.32333950838577	-0.438225639163231	0.171752542530668	-0.506340007104288	0.666969546629613
"TRINITY_DN5660_c2_g1_i2"	0.142038454613224	-0.293347309507739	0.135688835455814	0.289026983620372	-0.121102365007498	0.416751218471146
"TRINITY_DN5671_c0_g1_i1"	-0.318704678369445	0.368816346535406	0.230067939951145	-0.405986525952202	0.772770477450813	-0.288686080849129
"TRINITY_DN5671_c0_g1_i12"	-0.396750203427694	0.216451368598584	0.34182524681469	-0.158904515613305	0.706725145596437	-0.191750842259923
"TRINITY_DN5671_c0_g1_i8"	-0.270286728113309	0.552580538779394	0.230794128274438	-0.370707080050451	0.912784598499125	-0.575346776338385
"TRINITY_DN5683_c0_g1_i1"	0.111768708553478	-0.693765223990161	-0.330783668205917	0.305354839539786	-0.67317790527405	0.927955857401093
"TRINITY_DN5658_c1_g1_i2"	0.0391861027826714	-0.399703126928978	0.861545784873853	-0.0326696517076167	0.207028034670323	0.128177950443004
"TRINITY_DN5642_c0_g1_i1"	-0.493430380118728	0.818789630983389	-0.118908187132602	-0.574050768673907	0.303899429450081	-0.566615866012822
"TRINITY_DN5642_c0_g1_i2"	-0.300349442315678	0.856647283585833	-0.212016779054413	-0.331054620062993	0.517112445717488	-0.6116508051276
"TRINITY_DN5642_c0_g1_i3"	-0.289081354916857	0.915316292805427	-0.174240732452449	-0.32692749734741	0.418420570029942	-0.758003480235022
"TRINITY_DN5681_c0_g1_i1"	-0.157486315836014	0.234770177440874	-0.174742230270405	0.0887516712555467	-0.0569459694517464	-0.0348709282927333
"TRINITY_DN5622_c0_g1_i1"	0.156568387938779	-0.765946203652269	-0.175148886734193	0.383989693542624	-0.547992380896637	0.844811115500534
"TRINITY_DN5699_c0_g1_i3"	-0.0244938014550034	0.313582144389908	-0.305587879771526	-0.100036365736327	0.324066778375401	-0.25884677728019
"TRINITY_DN5635_c0_g1_i1"	0.26900745073996	-0.833907981799675	-0.200697866330603	0.337792551675177	-0.610525214238444	0.965890165702907
"TRINITY_DN5611_c0_g2_i2"	0.304989326601885	-0.678694394608893	0.0157406303889529	0.357768291055661	-0.302531194649193	0.787135287466977
"TRINITY_DN37977_c0_g1_i1"	-0.171941245000202	0.262099525276961	0.397011767896896	-0.424606492393693	0.871617661597719	-0.41277956406793
"TRINITY_DN37897_c0_g1_i1"	-0.177468660194162	-0.160449231578139	0.352902490318395	-0.172229326460049	0.272160823156956	0.0996184360963482
