"kMEcyan"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEsalmon"	"kMEtan"	"kMEturquoise"
"TRINITY_DN5656_c0_g1_i3"	0.249479591135094	0.382615990598957	-0.153088593764049	-0.154139702768924	0.486302279878596	-0.0971260521185004	-0.15440715096897
"TRINITY_DN5680_c0_g1_i1"	0.185943810074779	-0.773062093713057	0.355849279155915	0.283666737086508	-0.278103918737498	0.256158461690123	0.980030089166996
"TRINITY_DN5653_c0_g4_i1"	-0.0700881102944029	0.324411445648055	0.152834472428566	-0.495568345769484	0.195659242357651	0.246673438688896	-0.401112433010352
"TRINITY_DN5653_c0_g2_i1"	0.363733603682897	-0.128530942304225	-0.204521335318136	0.726347265956607	-0.263666974083867	-0.184760498851228	0.112180772781177
"TRINITY_DN5653_c0_g2_i2"	0.655196858273553	-0.0275093803034772	0.00557081987476382	-0.0291815504595943	-0.0062409226706677	0.0677652009311004	0.266685238733859
"TRINITY_DN5653_c0_g2_i3"	-0.334007532234183	0.0946057576609234	0.237672662922176	-0.404447679502772	0.651577621326313	-0.0340149735229275	-0.031903838748674
"TRINITY_DN5633_c0_g1_i1"	0.52933940640481	-0.397553105739512	0.291542314187643	0.0287794131421412	-0.0557162598687134	0.306152609504664	0.731879931589094
"TRINITY_DN5633_c0_g1_i2"	-0.0784695990618997	-0.676360120946633	0.503678764959476	0.540967595363885	-0.164173842657184	0.709497124222846	0.388597388617699
"TRINITY_DN5661_c0_g1_i1"	0.325315664209559	0.872368888992191	-0.397831979891753	-0.426778387125168	0.0359754850828613	-0.525020841402392	-0.50385851395461
"TRINITY_DN5661_c0_g1_i4"	0.0772192885804397	0.956816739768819	-0.403359885563925	-0.434442007630761	0.183474530992404	-0.506790317948832	-0.815429689277222
"TRINITY_DN5661_c0_g1_i5"	0.322053782261383	0.860169015198221	-0.398194837265242	-0.426417498708074	0.0398746455946599	-0.533803105455385	-0.476808464070919
"TRINITY_DN5661_c0_g4_i3"	-0.0433307015841899	0.931740107915759	-0.552328879858451	-0.598250955694348	0.0675567154390879	-0.54319401921114	-0.768861359831775
"TRINITY_DN5614_c0_g1_i1"	0.426390233900103	-0.392075144006004	0.046056664443738	0.39453297240547	-0.00920561222949817	-0.374628151135051	0.72299003383933
"TRINITY_DN5651_c0_g1_i1"	0.575645092497669	0.472393959027504	-0.535033626963397	-0.190858710039829	0.0237788963458531	-0.225572695504337	-0.136773170839829
"TRINITY_DN5692_c0_g1_i2"	0.191382854345068	-0.65886305347875	0.371039597411129	0.214116309066245	-0.238808817267672	0.052917862671504	0.951202451518601
"TRINITY_DN5654_c0_g1_i7"	0.550579216850874	-0.654020602440575	0.0703022553021486	0.473043584650885	-0.127975832649511	0.0918413641925863	0.899479105363107
"TRINITY_DN5608_c0_g1_i1"	0.204007577343536	-0.768932246914788	0.387217586915261	0.256336988886847	-0.055631391454988	0.360142764036655	0.971601308938846
"TRINITY_DN5697_c1_g2_i1"	0.427087330412105	-0.5005855080334	0.128561892337033	0.335283517247992	-0.258306053847039	-0.21652404478631	0.823810208049878
"TRINITY_DN5695_c0_g2_i1"	0.548327883919561	-0.159369688148798	-0.181850736524839	0.265583104929555	-0.164207634368477	-0.526244839015741	0.456774219775647
"TRINITY_DN5695_c0_g1_i1"	0.324517399466917	-0.39961792234924	0.184360949127522	0.698113651054502	-0.573639754454724	-0.0364981742999577	0.403926628884479
"TRINITY_DN5695_c0_g1_i2"	0.227005839421506	-0.0265162969718537	-0.257191907495799	-0.295423663217839	0.463619745405774	0.0329125304990519	0.20728309213322
"TRINITY_DN5695_c1_g1_i1"	0.313716904561865	-0.501096900072843	0.0469673465747658	0.399091731726139	-0.0341559651454699	0.344393924324714	0.479409372014693
"TRINITY_DN5695_c0_g3_i1"	0.309507996531522	-0.604686277054946	0.246078525961469	0.264414114639626	-0.240371972397817	0.0159234806272687	0.934518139224262
"TRINITY_DN5634_c0_g1_i1"	0.240607509801578	-0.707250797268068	0.34378202134387	0.217114467740333	-0.143866491197586	0.19391387911211	0.98386614774177
"TRINITY_DN5649_c0_g1_i21"	0.168160475855019	-0.615956501579966	0.129763335596806	0.242693179487156	-0.317739795858003	-0.127738493904312	0.802326750450133
"TRINITY_DN5649_c0_g1_i23"	0.126789315747724	-0.215179934001944	-0.256598629350867	0.0501236436676257	-0.0118819211800847	-0.185009375482568	0.249316786222503
"TRINITY_DN5649_c0_g1_i26"	0.336060332244208	0.486327613	-0.478950015129594	0.081158145308387	0.0107718942987781	-0.149893889229125	-0.543769884988813
