"Transcript_ID"	"id127_TPM"	"id280_TPM"
"TRINITY_DN5671_c0_g1_i20"	0.20375	2.49342
"TRINITY_DN5671_c0_g1_i4"	0	0
"TRINITY_DN5671_c0_g1_i5"	0	0.637418
"TRINITY_DN5671_c0_g1_i6"	0	0
"TRINITY_DN5671_c0_g1_i8"	2.28274	148.789
"TRINITY_DN5671_c0_g1_i9"	0.506787	6.11625
"TRINITY_DN5619_c0_g1_i1"	0	0
"TRINITY_DN5601_c0_g1_i1"	0	1.37273
"TRINITY_DN5601_c0_g1_i2"	0	0
"TRINITY_DN5683_c0_g1_i1"	4.85738	2.20576
"TRINITY_DN5682_c0_g1_i1"	1.1485	0.138943
"TRINITY_DN5646_c0_g1_i1"	1.62088	0.457134
"TRINITY_DN5646_c0_g1_i2"	0	0.368135
"TRINITY_DN5646_c0_g1_i3"	0	0
"TRINITY_DN5646_c1_g1_i1"	1.91779	4.09648
"TRINITY_DN5658_c0_g1_i1"	0	1.52104
"TRINITY_DN5658_c1_g1_i1"	0	1.62066
"TRINITY_DN5658_c1_g1_i2"	6520.41	1202.09
"TRINITY_DN5678_c5_g1_i1"	0	0.603985
"TRINITY_DN5678_c1_g1_i1"	0	0.416096
"TRINITY_DN5678_c1_g1_i2"	0	0
"TRINITY_DN5678_c1_g1_i3"	0.150798	0.238195
"TRINITY_DN5678_c1_g1_i4"	0	0.210681
"TRINITY_DN5678_c3_g1_i1"	0	0.379725
"TRINITY_DN5642_c0_g1_i1"	0	3.1891
"TRINITY_DN5642_c0_g1_i2"	0	1.82285
"TRINITY_DN5642_c0_g1_i3"	0	0
"TRINITY_DN5642_c0_g1_i4"	0	0
"TRINITY_DN5606_c0_g1_i1"	0.230318	0.223367
"TRINITY_DN5663_c0_g5_i1"	0	0
"TRINITY_DN5663_c0_g4_i1"	0	0
"TRINITY_DN5663_c0_g6_i1"	0	0
"TRINITY_DN5663_c0_g1_i1"	0	0
"TRINITY_DN5663_c0_g1_i2"	0	0
"TRINITY_DN5663_c0_g1_i3"	0	0
"TRINITY_DN5663_c0_g3_i1"	0	0
