"Transcript_ID"	"id173_TPM"	"id272_TPM"
"TRINITY_DN5630_c0_g1_i3"	0	0
"TRINITY_DN5630_c0_g1_i4"	0	0
"TRINITY_DN5664_c0_g1_i1"	8.36673	6.17571
"TRINITY_DN5668_c0_g1_i1"	0	0
"TRINITY_DN5668_c0_g1_i2"	0	0
"TRINITY_DN5613_c0_g2_i1"	0	0.671067
"TRINITY_DN5613_c0_g1_i1"	0	0
"TRINITY_DN5613_c0_g1_i2"	0	0.832728
"TRINITY_DN5613_c0_g1_i3"	0	0.870218
"TRINITY_DN5613_c0_g1_i4"	0	3.98539
"TRINITY_DN5613_c0_g1_i5"	0	0
"TRINITY_DN5644_c0_g1_i1"	1.55639	1.439
"TRINITY_DN5614_c0_g1_i1"	0	2.32617
"TRINITY_DN5651_c0_g1_i1"	0	24.7218
"TRINITY_DN5651_c0_g1_i2"	0	1.56259
"TRINITY_DN5651_c0_g1_i3"	0	0
"TRINITY_DN5669_c0_g1_i1"	17.325	0.390254
"TRINITY_DN5673_c0_g1_i1"	0	1.87306
"TRINITY_DN5673_c0_g1_i2"	0	0.791318
"TRINITY_DN5692_c0_g1_i1"	0	0
"TRINITY_DN5692_c0_g1_i2"	4.46528	1.77552
"TRINITY_DN5612_c0_g1_i1"	0.186572	0.0377424
"TRINITY_DN5620_c0_g1_i1"	0.429025	0.878491
"TRINITY_DN5654_c0_g1_i1"	0	0
"TRINITY_DN5654_c0_g1_i10"	0	1.45606
"TRINITY_DN5654_c0_g1_i12"	0	0
"TRINITY_DN5654_c0_g1_i13"	0	0.199175
"TRINITY_DN5654_c0_g1_i2"	0	0
"TRINITY_DN5654_c0_g1_i3"	0	0
"TRINITY_DN5654_c0_g1_i5"	0	0
"TRINITY_DN5654_c0_g1_i6"	0	0.0502588
"TRINITY_DN5654_c0_g1_i7"	1.27102	6.10952
"TRINITY_DN5654_c0_g1_i8"	0	0.946731
"TRINITY_DN5654_c2_g1_i1"	0	0.243964
"TRINITY_DN5654_c0_g2_i1"	0	0.17924
"TRINITY_DN5665_c0_g1_i2"	0	0.148842
"TRINITY_DN5665_c0_g1_i3"	0	0.995002
"TRINITY_DN5665_c0_g1_i4"	0	0
"TRINITY_DN5665_c0_g1_i5"	0	0.142389
"TRINITY_DN5665_c0_g1_i6"	1.0261	0
"TRINITY_DN5665_c0_g1_i7"	0	0
"TRINITY_DN5608_c0_g1_i1"	33.4795	10.2476
"TRINITY_DN5697_c1_g2_i1"	0	1.31705
"TRINITY_DN5697_c1_g2_i2"	0	0
"TRINITY_DN5697_c1_g1_i1"	0	3.49051
"TRINITY_DN5697_c1_g1_i2"	0	0
"TRINITY_DN5697_c1_g1_i3"	0.412751	1.21003
"TRINITY_DN5697_c1_g1_i4"	0	7.17739
"TRINITY_DN5697_c1_g3_i1"	0	0
"TRINITY_DN5621_c0_g1_i1"	7.79991	1.11535
"TRINITY_DN5600_c0_g1_i1"	0.47295	0.45019
"TRINITY_DN5670_c0_g1_i1"	0	0
"TRINITY_DN5670_c0_g1_i2"	0	0
"TRINITY_DN5643_c0_g1_i1"	0	0
"TRINITY_DN5643_c0_g1_i2"	0	0.281061
"TRINITY_DN5672_c0_g1_i1"	0	0
"TRINITY_DN5672_c0_g1_i2"	1.83924	3.77229e-06
"TRINITY_DN5672_c0_g1_i3"	0.553625	2.16428
"TRINITY_DN5672_c0_g1_i4"	0	0
"TRINITY_DN5672_c0_g1_i5"	0	2.83975
"TRINITY_DN5672_c0_g1_i6"	0	0
"TRINITY_DN5672_c0_g1_i7"	0	0
"TRINITY_DN5672_c1_g1_i1"	0	0.240813
"TRINITY_DN5695_c0_g2_i1"	0	11.4197
"TRINITY_DN5695_c0_g1_i1"	0	10.2863
"TRINITY_DN5695_c0_g1_i2"	0	0
"TRINITY_DN5695_c3_g1_i1"	4.44566	3.74909
"TRINITY_DN5695_c1_g1_i1"	9.10969	37.0399
"TRINITY_DN5695_c0_g3_i1"	12.8148	11.393
"TRINITY_DN5647_c0_g1_i1"	17.5612	0.555707
"TRINITY_DN5690_c0_g1_i11"	0	0
"TRINITY_DN5690_c0_g1_i12"	0	0
"TRINITY_DN5690_c0_g1_i13"	0	1.06657
"TRINITY_DN5690_c0_g1_i14"	0	0.238312
"TRINITY_DN5690_c0_g1_i2"	0	0.00304579
"TRINITY_DN5690_c0_g1_i3"	0	0
"TRINITY_DN5690_c0_g1_i4"	0	0
"TRINITY_DN5690_c0_g1_i6"	0	0
"TRINITY_DN5690_c0_g1_i8"	0	0.21139
"TRINITY_DN5690_c0_g1_i9"	0	0
"TRINITY_DN5650_c0_g1_i1"	0	0
"TRINITY_DN5650_c0_g1_i11"	4.36276	0.675485
"TRINITY_DN5650_c0_g1_i14"	0	6.13108
"TRINITY_DN5650_c0_g1_i18"	0	0
"TRINITY_DN5650_c0_g1_i21"	0	0
"TRINITY_DN5650_c0_g1_i8"	0	6.13108
"TRINITY_DN5650_c0_g2_i10"	0	0
"TRINITY_DN5650_c0_g2_i2"	0	0
"TRINITY_DN5650_c0_g2_i5"	0	0
"TRINITY_DN5650_c0_g2_i6"	0	0
"TRINITY_DN5650_c0_g2_i8"	0	0
"TRINITY_DN5650_c0_g2_i9"	0	1.65742
"TRINITY_DN5685_c0_g1_i1"	0	1.30336
"TRINITY_DN5634_c0_g1_i1"	12.5764	8.53041
"TRINITY_DN5649_c0_g1_i10"	0	15.1858
