"TRINITY_DN30361_c0_g1_i3"	0	0.186934	0	0	0	0	0.32169	0	0.114182	0	0	0	0.968942	0.203093	0.0709511	0.199331	0	0	0	0	0	2.79287	0.982958	0.564883
"TRINITY_DN38173_c0_g1_i1"	0.59656	0	0	0.294901	0.319333	0	1.59434	0	0.348531	0	0	0	0.279327	0	0.641337	0	0.223199	0	0	1.64611	0	3.70494	0	0.197742
"TRINITY_DN11288_c0_g1_i1"	0	0	0	0.267135	0	0	0	0	1.2634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRINITY_DN37802_c0_g1_i1"	0	0	0	0	0	0.441165	0	0	0	0.0798886	0	0.170484	0	0	0	0	0.163946	0	0	0	0	0	0.480996	0
"TRINITY_DN18717_c0_g1_i2"	0.439018	0.835825	0	0.355581	0	0.706926	0.35106	0	0.631362	0	0	0	1.48168	3.56019	2.47218	1.86845	0.204295	0	0	0.119977	0.122273	0.589171	1.59952	0.0900771
"TRINITY_DN27045_c0_g1_i1"	0.29156	0	0	0.287809	0	0	0	0	0.340488	0	0	0	0	0.506276	0	0	0	0	0	0	0	0	0	0
"TRINITY_DN34239_c0_g1_i1"	0	0	0	0.575617	0	0.202177	0	0	0.340488	0	0	0	0	0	0	0	0	0	0.460747	0	0.31273	0	0	0
"TRINITY_DN5553_c0_g1_i1"	0	0.0652644	0	0.248285	0	0.300955	1.91186e-09	0	0	0	0	0.122181	0.918964	0.792595	0.702081	0	0.179311	0	0	0	0	0	0.583104	0
"TRINITY_DN5553_c0_g1_i3"	0	0	0	0.066171	0.0936937	0.378734	0.0656803	0	0	0	0	0	14.7611	5.32654	0.00272637	0.531089	0.122969	0	0	0	0	0	0.30535	0.329586
"TRINITY_DN30720_c0_g1_i1"	0.109451	0.298027	0	0.230528	0.216048	0.282758	0.177855	0	0	0	0	0	1.55472	1.83662	1.40429	0.634852	0.44559	0.105437	0	0.196717	0.190889	0	0.604333	1.0396
