"072"	"294"
"TRINITY_DN7825_c0_g1_i1"	52.3567	3.56456
"TRINITY_DN1183_c0_g1_i1"	82.2012	28.251
"TRINITY_DN1183_c0_g1_i6"	82.4696	140.004
"TRINITY_DN1135_c0_g1_i1"	10.1046	23.1019
"TRINITY_DN1126_c0_g1_i1"	47.8611	6.49928
"TRINITY_DN1193_c0_g1_i2"	34.0368	0.988886
"TRINITY_DN1124_c1_g3_i1"	46.4745	27.424
"TRINITY_DN1142_c0_g1_i11"	13.5657	15.7744
"TRINITY_DN1196_c1_g1_i2"	86.1187	6.51889
"TRINITY_DN1196_c216_g1_i1"	13.0913	16.9858
"TRINITY_DN1196_c8_g1_i1"	48.1627	43.1534
"TRINITY_DN1196_c0_g1_i26"	11.8336	19.854
"TRINITY_DN1196_c0_g1_i30"	41.2448	5.43703
"TRINITY_DN1196_c0_g1_i4"	181.82	49.4282
"TRINITY_DN1196_c69_g1_i1"	70.932	65.2936
"TRINITY_DN1192_c2_g1_i1"	59.712	2.59888
"TRINITY_DN1181_c0_g1_i2"	17.1978	25.0632
"TRINITY_DN1160_c0_g1_i1"	98.2097	66.856
"TRINITY_DN1158_c0_g1_i1"	16.6606	25.5773
"TRINITY_DN1164_c0_g1_i2"	12.8267	88.6549
"TRINITY_DN1150_c0_g1_i2"	49.8546	27.8313
"TRINITY_DN1150_c0_g1_i4"	82.6408	9.03958
"TRINITY_DN17140_c0_g1_i1"	61.4363	14.6584
"TRINITY_DN17140_c0_g1_i4"	36.7261	7.97422
"TRINITY_DN17149_c0_g1_i3"	22.8153	39.4124
"TRINITY_DN17123_c0_g1_i2"	41.6319	8.8803
"TRINITY_DN6967_c3_g1_i1"	11.0659	18.2617
"TRINITY_DN6970_c0_g1_i1"	40.3087	1.79828
"TRINITY_DN6937_c0_g1_i34"	76.4783	104.396
"TRINITY_DN6933_c0_g1_i1"	18.2965	28.3356
"TRINITY_DN16305_c0_g1_i1"	10.1825	18.7589
"TRINITY_DN16278_c1_g1_i1"	74.5619	3.56885
"TRINITY_DN24601_c2_g1_i1"	141.17	147.88
"TRINITY_DN24607_c0_g1_i1"	31.5586	18.0773
"TRINITY_DN15493_c0_g2_i2"	67.7815	12.9639
"TRINITY_DN15494_c0_g1_i3"	29.5055	59.3904
"TRINITY_DN15432_c0_g2_i4"	119.106	123.614
"TRINITY_DN6024_c0_g2_i1"	13.514	19.5479
"TRINITY_DN6024_c2_g1_i1"	51.5399	15.4587
"TRINITY_DN6056_c0_g1_i1"	185.192	115.949
"TRINITY_DN6013_c0_g1_i1"	46.8466	14.0053
"TRINITY_DN6016_c0_g2_i1"	33.9667	40.3924
"TRINITY_DN6049_c0_g1_i1"	20.084	93.6822
"TRINITY_DN6049_c0_g1_i2"	16.533	142.766
"TRINITY_DN6054_c2_g1_i1"	77.8708	56.7358
"TRINITY_DN6054_c3_g1_i1"	77.1768	42.1397
"TRINITY_DN6092_c0_g1_i3"	86.0273	37.8671
"TRINITY_DN6074_c0_g1_i1"	196.561	62.8577
"TRINITY_DN6008_c0_g1_i4"	25.2674	33.721
"TRINITY_DN6006_c1_g1_i2"	12.5705	26.88
"TRINITY_DN15579_c0_g1_i3"	48.1821	10.1001
"TRINITY_DN15604_c0_g2_i9"	50.7771	8.9106
"TRINITY_DN15526_c0_g1_i1"	37.006	24.0721
"TRINITY_DN15594_c2_g1_i1"	40.8459	17.0383
"TRINITY_DN32773_c0_g1_i1"	70.9959	109.936
"TRINITY_DN32770_c0_g1_i1"	18.6509	31.2017
"TRINITY_DN32774_c0_g1_i1"	59.8044	19.8537
"TRINITY_DN32864_c0_g1_i1"	15.2853	32.8509
"TRINITY_DN879_c0_g1_i2"	42.369	3.67335
"TRINITY_DN841_c0_g1_i2"	12.6928	24.263
"TRINITY_DN841_c0_g1_i3"	37.6015	9.74253
"TRINITY_DN893_c1_g2_i1"	56.4021	111.985
"TRINITY_DN891_c0_g1_i1"	63.4719	57.892
"TRINITY_DN842_c0_g1_i1"	11.162	17.166
"TRINITY_DN882_c2_g1_i10"	18.3385	28.198
"TRINITY_DN882_c2_g1_i5"	263.336	47.7449
"TRINITY_DN882_c0_g1_i2"	42.8262	26.3463
"TRINITY_DN811_c0_g1_i4"	61.1438	41.9486
"TRINITY_DN877_c0_g1_i29"	43.5368	12.8754
"TRINITY_DN877_c0_g1_i55"	10.172	19.7172
"TRINITY_DN878_c0_g1_i1"	120.3	97.3126
"TRINITY_DN884_c0_g1_i11"	190.373	16.2293
"TRINITY_DN884_c0_g1_i3"	37.1935	0
"TRINITY_DN872_c0_g1_i1"	125.368	16.4391
"TRINITY_DN819_c0_g1_i2"	31.3077	60.7513
"TRINITY_DN857_c0_g1_i24"	35.5808	25.1242
"TRINITY_DN5141_c0_g1_i6"	13.9078	15.3816
"TRINITY_DN5168_c0_g1_i2"	18.1223	121.007
"TRINITY_DN5150_c1_g1_i1"	18.1226	79.8198
"TRINITY_DN5167_c0_g2_i10"	39.9146	5.3087
"TRINITY_DN5104_c0_g1_i1"	77.7438	2.36218
"TRINITY_DN5177_c0_g3_i1"	50.4346	3.79572
"TRINITY_DN5172_c1_g1_i1"	29.3063	24.0363
"TRINITY_DN5189_c4_g1_i4"	44.862	5.07216
"TRINITY_DN4274_c0_g1_i1"	11.8221	29.2713
"TRINITY_DN4235_c0_g1_i1"	237.677	105.978
"TRINITY_DN4235_c0_g1_i2"	12.435	24.5093
"TRINITY_DN4208_c0_g1_i3"	18.389	65.8949
"TRINITY_DN4269_c0_g1_i1"	110.75	17.8568
"TRINITY_DN4229_c0_g1_i1"	49.6855	73.6999
"TRINITY_DN4227_c0_g1_i3"	13.8961	159.609
"TRINITY_DN14627_c0_g1_i1"	14.7676	22.8654
"TRINITY_DN14664_c2_g1_i1"	39.9045	30.3345
"TRINITY_DN14628_c0_g2_i2"	19.5772	31.4655
"TRINITY_DN14703_c0_g1_i3"	33.31	32.1875
"TRINITY_DN39119_c0_g1_i1"	114.634	55.125
"TRINITY_DN14738_c0_g1_i1"	14.0428	114.159
"TRINITY_DN14717_c3_g1_i1"	20.2379	35.3009
"TRINITY_DN14728_c1_g1_i1"	85.4689	45.4844
"TRINITY_DN31971_c0_g1_i1"	45.2499	24.4976
"TRINITY_DN22962_c0_g1_i2"	39.8553	0
"TRINITY_DN22962_c0_g1_i3"	54.0565	26.3916
"TRINITY_DN13876_c0_g1_i1"	153.059	90.8211
"TRINITY_DN13862_c0_g1_i1"	202.99	54.1949
"TRINITY_DN13843_c4_g1_i1"	109.016	226.169
"TRINITY_DN13819_c0_g1_i1"	29.8071	20.6718
"TRINITY_DN13915_c0_g1_i2"	245.102	93.3912
"TRINITY_DN13925_c0_g2_i1"	30.7098	1.47394
"TRINITY_DN13925_c0_g1_i1"	124.587	267.419
"TRINITY_DN14003_c0_g1_i3"	13.8687	75.9657
"TRINITY_DN9133_c0_g1_i1"	29.9928	42.6028
"TRINITY_DN9133_c0_g1_i2"	29.9928	42.6028
"TRINITY_DN9110_c0_g2_i1"	162.161	181.481
"TRINITY_DN9160_c0_g2_i2"	40.7551	14.9428
"TRINITY_DN9166_c0_g2_i1"	42.7548	42.7926
"TRINITY_DN9138_c1_g1_i2"	79.005	4.94851
"TRINITY_DN9157_c1_g1_i1"	41.2315	40.5897
"TRINITY_DN9150_c0_g1_i1"	32.8155	55.5394
"TRINITY_DN30220_c0_g1_i1"	22.4954	87.3484
"TRINITY_DN37407_c0_g1_i1"	45.6941	19.8859
"TRINITY_DN21102_c1_g1_i1"	99.6414	147.276
"TRINITY_DN21115_c0_g1_i1"	153.969	34.5004
"TRINITY_DN21109_c0_g1_i2"	54.4686	4.947
"TRINITY_DN8230_c0_g2_i1"	68.3817	18.1217
"TRINITY_DN8294_c0_g1_i1"	84.9823	225.234
"TRINITY_DN8270_c0_g1_i1"	55.991	112.297
"TRINITY_DN8270_c4_g2_i1"	64.6684	10.9675
"TRINITY_DN8280_c0_g2_i1"	30.2346	57.4089
"TRINITY_DN8256_c0_g1_i15"	64.0129	8.01746
"TRINITY_DN8273_c1_g1_i1"	20.535	43.9788
