"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN88_c0_g2_i3"	0.387867290139924	0.515461261205287	-0.222926264544241	-0.0780090377315889	0.908340066102164	-0.112959421360668
"TRINITY_DN38_c0_g2_i1"	0.330897754110269	0.582391626665317	-0.233158205222879	-0.196987922889651	0.975805115977601	-0.133856076407654
"TRINITY_DN10_c0_g1_i10"	0.372895276078779	0.547616014765461	-0.254216324221229	-0.125761576204136	0.94452083210503	-0.135595579895515
"TRINITY_DN10_c0_g1_i9"	0.0699138075208279	0.747962457511329	0.174492701857253	-0.418324084787028	0.679236139248014	-0.34609659862537
"TRINITY_DN10_c2_g1_i1"	-0.11190494092628	0.902047578086221	0.339296174649668	-0.625152474296	0.545483724764248	-0.333879445594265
"TRINITY_DN10_c2_g1_i2"	-0.0973650811427442	0.943834952587099	0.220001059662932	-0.512894857064025	0.724588448886868	-0.263935846807208
"TRINITY_DN42_c0_g1_i4"	0.280489557076311	0.592722067362856	-0.23768478475625	-0.160088632079975	0.975222553085816	-0.10412043379922
"TRINITY_DN12_c0_g3_i1"	0.295273104873846	0.59875905193239	-0.174661364464365	-0.111184309523593	0.97490664315158	-0.17181318885947
"TRINITY_DN31_c0_g1_i2"	0.140514540171116	0.484797434491334	-0.197090975179912	-0.183915179250905	0.803906281457996	-0.120307165683093
"TRINITY_DN21_c0_g1_i14"	-0.000863027454178817	0.913587647816136	0.120829798221634	-0.508076711023918	0.835625771989084	-0.251346747602352
"TRINITY_DN21_c0_g1_i2"	0.307216561215841	0.579192476060503	-0.220894662432861	-0.187278430714242	0.98010451358766	-0.15786037643446
"TRINITY_DN21_c0_g1_i7"	0.21788636189323	0.600666704189839	-0.173950705340053	-0.136051308132534	0.971482682747765	-0.14393737496097
"TRINITY_DN21_c0_g1_i3"	0.172401027530095	0.566209268013963	-0.133571400398453	-0.0123690735062554	0.956341580537223	-0.231152567861866
"TRINITY_DN21_c0_g1_i8"	0.186066878833693	0.591472430629873	-0.0933745630882547	-0.0687430172162453	0.946711393808071	-0.218342094387379
"TRINITY_DN29_c0_g1_i11"	0.0216111132761663	0.0889867256968742	0.143375280455711	-0.0873903070204438	-0.0786497776007689	0.100211771672085
"TRINITY_DN29_c0_g1_i8"	0.186322638190005	0.157935823352166	-0.088279385496132	-0.137274216663059	0.139014984433119	0.0505132689931659
"TRINITY_DN29_c0_g1_i1"	-0.0934910506786179	0.838534627115255	0.185148781900115	-0.359791358828752	0.865991682479053	-0.377595950630133
"TRINITY_DN29_c0_g1_i7"	-0.598350888982077	0.4775264071327	0.38844030564995	-0.107716724730285	0.191394440514316	-0.264034690496511
"TRINITY_DN29_c0_g1_i2"	-0.268772960184602	0.585768714806418	0.196481131743851	-0.124982868191734	0.655964093326919	-0.379370245441316
"TRINITY_DN64_c0_g1_i5"	0.276160830039831	0.595404006351662	-0.213719918238804	-0.175426246820903	0.978193556255952	-0.146131186804442
"TRINITY_DN8_c0_g2_i2"	0.320973829955637	0.564091421322312	-0.206391972325734	-0.169999765802251	0.963594987912974	-0.140501142527677
"TRINITY_DN8_c0_g1_i1"	0.0261041977660285	0.560261219695609	-0.0622941279081761	0.0171222973567907	0.904967605452496	-0.232877473736533
"TRINITY_DN8_c0_g1_i8"	0.210948999301796	0.605124870586151	-0.112214613038188	-0.0944754621079272	0.966004298891003	-0.204563861299318
"TRINITY_DN8_c0_g1_i3"	0.30200647886047	0.579613732328928	-0.184741917734285	-0.142675310024517	0.972097978710757	-0.158660868989176
"TRINITY_DN8_c0_g1_i5"	0.180162033346755	0.594086549786924	-0.0787993548012642	-0.0891734902686387	0.932610646613165	-0.210018217371684
"TRINITY_DN86_c0_g2_i1"	0.0398749908012874	0.765612554987435	0.0356611392382798	-0.20415823707094	0.937443306110271	-0.318980248952118
"TRINITY_DN86_c0_g1_i1"	0.264758496120054	0.570711678078142	-0.230681338852921	-0.233450662966361	0.967935272163344	-0.167409506718286
