"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEmagenta"
"TRINITY_DN86_c0_g1_i1"	-0.129185475291244	0.957523653931125	0.35073554045415	-0.265005418826005	-0.399815261811902
"TRINITY_DN43_c0_g2_i1"	-0.141636946717874	0.948263807247187	0.383389153538972	-0.191350690980643	-0.373349444078551
"TRINITY_DN63_c0_g1_i3"	-0.146767705826781	0.961470653153425	0.349383577483847	-0.277221434956059	-0.384446743030048
"TRINITY_DN63_c0_g1_i2"	-0.217826606876304	0.95508955345307	0.298502625761409	-0.335062904548274	-0.31077558494797
"TRINITY_DN22_c0_g1_i6"	-0.137570279853079	0.961253123435507	0.258263576934804	-0.470192613746648	-0.337578183546244
"TRINITY_DN74_c0_g1_i1"	-0.356352428379631	0.878989797481368	0.124526616607355	-0.129373556909772	-0.153382048354566
"TRINITY_DN15_c0_g1_i1"	-0.290620646997939	0.945379447422779	0.0839554080983223	-0.373827396027866	-0.144607838611009
"TRINITY_DN19_c0_g1_i2"	-0.0330306537638826	0.93100361934079	0.370306107187154	-0.369064776882025	-0.440212915826085
"TRINITY_DN72_c0_g1_i5"	0.118701948146306	0.407041376303918	-0.104381739919338	-0.174675820808893	-0.0156989295275171
"TRINITY_DN72_c0_g1_i13"	0.43330160064887	-0.245972368762381	0.0624636454341718	0.116134076178023	-0.0595784552520038
"TRINITY_DN72_c0_g1_i7"	0.13083745436275	0.262533092177911	-0.0789937870549455	-0.0682530631819413	-0.00593036293166278
"TRINITY_DN72_c0_g1_i12"	-0.43961655179511	0.698130362168893	-0.380094459671131	-0.129745023141793	0.268186576621703
"TRINITY_DN72_c0_g1_i8"	-0.578248368846198	-0.321843476879355	-0.779975572934031	0.112254528663733	0.836583807065334
"TRINITY_DN55_c0_g1_i1"	-0.735050219851146	0.031022085470469	-0.836190466106874	0.368088880036575	0.902496204936383
"TRINITY_DN51_c0_g2_i1"	-0.368710437254063	0.93663001557481	0.0477616351320847	-0.0683220224349293	-0.0686535231339185
"TRINITY_DN51_c0_g1_i1"	-0.297157151634437	0.924258800978207	0.0151416623228635	-0.129115263494128	-0.0726713279144962
"TRINITY_DN91_c0_g2_i1"	0.748116119443115	-0.151800762920712	0.849919486071295	-0.0752077350256629	-0.833565211856346
"TRINITY_DN40_c0_g1_i3"	-0.237026812188264	0.977893502358778	0.281024766691776	-0.298607549609612	-0.303543418782516
"TRINITY_DN40_c0_g1_i2"	-0.258189303955019	0.975667230969119	0.299066474062807	-0.2693097189377	-0.288355241943239
"TRINITY_DN50_c0_g1_i4"	-0.126884753227926	0.959202215168871	0.375222246776011	-0.221756644834588	-0.381328054921951
"TRINITY_DN50_c0_g1_i1"	-0.448316676596488	0.870233815059608	0.0122161959717694	-0.0287627349224118	0.0300736831284937
"TRINITY_DN60_c0_g1_i2"	-0.390698582405337	0.87368005473009	-0.143453078214259	-0.288006181713055	0.0787435192914198
"TRINITY_DN60_c0_g1_i12"	-0.236371004046077	0.835542424022806	0.282348865488762	-0.0227912773067236	-0.25717505636782
"TRINITY_DN95_c0_g1_i7"	-0.207535813613219	0.949592863640755	0.336382977268471	-0.132395854273071	-0.320893440691934
"TRINITY_DN95_c0_g1_i4"	-0.30926353570369	0.927465585750391	0.310728250389016	-0.278406482227756	-0.31140181542613
"TRINITY_DN1_c0_g1_i1"	-0.191852916028072	0.972400015146119	0.268004222088451	-0.440113768947456	-0.324488312867609
"TRINITY_DN81_c0_g2_i2"	-0.476088769702418	0.469782896294094	-0.551493835053342	-0.0296938513969144	0.491962711869388
"TRINITY_DN81_c0_g1_i7"	-0.777501371575997	0.585406211636532	-0.580742934563818	0.0426718591818022	0.59277963197722
"TRINITY_DN81_c0_g1_i19"	-0.770701759983992	0.416878195547863	-0.66845119720645	0.19432517756989	0.724958210513012
"TRINITY_DN81_c0_g1_i13"	-0.706579387292918	-0.0490853113904554	-0.859377486358317	0.468928182309703	0.933123824575961
"TRINITY_DN81_c0_g1_i28"	-0.788035059625095	0.499362217036625	-0.662049807689902	0.118509424388796	0.691056244630478
"TRINITY_DN81_c0_g1_i1"	-0.823230949789003	0.41484855866154	-0.693965116658199	0.214588677998448	0.713604075479763
"TRINITY_DN81_c0_g1_i10"	-0.204658686055996	0.829781530275094	0.0867790572331939	-0.491528803430562	-0.197592179073086
"TRINITY_DN81_c0_g1_i20"	-0.491065793101759	0.593798099521278	-0.404885628917787	-0.173339738289732	0.383836662321586
"TRINITY_DN99_c0_g1_i4"	-0.196114288421431	0.971625338511187	0.326473933583538	-0.246832429643737	-0.345511989149489
"TRINITY_DN3853_c0_g1_i1"	-0.144397994770948	0.963160624634847	0.279255646746323	-0.461596343962247	-0.33581463355411
"TRINITY_DN3882_c0_g1_i1"	-0.166326414415287	0.967255482725543	0.30585083566	-0.373733944453172	-0.357742065954868
"TRINITY_DN3887_c0_g1_i1"	-0.205248833750238	0.972947538427745	0.282186410322151	-0.436372812988304	-0.318062633254773
"TRINITY_DN3810_c0_g1_i1"	-0.830101168317899	-0.0697596399688883	-0.715681095046843	0.20783483952691	0.836505810927067
"TRINITY_DN3814_c0_g1_i1"	-0.17878461820721	0.945807330095181	0.367428660487304	-0.158768840712943	-0.358374611369347
"TRINITY_DN3852_c0_g1_i2"	-0.219899720515726	0.964157805111752	0.299869791488762	-0.372917748495795	-0.311018749393024
"TRINITY_DN3859_c0_g1_i1"	-0.101669845316802	0.952395506250896	0.326794484267734	-0.359836001857311	-0.381102263198891
"TRINITY_DN3844_c0_g1_i1"	-0.835131944515568	0.477647597533682	-0.474871205628328	-0.122881974348192	0.551549462889364
"TRINITY_DN3873_c0_g1_i1"	-0.0803251073349261	0.929799548150668	0.400554278704149	-0.197810374839779	-0.412005072329781
"TRINITY_DN2969_c0_g1_i2"	-0.565105752421369	0.320783325838134	-0.547880273658846	0.230024903250666	0.627388174956023
"TRINITY_DN2969_c0_g1_i3"	-0.639177385579914	0.417381808356458	-0.484789418405653	0.139634602184158	0.563002912889425
"TRINITY_DN2987_c0_g1_i1"	0.764245793153209	0.00354126907009409	0.516566722528828	0.106622614552348	-0.578111743720872
"TRINITY_DN2056_c0_g1_i1"	-0.186507425771898	0.962425246570434	0.246778491916277	-0.476438559216501	-0.325649201425238
"TRINITY_DN2045_c0_g1_i1"	-0.129552006413998	0.933343425612479	0.234273285179123	-0.518752860136895	-0.33477539244977
"TRINITY_DN2092_c0_g1_i1"	-0.244081452874084	0.914143555312334	0.304140643892269	-0.181249228134497	-0.248820616225539
"TRINITY_DN2099_c0_g2_i1"	-0.167980220109508	0.959744632126653	0.325020158085206	-0.262862368003121	-0.356151662230411
"TRINITY_DN2099_c0_g1_i1"	-0.185857904396242	0.957462605780638	0.332490383423989	-0.181867974573463	-0.353844560617257
"TRINITY_DN446_c0_g1_i2"	-0.156808442126321	0.954613412151618	0.300936568436686	-0.420439337432107	-0.31644712507976
"TRINITY_DN412_c0_g1_i1"	0.333809593749714	0.200837455179055	-0.0917942160274441	-0.209226927125964	-0.0142170029703156
"TRINITY_DN485_c0_g1_i1"	-0.2483073620724	0.981824327348473	0.287758414836911	-0.324027366262964	-0.296983872988235
"TRINITY_DN473_c0_g1_i1"	-0.11370489606009	0.925400646321124	0.32460423017681	-0.435535336716609	-0.367701221318394
"TRINITY_DN429_c0_g3_i1"	-0.774772210752571	-0.100331996343578	-0.845768715364521	0.447268693167521	0.890965477392286
"TRINITY_DN438_c0_g1_i1"	-0.462502356916312	0.820818366277643	-0.040611386822342	-0.0140190697310421	0.100779167983221
"TRINITY_DN404_c0_g1_i7"	-0.537312232363608	0.64552082815893	-0.177129276487665	-0.091871380416644	0.098697779892286
"TRINITY_DN404_c0_g1_i5"	-0.374889403730024	0.92607792799515	0.0138454728370008	-0.0960831103993912	-0.0293755717163521
"TRINITY_DN404_c0_g1_i3"	-0.236240048578513	0.956629506344191	0.210687356325706	-0.358676148792414	-0.286595240107429
"TRINITY_DN465_c0_g1_i1"	-0.546637596747001	0.511564553808589	-0.521445085315692	0.0601281811547755	0.514513092143799
"TRINITY_DN457_c0_g1_i1"	-0.204115454573727	0.966457355736629	0.291977908854065	-0.412004620433504	-0.312784986382617
"TRINITY_DN479_c0_g1_i2"	-0.549093500186647	0.836877668537264	-0.288764549747496	0.0541369129724587	0.253868138511815
"TRINITY_DN1188_c0_g1_i1"	-0.405680338002392	0.943972913181297	0.0398376381774266	-0.0879838766821042	-0.0288068638540503
"TRINITY_DN1127_c1_g1_i1"	-0.325049310101357	-0.221472680995035	-0.716090234132839	0.222304603084642	0.771796238397528
"TRINITY_DN1167_c0_g1_i1"	-0.10976673230328	0.913511399346805	0.246838085966616	-0.50894269802159	-0.340116035679912
"TRINITY_DN1178_c0_g1_i2"	-0.138119228146489	0.940357737878094	0.333416264086489	-0.275405655425721	-0.376133231456973
"TRINITY_DN1179_c0_g1_i1"	-0.0197080802923127	0.911977096689846	0.373364246641712	-0.397663123692621	-0.425249598820925
"TRINITY_DN845_c0_g1_i1"	-0.185437265194923	0.967501721778669	0.308874934296637	-0.26227192889717	-0.350415366832246
"TRINITY_DN861_c0_g1_i1"	-0.128109526957464	0.955131123516373	0.275729895098129	-0.431283623378138	-0.336849286793209
