"kMEblack"	"kMEblue"	"kMEpink"	"kMEred"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN12473_c0_g1_i2"	-0.408562357151123	0.925589192558351	0.275370002400027	-0.372543588858338	-0.757217005490702	0.644209518927813
"TRINITY_DN12428_c0_g1_i1"	0.142988177916845	-0.0522052016540919	0.244408858746366	0.0662977632021231	0.641692449797414	-0.4733038721807
"TRINITY_DN12499_c0_g1_i1"	0.361610895849145	-0.637836906529666	-0.171008702931876	0.200371178122632	0.885904187608854	-0.800522130013194
"TRINITY_DN12451_c0_g1_i1"	0.353071863557378	-0.598165539907245	-0.296854305443346	0.12976331813942	0.896872778249978	-0.620232660055258
"TRINITY_DN12437_c0_g2_i1"	-0.452441581063864	0.365443715469624	-0.0897904356278891	-0.275457677908848	-0.633260402090079	0.856936781659635
"TRINITY_DN12462_c0_g1_i1"	-0.374886097135811	0.539261857571695	-0.0686276772633375	-0.359466982009253	-0.754596905183131	0.767773056029139
"TRINITY_DN12415_c1_g1_i1"	0.242797966631488	-0.404457529096409	-0.154634484897505	0.0956152317111831	0.897480521789045	-0.593470191775491
"TRINITY_DN12415_c2_g1_i3"	0.203937495912725	-0.399240727376798	-0.0242111832857618	-0.101384378291452	0.836032329618572	-0.559721868472405
"TRINITY_DN12415_c2_g1_i4"	0.12364467485362	-0.220860458962802	-0.606382230117213	0.403342169057913	0.338691522215141	-0.135836311821126
"TRINITY_DN12415_c0_g1_i13"	0.12226133147188	0.280945969074666	0.0655740104563738	-0.122824628574762	-0.533987202544393	0.36524007111085
"TRINITY_DN12416_c0_g1_i1"	-0.216882814021129	0.0848965032798603	-0.314172658056782	0.228203885372644	0.0957183757574267	0.0387425504960016
"TRINITY_DN12405_c0_g2_i3"	-0.393897737443447	0.784985671494414	-0.0287915396425187	-0.498226629515016	-0.766775996688207	0.918198131593932
"TRINITY_DN4725_c0_g1_i1"	0.168951276472831	-0.429586790325432	-0.405845386800355	-0.123453524768792	0.0911223247413375	-0.0703302938381508
"TRINITY_DN4725_c0_g1_i4"	0.405644907632949	-0.66282617917049	-0.0636214985023339	0.262182756839613	0.844918509200734	-0.820590797226136
"TRINITY_DN4706_c0_g4_i1"	-0.168958455103438	0.218177695237352	0.973998805328702	-0.10561812813701	-0.0238134249680759	-0.274572949830493
"TRINITY_DN4706_c1_g1_i3"	-0.393596275879753	0.445954830987932	0.873435395196295	-0.449998637124668	-0.360119659495799	0.157788370697972
