"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgrey"	"kMEred"	"kMEyellow"
"TRINITY_DN62_c0_g1_i1"	-0.180153853929693	0.981026241320391	0.601744769241629	-0.225731285417375	0.340482213154575	-0.334986927866176
"TRINITY_DN88_c0_g1_i4"	-0.152183763001433	0.930197645505906	0.508528769211157	-0.154272474976252	0.424178576365929	-0.385732879600307
"TRINITY_DN88_c0_g2_i1"	-0.210912170433246	0.972571262240384	0.655097973140024	-0.440306257015423	0.267051528628967	-0.322854476457904
"TRINITY_DN88_c0_g2_i3"	-0.173351624425985	0.878709367029582	0.469265503036498	-0.0137797101421941	0.428989539175081	-0.351403283012406
"TRINITY_DN38_c0_g2_i1"	-0.17077359848637	0.959441950980648	0.576566200785843	-0.152334580648405	0.380985619059123	-0.368239061403663
"TRINITY_DN38_c0_g1_i1"	-0.217817212704959	0.976585214332353	0.656687077570518	-0.423193433523029	0.286226520061183	-0.317350496411992
"TRINITY_DN10_c0_g1_i10"	-0.170497584394049	0.916226818347416	0.50459765408038	-0.106923637163832	0.46264558459355	-0.415857580751316
"TRINITY_DN10_c0_g1_i9"	-0.573334886706701	0.563296354981337	0.655243128375827	0.0783460713270255	-0.0126593212441285	0.184478128525197
"TRINITY_DN10_c2_g1_i1"	-0.546028816085157	0.442832910332903	0.842494477838412	0.229870771614019	-0.307406665416231	0.385772168769296
"TRINITY_DN10_c2_g1_i2"	-0.440706902940546	0.698536129601857	0.961404428088643	-0.193566320837764	-0.247100646015701	0.218643789584304
"TRINITY_DN13_c0_g1_i1"	-0.254867920002176	0.984361849349481	0.638256450305801	-0.306375947195331	0.295448814241133	-0.282601307825696
"TRINITY_DN42_c0_g1_i4"	-0.122573768917294	0.968189090681	0.60558873469829	-0.375341292204935	0.32356260049808	-0.368947915735299
"TRINITY_DN42_c0_g2_i3"	-0.213540067526225	0.973532146272709	0.655639709298456	-0.437422455784219	0.270794212356169	-0.321810038248174
"TRINITY_DN12_c0_g3_i1"	-0.24008520326404	0.965635554189099	0.605904502374375	-0.222263384065446	0.318525160119746	-0.275685889097654
"TRINITY_DN31_c0_g1_i2"	-0.159333627951099	0.806733426611606	0.546274794505846	-0.416132881175798	0.152371347448534	-0.29608280029131
"TRINITY_DN21_c0_g1_i5"	-0.228283139267801	0.957907573014104	0.643024119176439	-0.392043862657631	0.274527189737292	-0.316483773754522
