O55003	GO:0005737;GO:0030425;GO:0005783;GO:0031307;GO:0031966;GO:0005741;GO:0005739;GO:0005635;GO:0005654;GO:0005634;GO:0014069;GO:0051020;GO:0042802;GO:0042803;GO:0006915;GO:0048102;GO:0050873;GO:0010659;GO:0008219;GO:0071279;GO:0070301;GO:0071456;GO:0071260;GO:0021987;GO:0051607;GO:0008626;GO:0097193;GO:1990144;GO:0043653;GO:0097345;GO:0035694;GO:0043066;GO:0060548;GO:0045837;GO:0010637;GO:1902109;GO:0010917;GO:2000378;GO:0051402;GO:0048709;GO:0043065;GO:1903599;GO:0010666;GO:0016239;GO:0051561;GO:0090141;GO:0010940;GO:0043068;GO:0043243;GO:0090200;GO:0072593;GO:1903715;GO:0046902;GO:0010821;GO:0043067;GO:0048678;GO:0009617;GO:0055093;GO:0001666;GO:0090649;GO:1901998
Q9LT78	GO:0005615;GO:0005764;GO:0004197;GO:0051603
Q6MSP5	GO:0005737;GO:0004017;GO:0005524;GO:0008270;GO:0044209
Q70Z18	GO:0005737;GO:0005634;GO:0003682;GO:0042393;GO:0006334
P20965	GO:0005737;GO:0005844;GO:0031370;GO:0008143;GO:0043621;GO:0031047;GO:0006397;GO:0048255;GO:0060212;GO:1900153;GO:0060213;GO:0006417;GO:0006412
O19110	GO:0005737;GO:0005634;GO:0003682;GO:0042393;GO:0030154;GO:0007506;GO:0006334;GO:0007283
Q56XG6	GO:0005829;GO:0005730;GO:0005634;GO:0009506;GO:0005524;GO:0016887;GO:0003690;GO:0003725;GO:0003729;GO:0003723;GO:0003724;GO:0003727;GO:0006397;GO:0051028;GO:0046686;GO:0008380
P34678	GO:0005794;GO:0000139;GO:0016021;GO:0030246;GO:0046872;GO:0004653;GO:0018243
Q9V579	GO:0030061;GO:0005758;GO:0005739;GO:1990050;GO:0048813;GO:0070584;GO:0015914
O66679	GO:0005829;GO:0008686;GO:0005525;GO:0003935;GO:0000287;GO:0030145;GO:0008270;GO:0009231
Q6PBF0	GO:0022625;GO:0003723;GO:0019843;GO:0003735;GO:0002181
A6WW65	GO:0005525;GO:0042254
Q5ZJD3	GO:0015030;GO:0005829;GO:0005783;GO:0005525;GO:0003924;GO:0051168;GO:0000054
Q9SZD4	GO:0005634;GO:0000932;GO:0005886;GO:0000502;GO:0008540;GO:0005524;GO:0036402;GO:0017025;GO:0007292;GO:0045087;GO:0010311;GO:0009965;GO:0010078;GO:0048232;GO:0035266;GO:0009933;GO:0048827;GO:0043248;GO:0043161;GO:0060968;GO:0046686;GO:0009408;GO:0051788;GO:0048829;GO:0048364;GO:0010015;GO:0090351;GO:0048367
Q9UPS8	GO:0005813;GO:0045599
O64642	GO:0005737;GO:0005634;GO:0000932;GO:0046872;GO:0003729;GO:0016779;GO:0050265;GO:0006397;GO:1900369;GO:1903705;GO:0060964;GO:0071076
Q9XG77	GO:0005737;GO:0005634;GO:0005839;GO:0019773;GO:0004175;GO:0010498;GO:0010499;GO:0043161
P28769	GO:0005832;GO:0005829;GO:0005524;GO:0051082;GO:0006457
Q9LU46	GO:0005681;GO:0005524;GO:0003723;GO:0003724;GO:0008270;GO:0000398
P49397	GO:0005829;GO:0022627;GO:0003735;GO:0006412
O96647	GO:0005840;GO:0003735;GO:0006412
Q9C5Z2	GO:0005829;GO:0016282;GO:0033290;GO:0005852;GO:0005576;GO:0042788;GO:0070122;GO:0008237;GO:0003729;GO:0003743;GO:0009738;GO:0001732;GO:0045948;GO:0009737;GO:0009733;GO:0009749;GO:0034286;GO:0009744
Q9Y5B8	GO:0005813;GO:0005829;GO:0005524;GO:0046872;GO:0004550;GO:0006241;GO:0006183;GO:0006228
Q9IPJ5	GO:0030430;GO:0019012;GO:0005524;GO:0004482;GO:0003968;GO:0039689
F4K2E9	GO:0005634;GO:0005681;GO:0005524;GO:0003723;GO:0003724;GO:0009817;GO:0009793;GO:0010467;GO:0000398;GO:0031334;GO:0033120;GO:0031053;GO:0016246;GO:0008380;GO:0048364;GO:0048767;GO:0010051
Q5RAS1	GO:0005730;GO:0030688;GO:0062105;GO:0008649;GO:0000453;GO:0001510
O00566	GO:0005694;GO:0034457;GO:0005730;GO:0005654;GO:0005732;GO:0032040;GO:0003723;GO:0010923;GO:0006396;GO:0008380;GO:0000375;GO:0006364
Q9XHM1	GO:0016282;GO:0033290;GO:0005852;GO:0003743;GO:0031369;GO:0001732
