"kMEblack"	"kMEgreenyellow"	"kMEgrey"	"kMEmagenta"	"kMEred"	"kMEtan"	"kMEyellow"
"TRINITY_DN28816_c0_g1_i1"	-0.472833681854306	0.0173903625223582	0.0749874730587626	0.281130700690739	0.842365299762888	0.273094204594049	-0.686637322584458
"TRINITY_DN12423_c0_g2_i1"	0.0919736356810065	0.0278224943702231	0.0837927760963082	0.206697256899819	0.36094209482424	0.214775130746427	-0.377399301184326
"TRINITY_DN12428_c0_g1_i1"	-0.279726718003438	0.225394536039288	-0.0375799605839582	0.0816489773273941	0.739513913733094	0.318132217460445	-0.634982471970723
"TRINITY_DN12499_c0_g1_i1"	-0.681526630907958	-0.149255340193258	-0.185044244690279	0.249970701681674	0.89899351790233	0.526596930222415	-0.793969869476677
"TRINITY_DN12451_c0_g1_i1"	-0.660338420431028	-0.239553400717376	-0.0251700263814592	0.19612731537382	0.920908066733355	0.388242532861883	-0.666777637119968
"TRINITY_DN12437_c0_g2_i1"	0.276029597801923	-0.0633273730143767	0.162098413314244	-0.348460461275208	-0.685457863684883	-0.387255572778359	0.874648726422384
"TRINITY_DN12415_c1_g1_i1"	-0.524460611216363	-0.139704016250358	-0.0306026216383382	0.116922752765139	0.917017980599887	0.292324779360643	-0.679357351718645
"TRINITY_DN12415_c2_g1_i3"	-0.497773051144457	-0.0209366473221015	-0.200824230158937	-0.0833580851831257	0.848668926155356	0.259768578570164	-0.614435499499836
"TRINITY_DN12415_c2_g1_i4"	-0.303546291877139	-0.592242357588572	0.148063744770911	0.467597680009777	0.36349454585453	0.37208468015784	-0.240505375236036
"TRINITY_DN12415_c0_g1_i13"	0.355881166127612	-0.179151498096126	0.191914437290807	-0.234025598618886	-0.572007570885786	0.0774540842556187	0.613395249348697
"TRINITY_DN12416_c0_g1_i1"	-0.155893247975747	-0.266601346659819	0.508504675789672	0.360115852417062	0.179372096606808	0.139375058133842	-0.158040324424527
"TRINITY_DN12405_c0_g2_i3"	0.739653274443131	-0.0966664934888258	0.0471830922381916	-0.555336956824876	-0.848452988504077	-0.368267095219344	0.915343451586766
"TRINITY_DN4725_c0_g1_i4"	-0.696360225858205	-0.033253424819353	-0.118802132611829	0.350304168563838	0.899965867016974	0.416423612705252	-0.837665753128474
"TRINITY_DN4706_c0_g4_i1"	0.191869650974325	0.978339321938503	-0.0196703238015965	-0.0760391909220474	-0.0217674289157472	-0.304508288010603	-0.320308464152737
"TRINITY_DN4706_c1_g1_i3"	0.361665940324059	0.859884563786859	-0.0272786266861055	-0.528664894491938	-0.318192137943482	-0.460559035949143	0.104861841196889
"TRINITY_DN4706_c0_g1_i2"	0.254705549768946	-0.272546305358034	0.0104878203493012	-0.130015664888245	-0.784691593024239	-0.223158901410333	0.877264363516226
"TRINITY_DN4715_c3_g1_i3"	0.595765001609336	0.206361299987432	0.250465888941885	-0.217611805582298	-0.285865637791483	-0.259963319839451	0.0963006175211955
"TRINITY_DN4715_c1_g1_i1"	-0.480765322147954	-0.0248112764060832	0.0342192826438206	0.330262406404871	0.811138322467693	0.354022383777579	-0.6828656479122
"TRINITY_DN4715_c2_g1_i1"	-0.486464495564823	-0.151107518871328	-0.104426311117849	0.160045592635138	0.852460710156788	0.421940015667032	-0.608489678905622
"TRINITY_DN4703_c0_g1_i1"	0.776848814295167	-0.0712033492506009	0.145305393666269	-0.532159587765331	-0.650879847884808	-0.349494384164654	0.691710628824333
"TRINITY_DN4749_c0_g1_i1"	-0.356608810455328	-0.0555777698927919	-0.0880055251058335	0.0945742770958289	0.764230020202367	0.363143843382613	-0.543795190306899
"TRINITY_DN4718_c0_g1_i1"	0.517191905611799	-0.00299559435931496	-0.0535118730771689	-0.550878413056117	-0.706544143286643	-0.278870360238733	0.845240917313517
"TRINITY_DN4718_c0_g1_i2"	-0.539985425215083	-0.179595136563821	-0.0492306920633565	0.382533858453588	0.469017472991128	0.227771039620501	-0.491084415357462
"TRINITY_DN4724_c0_g1_i1"	-0.469427739364574	-0.22830301915987	-0.071025143843648	0.227736301510284	0.644005966517427	0.503813607249706	-0.383587707087877
"TRINITY_DN4758_c0_g1_i2"	-0.38252010094047	-0.0797203534735569	-0.165330145326176	0.0699304167637135	0.807959055404375	0.425033372694616	-0.564871020790082
"TRINITY_DN4743_c0_g1_i14"	0.839883578963121	0.216120270712981	-0.00958632197431686	-0.19081909614903	-0.655808626875436	-0.471848197434415	0.327752068502167
"TRINITY_DN4720_c0_g1_i1"	-0.570363683850188	-0.0212200127939254	-0.184988712080601	-0.0416819564988348	0.827345630254179	0.34135895146712	-0.653032598637886
