"kMEblack"	"kMEbrown"	"kMEgreenyellow"	"kMEgrey"	"kMEmagenta"	"kMEpurple"	"kMEred"
"TRINITY_DN5680_c0_g1_i1"	0.978834448853692	-0.777904598797039	0.436115558231584	-0.121360642887427	0.287702165869842	-0.265356140977898	-0.718803077054109
"TRINITY_DN5653_c0_g1_i1"	0.54039026054292	-0.372694021784221	0.0889665837991237	0.104350641659743	0.171740425774205	-0.111040784771259	-0.784808657000706
"TRINITY_DN5653_c0_g4_i1"	-0.141643431187789	0.484658606353343	0.229327541593736	0.388225936040402	-0.225574353516884	-0.269589279085511	-0.210853437722071
"TRINITY_DN5653_c0_g2_i1"	0.236448976993136	-0.288942445669581	0.12919338607619	0.111811975104969	0.832102658900987	-0.304573178913346	-0.322987955187076
"TRINITY_DN5653_c0_g2_i2"	0.046057805560485	0.131182362367889	0.362403842453407	0.643672203099518	0.0702909271394782	-0.0146537779274397	-0.173348654746357
"TRINITY_DN5653_c0_g2_i3"	0.470728453409433	-0.357030924541726	0.0866017568605891	-0.399483900282613	-0.430452967059126	0.351332638940704	-0.282843862668699
"TRINITY_DN5633_c0_g1_i1"	0.793199661864266	-0.577840033081845	0.344407472879293	0.187514031534322	0.122590070088818	-0.14316458714694	-0.620641961640824
"TRINITY_DN5633_c0_g1_i2"	0.498119208606081	-0.588443214653155	0.32945233237141	0.269467590474959	0.670043647296052	0.0951156346955174	-0.442769930434223
"TRINITY_DN5661_c0_g1_i1"	-0.59881693628894	0.419835647676351	-0.296679605575649	0.0496596493075867	-0.334085059546079	0.2080808194712	0.834051967428017
"TRINITY_DN5661_c0_g1_i4"	-0.781770992804035	0.659463392496556	-0.406704802547049	-0.147019931087261	-0.47789539686139	0.143690529689587	0.936485614700405
"TRINITY_DN5661_c0_g1_i5"	-0.641960476090984	0.517956582445162	-0.357761932075743	0.0145910186082003	-0.411729868380821	0.162985767564695	0.900137255951855
"TRINITY_DN5661_c0_g4_i3"	-0.825223356812336	0.732226476912387	-0.434310194553249	-0.150869320437902	-0.513284521898947	0.119897652930248	0.910846926738734
"TRINITY_DN5614_c0_g1_i1"	0.790711938537044	-0.603995422444179	0.357550012619929	0.143785604574536	0.346293393831746	-0.0142967557632868	-0.534344658064523
"TRINITY_DN5651_c0_g1_i1"	-0.2344544898602	0.325100276091312	-0.0879509906122693	0.775467292973252	-0.121364607527236	-0.0759870135449467	0.305550411274935
"TRINITY_DN5692_c0_g1_i2"	0.874338048499092	-0.667986433319382	0.464204209043485	-0.156831015867884	0.275600505327557	-0.129437359453864	-0.458417743868514
"TRINITY_DN5654_c0_g1_i7"	0.942210313006505	-0.887432066116059	0.334131833367925	-0.0548954989012198	0.386146202180569	-0.040849027150943	-0.596178250202338
"TRINITY_DN5608_c0_g1_i1"	0.970691340558216	-0.832686304135051	0.392563207043741	-0.0339822117255582	0.312641409597069	-0.0691949819272823	-0.624175252485559
"TRINITY_DN5697_c1_g2_i1"	0.951313969693349	-0.756207285829348	0.47372041475245	-0.233495145302629	0.225521671339605	-0.248859884042522	-0.704463870432205
"TRINITY_DN5695_c0_g2_i1"	0.758542792173026	-0.4806413454992	0.378510095618708	-0.201378471154744	0.198534572681827	-0.425820655255209	-0.761480538890372
"TRINITY_DN5695_c0_g1_i1"	0.734411923931141	-0.553060719525183	0.417512386058615	0.0408998949727636	0.32172265726399	-0.466170106583425	-0.705822558552958
"TRINITY_DN5695_c1_g1_i1"	0.393762111943185	-0.215277117007856	0.216737533572237	0.427712124820766	0.564686491073458	-0.119082362632661	-0.52004330851822
"TRINITY_DN5695_c0_g3_i1"	0.949493623581589	-0.695934158433599	0.326549362938537	-0.010649000423315	0.240839878569235	-0.278363142894307	-0.696905680084104
"TRINITY_DN5634_c0_g1_i1"	0.983604747897669	-0.767512563497268	0.435270736176478	-0.131659675896278	0.283405088217318	-0.221786669149022	-0.638286398538573
"TRINITY_DN5649_c0_g1_i21"	0.92230530633897	-0.716349643016633	0.451881215091342	-0.264809667468174	0.246288717958611	-0.31922605989733	-0.724743530823998
"TRINITY_DN5617_c0_g1_i1"	0.826149711613432	-0.801735559647891	0.22618789951199	-0.0636037765857949	0.135769039065654	0.0140048338817796	-0.344443637554081
"TRINITY_DN5677_c0_g1_i3"	0.5805207153443	-0.821388698553217	0.0741868036286848	-0.316524749962846	0.151829152366867	0.562674318111111	-0.349601218823197
