"kMEblack"	"kMEblue"	"kMEbrown"	"kMEpink"	"kMEred"	"kMEturquoise"
"TRINITY_DN5661_c0_g4_i3"	-0.506700462345092	0.79737679049613	0.873870624404697	0.0948612064913846	-0.463155729247904	-0.761041077648221
"TRINITY_DN5614_c0_g1_i1"	0.151372808669824	-0.416282326366345	-0.259729961651997	0.00772436171458834	0.28224930946551	0.677059548417063
"TRINITY_DN5651_c0_g1_i1"	-0.296970754424387	0.413408507879703	0.440088550573489	-0.0620669440510553	-0.128382899315953	-0.234773285586831
"TRINITY_DN5692_c0_g1_i2"	0.388395414380285	-0.637173875989196	-0.416593733621369	-0.160060155768935	0.233648589415468	0.891284336933162
"TRINITY_DN5654_c0_g1_i7"	0.157731860682835	-0.786742196324891	-0.455802914959466	-0.0594531116952101	0.313459532142946	0.905864296486065
"TRINITY_DN5608_c0_g1_i1"	0.388813372121636	-0.824400037029292	-0.575940357790775	-0.0738681408901164	0.218685410082758	0.952714953934787
"TRINITY_DN5697_c1_g2_i1"	0.173945132852126	-0.635344983157058	-0.488910779841306	-0.254734757549272	0.22150723005249	0.889936383748521
"TRINITY_DN5695_c0_g2_i1"	0.0269052010136415	-0.322022000050456	-0.438648684053093	-0.359571474359982	0.191512082058868	0.617128217718967
"TRINITY_DN5695_c0_g1_i1"	0.119327811034165	-0.356069550578416	-0.407839715610914	-0.386883508721967	0.369805352083779	0.467687224778962
"TRINITY_DN5695_c0_g1_i2"	-0.220227726166486	-0.245543397133494	0.0598027022510919	0.574137717333281	-0.199096697699968	0.219882327467
"TRINITY_DN5695_c1_g1_i1"	0.184975238989194	-0.237906772350867	-0.461151469284689	-0.124854512068597	0.408654099644416	0.37261136847073
"TRINITY_DN5695_c0_g3_i1"	0.277054205124144	-0.642696360125874	-0.603862828786995	-0.325858489296016	0.17733154773265	0.931544199776913
"TRINITY_DN5634_c0_g1_i1"	0.372018361237919	-0.734696750930243	-0.571720229404716	-0.248354908816549	0.211273675760901	0.979858269479244
"TRINITY_DN5649_c0_g1_i21"	0.256901403291048	-0.652367020221334	-0.615586598190655	-0.319067008552113	0.187832897068169	0.871184877714494
"TRINITY_DN5649_c0_g1_i23"	-0.00932475368213181	-0.167573121316665	-0.271220751766993	-0.064180193589059	0.130589645989657	0.423233152610622
"TRINITY_DN5649_c0_g1_i26"	-0.191579773910627	0.187212158073778	-0.100631492097411	-0.301876342600157	0.193836583249414	-0.0895762507635017
"TRINITY_DN5617_c0_g1_i1"	0.0619687529336656	-0.635676613285208	-0.194492648984744	-0.0589536877446239	0.11444229377289	0.764941460455503
"TRINITY_DN5677_c0_g1_i3"	0.193925767999684	-0.732937870811743	-0.357002406290677	0.495941595619804	0.0230542883422004	0.496788532781553
"TRINITY_DN5677_c0_g1_i4"	-0.22660051182107	0.265918734234489	0.558119065799464	0.193979111150463	-0.0919549324226364	-0.133046159635474
