"072"	"294"
"TRINITY_DN24534_c0_g1_i10"	14.9888	63.6656
"TRINITY_DN41777_c0_g2_i2"	16.4035	76.4735
"TRINITY_DN41777_c0_g2_i5"	0	40.5169
"TRINITY_DN41777_c0_g1_i20"	12.5065	54.3568
"TRINITY_DN15427_c3_g1_i5"	22.0981	35.3884
"TRINITY_DN15484_c0_g2_i3"	1.51364	39.1162
"TRINITY_DN15484_c0_g2_i5"	4.37518	152.597
"TRINITY_DN15451_c1_g1_i6"	2.67638	27.3726
"TRINITY_DN15452_c0_g1_i5"	3.64377	37.3656
"TRINITY_DN6035_c0_g1_i15"	38.0093	52.3625
"TRINITY_DN6061_c3_g1_i1"	5.36898	38.3306
"TRINITY_DN6061_c0_g1_i3"	2.40447	28.212
"TRINITY_DN6061_c0_g1_i8"	35.8585	63.5497
"TRINITY_DN66167_c1_g1_i1"	0.367833	11.9813
"TRINITY_DN66111_c0_g1_i24"	0.237132	10.9141
"TRINITY_DN41819_c0_g1_i1"	21.5254	97.2662
"TRINITY_DN41895_c0_g1_i13"	10.3965	116.784
"TRINITY_DN41895_c0_g1_i9"	8.28536e-10	30.6436
"TRINITY_DN15585_c4_g1_i16"	1.75124	18.4336
"TRINITY_DN15584_c0_g1_i1"	25.769	46.2106
"TRINITY_DN842_c4_g1_i1"	2.91254	104.172
"TRINITY_DN825_c1_g1_i1"	32.4469	36.1259
"TRINITY_DN812_c0_g2_i4"	59.4531	61.2017
"TRINITY_DN817_c0_g1_i20"	1.3716	10.921
"TRINITY_DN868_c0_g1_i19"	37.739	55.4963
"TRINITY_DN896_c9_g1_i1"	37.7681	389.043
"TRINITY_DN897_c1_g2_i4"	4.56417	53.7713
"TRINITY_DN897_c1_g2_i1"	4.01106	67.4047
"TRINITY_DN5113_c0_g1_i5"	1.764	19.7714
"TRINITY_DN5113_c0_g1_i1"	4.93074	32.7949
"TRINITY_DN5113_c0_g1_i10"	0	38.476
"TRINITY_DN5114_c5_g2_i3"	9.47082	48.0081
"TRINITY_DN5150_c2_g1_i12"	4.95413	56.3979
"TRINITY_DN5134_c4_g1_i5"	34.1877	29.6985
"TRINITY_DN5134_c10_g1_i1"	23.2476	42.1766
"TRINITY_DN5138_c1_g1_i1"	46.5455	31.6818
"TRINITY_DN5190_c10_g1_i8"	6.58925	54.7966
"TRINITY_DN5129_c0_g1_i6"	7.34178	43.7463
"TRINITY_DN5103_c0_g1_i1"	14.1594	128.362
"TRINITY_DN48033_c2_g2_i3"	10.1949	94.5869
"TRINITY_DN65282_c0_g1_i2"	5.23036	79.4091
"TRINITY_DN65282_c0_g1_i11"	3.43709	53.4068
"TRINITY_DN4252_c2_g2_i1"	11.8862	168.253
"TRINITY_DN4252_c2_g2_i2"	14.7277	111.743
"TRINITY_DN4208_c2_g1_i4"	29.7842	29.5637
"TRINITY_DN4208_c3_g1_i7"	1.15695	46.2311
"TRINITY_DN4208_c3_g1_i10"	0.881539	31.7413
"TRINITY_DN4214_c21_g1_i12"	45.3685	37.2006
"TRINITY_DN4298_c5_g2_i1"	9.36293	64.0753
"TRINITY_DN4254_c21_g1_i13"	26.6614	32.9335
"TRINITY_DN4210_c4_g1_i2"	7.99481	51.7552
"TRINITY_DN4294_c3_g1_i7"	6.14957	227.064
"TRINITY_DN4294_c20_g1_i2"	16.63	196.098
"TRINITY_DN14618_c1_g2_i1"	21.036	36.5844
"TRINITY_DN39062_c0_g1_i8"	21.5989	166.178
"TRINITY_DN39062_c0_g1_i12"	7.80859	63.7668
"TRINITY_DN14741_c0_g1_i1"	4.83644	44.8047
"TRINITY_DN14718_c1_g1_i1"	44.352	44.9167
"TRINITY_DN14718_c1_g1_i11"	40.4411	44.7436
"TRINITY_DN14756_c0_g1_i13"	47.6284	64.0086
"TRINITY_DN14730_c0_g1_i22"	1.09682	18.4269
"TRINITY_DN14730_c0_g1_i10"	0.379002	21.6573
"TRINITY_DN56232_c0_g2_i10"	55.2921	36.8207
"TRINITY_DN56227_c1_g1_i4"	44.4867	25.856
"TRINITY_DN56295_c0_g1_i1"	14.0457	47.3011
"TRINITY_DN31947_c2_g1_i2"	23.6453	41.9115
"TRINITY_DN90889_c3_g1_i20"	10.5091	43.4683
"TRINITY_DN38185_c0_g1_i4"	10.8876	61.6969
"TRINITY_DN13852_c0_g1_i17"	0	38.2688
"TRINITY_DN64584_c0_g2_i8"	45.6378	22.76
"TRINITY_DN13990_c0_g1_i6"	49.6374	55.4406
"TRINITY_DN30071_c0_g1_i1"	45.6825	30.1304
"TRINITY_DN9125_c1_g1_i14"	0	16.3062
"TRINITY_DN9125_c1_g1_i22"	45.482	49.6737
"TRINITY_DN9186_c1_g1_i1"	14.2288	45.0504
"TRINITY_DN9163_c1_g1_i5"	4.82355	25.11
"TRINITY_DN9101_c0_g1_i1"	28.1485	49.1583
"TRINITY_DN9113_c7_g1_i2"	2.8916	51.9836
"TRINITY_DN30136_c1_g1_i7"	1.16015	12.5245
"TRINITY_DN30198_c0_g1_i18"	0	13.4903
"TRINITY_DN63784_c0_g1_i4"	46.7397	22.2498
"TRINITY_DN21019_c0_g1_i2"	1.44143	10.9775
"TRINITY_DN21012_c0_g1_i2"	2.83427	42.7103
"TRINITY_DN80915_c2_g1_i3"	18.8616	81.1232
"TRINITY_DN8267_c0_g1_i3"	7.85735	66.916
"TRINITY_DN54636_c0_g1_i3"	1.88994	57.1509
"TRINITY_DN79020_c0_g1_i4"	44.9178	38.8466
"TRINITY_DN79020_c0_g1_i1"	33.1177	31.8016
"TRINITY_DN12056_c0_g1_i13"	34.717	28.4015
"TRINITY_DN12000_c0_g1_i4"	16.1413	68.138
"TRINITY_DN12030_c1_g2_i1"	1.60409	30.5308
"TRINITY_DN12088_c0_g1_i10"	3.83647	43.5112
"TRINITY_DN12046_c1_g1_i7"	3.43111	115.868
"TRINITY_DN20234_c1_g4_i2"	36.7307	46.1738
"TRINITY_DN36695_c0_g2_i1"	26.8946	71.4076
"TRINITY_DN36624_c4_g1_i4"	19.0391	45.8659
"TRINITY_DN36624_c6_g1_i11"	3.18715	33.508
"TRINITY_DN11237_c0_g1_i43"	0.749746	61.9591
"TRINITY_DN11244_c0_g1_i10"	1.32705	35.8019
"TRINITY_DN11244_c0_g1_i2"	17.4869	131.268
"TRINITY_DN11244_c0_g1_i17"	2.37714	28.3422
"TRINITY_DN11244_c0_g1_i20"	29.9095	491.956
"TRINITY_DN11238_c0_g1_i4"	4.54228	43.7994
"TRINITY_DN11238_c0_g1_i9"	11.8137	83.9957
