"173"	"272"
"TRINITY_DN3477_c10_g1_i12"	481.101	0.116368
"TRINITY_DN3477_c10_g1_i1"	451.21	0
"TRINITY_DN23901_c5_g1_i1"	880.079	0
"TRINITY_DN23958_c1_g1_i10"	143.44	0.0781335
"TRINITY_DN91809_c0_g1_i4"	190.991	0
"TRINITY_DN2543_c0_g1_i19"	250.311	0
"TRINITY_DN2597_c0_g1_i3"	157.45	0.360579
"TRINITY_DN91981_c0_g1_i1"	227.642	0
"TRINITY_DN14989_c2_g1_i2"	388.543	0
"TRINITY_DN56524_c0_g1_i1"	222.843	0
"TRINITY_DN98159_c1_g1_i3"	244.246	0.0691865
"TRINITY_DN13060_c0_g1_i6"	259.605	0
"TRINITY_DN13055_c1_g1_i1"	158.116	0
"TRINITY_DN7420_c0_g1_i3"	191.463	0
"TRINITY_DN7420_c0_g1_i5"	233.959	0
"TRINITY_DN7420_c0_g1_i2"	247.028	0
"TRINITY_DN97364_c0_g1_i6"	173.929	1.92668
"TRINITY_DN30368_c0_g1_i7"	161.279	0
"TRINITY_DN46785_c0_g1_i5"	425.108	0
"TRINITY_DN6580_c2_g1_i2"	172.652	0
"TRINITY_DN6504_c5_g1_i1"	379.865	0
"TRINITY_DN21387_c0_g2_i1"	186.479	0
"TRINITY_DN79233_c0_g1_i4"	363.469	0
"TRINITY_DN79233_c0_g1_i3"	303.722	0
"TRINITY_DN19659_c0_g1_i4"	3957.69	0
"TRINITY_DN19620_c0_g1_i14"	155.551	0.062555
"TRINITY_DN36838_c0_g1_i6"	836.251	0
"TRINITY_DN87541_c0_g1_i3"	370.625	0
"TRINITY_DN20511_c2_g1_i5"	795.212	0
"TRINITY_DN36940_c0_g1_i5"	2830.98	0
"TRINITY_DN11476_c1_g1_i13"	325.123	0.327853
"TRINITY_DN11485_c0_g2_i3"	267.934	0.0264989
"TRINITY_DN11485_c0_g1_i2"	264.452	0
"TRINITY_DN11401_c2_g1_i1"	230.884	0
"TRINITY_DN3756_c0_g1_i3"	153.083	0
"TRINITY_DN3723_c206_g1_i1"	147.854	0
"TRINITY_DN3788_c0_g1_i13"	173.257	0
"TRINITY_DN3745_c2_g1_i5"	517.943	1.7803
"TRINITY_DN3797_c7_g1_i2"	903.123	0
"TRINITY_DN3718_c0_g1_i8"	212.803	0
"TRINITY_DN44094_c0_g1_i1"	1281.09	0
"TRINITY_DN10645_c0_g2_i1"	362.651	0
"TRINITY_DN10634_c1_g1_i1"	708.316	0
"TRINITY_DN2871_c0_g1_i1"	149.322	0
"TRINITY_DN2826_c1_g1_i2"	961.968	0
"TRINITY_DN2866_c180_g1_i1"	208.104	6.84395
