"kMEblack"	"kMEbrown"	"kMEgreen"	"kMEgrey"	"kMEpink"	"kMEyellow"
"TRINITY_DN42_c0_g1_i4"	0.330262368190908	0.958706773199572	0.371810237818485	-0.363862838012429	-0.105317090176807	-0.371126508190424
"TRINITY_DN42_c0_g2_i3"	0.27218640277876	0.972572143412513	0.417721557015963	-0.432026565382189	-0.202470875032852	-0.326076321994374
"TRINITY_DN12_c0_g3_i1"	0.316219697460282	0.957530042000673	0.390753260559186	-0.214060234985609	-0.225122261650894	-0.272949429703444
"TRINITY_DN31_c0_g1_i2"	0.152091681442144	0.806157763039213	0.341005907432977	-0.415600414639761	-0.149082069339036	-0.299958515681017
"TRINITY_DN21_c0_g1_i5"	0.275936849812496	0.960007523975734	0.411685173146238	-0.391434212577507	-0.215889720409395	-0.321961391753143
"TRINITY_DN21_c0_g1_i14"	-0.110407468173842	0.839200787470877	0.799819035084693	-0.165730251806727	-0.378790992442822	0.0706285203378102
"TRINITY_DN21_c0_g1_i2"	0.388198643148924	0.958225957636007	0.341103296179714	-0.156333013637636	-0.116438496991015	-0.385249431047542
"TRINITY_DN21_c0_g1_i7"	0.233195598375187	0.94282370274545	0.339477113163391	-0.265353052877416	-0.175194102608895	-0.300401523409709
"TRINITY_DN21_c0_g1_i3"	0.380273986914619	0.945007641130241	0.325091344187275	-0.183816477027691	-0.173831576455224	-0.363424535406279
"TRINITY_DN21_c0_g1_i8"	0.179740882714678	0.901999025291807	0.331214051832355	-0.231476276492906	-0.304102564419929	-0.182286588559964
"TRINITY_DN29_c0_g1_i11"	-0.245279904020064	-0.297126315523612	0.00304500958740374	0.00734522325820314	-0.223084056695058	0.399981793486201
"TRINITY_DN29_c0_g1_i8"	0.161180768946085	0.126679160447959	0.0303714346887869	-0.147377374145642	-0.0911983198055445	-0.166084140047546
"TRINITY_DN29_c0_g1_i1"	-0.173375882333474	0.853109745921776	0.72002544143607	-0.281810581322594	-0.493732903068368	0.116514381380973
"TRINITY_DN29_c0_g1_i7"	-0.579049333391938	0.376587610565753	0.641064362077868	-0.0152126963545877	-0.406804502759428	0.394871428411908
"TRINITY_DN29_c0_g1_i2"	-0.127742586291081	0.609702099912542	0.436522026659206	-0.40894805676075	-0.246137753005055	0.0284708313119134
"TRINITY_DN64_c0_g1_i3"	0.2879910411858	0.964675406896405	0.399215688158465	-0.45895969976566	-0.136858311338504	-0.333378534084632
"TRINITY_DN64_c0_g1_i5"	0.313687393755431	0.963119797063114	0.39124154148133	-0.291947578637263	-0.186079345485048	-0.33567687006278
"TRINITY_DN8_c0_g2_i2"	0.371596275495692	0.937176221642152	0.323157583975458	-0.311131000176611	-0.141933073518455	-0.351546043976385
"TRINITY_DN8_c0_g1_i1"	0.186397635881744	0.886876451799098	0.319494236151908	-0.407316106343855	-0.212330888896733	-0.267103224902477
"TRINITY_DN8_c0_g1_i8"	0.192018309015235	0.937186848411344	0.384945580873441	-0.281337088920443	-0.257057854347954	-0.210112841651974
"TRINITY_DN8_c0_g1_i3"	0.342148300878646	0.949073135004853	0.343674194686683	-0.22065278158877	-0.165431175808362	-0.318701412536795
"TRINITY_DN8_c0_g1_i5"	0.152175577969431	0.916058227790409	0.375754550784456	-0.277307374122179	-0.275340153115558	-0.174908793571704
"TRINITY_DN86_c0_g2_i1"	0.134264605649258	0.941986185007006	0.61518975408029	-0.140566152450706	-0.362118026813695	-0.131269458827902
"TRINITY_DN86_c0_g1_i1"	0.358198045881359	0.961261103690289	0.356512919934572	-0.24872029900934	-0.11561130035311	-0.406489801453688
"TRINITY_DN43_c0_g2_i1"	0.389008972492265	0.952506258378011	0.343294424126623	-0.177786997031388	-0.12124769696503	-0.377423785338234
"TRINITY_DN63_c0_g1_i3"	0.356851256077784	0.964059109688472	0.363323579587128	-0.256843248569611	-0.133319938997488	-0.389605506537998
"TRINITY_DN63_c0_g1_i2"	0.296952934334988	0.959980852792827	0.40743100132295	-0.338856409426804	-0.208885637118529	-0.316160294351208
"TRINITY_DN22_c0_g1_i6"	0.261456004809811	0.965122967983574	0.398396612580789	-0.46559488298587	-0.128509085588798	-0.339890218357225
"TRINITY_DN74_c0_g1_i1"	0.123794746304902	0.875741746220428	0.353778930951187	-0.111563711626465	-0.348567625603557	-0.151354312276261
"TRINITY_DN15_c0_g1_i1"	0.0740210506696532	0.925213206566206	0.64930756737723	-0.364306978887951	-0.287568276983211	-0.142275504732031
"TRINITY_DN19_c0_g1_i2"	0.376640937255698	0.932425282009637	0.326188433286912	-0.360052322861143	-0.0118578251950875	-0.454215098136371
"TRINITY_DN72_c0_g1_i5"	-0.103427730244532	0.401333762716568	0.312548988837916	-0.174020155413911	0.119192698360725	-0.0185535974571594
"TRINITY_DN72_c0_g1_i13"	0.0534952438710614	-0.257029591651304	-0.105776565015813	0.126485321125923	0.43157953296876	-0.0480736847589841
"TRINITY_DN72_c0_g1_i7"	-0.0778885424962741	0.2609812780406	0.20454606210793	-0.0682425260529061	0.130716196383893	-0.00795904556240607
"TRINITY_DN72_c0_g1_i12"	-0.378173919467421	0.678954995645531	0.659337493509881	-0.128786042044585	-0.437587506024986	0.265162332447337
"TRINITY_DN72_c0_g1_i8"	-0.780861119366978	-0.354072926715248	0.311705293403113	0.112619624385631	-0.582118794476314	0.833204591279807
"TRINITY_DN55_c0_g1_i1"	-0.830139289472587	-0.00388611439136568	0.735277488775705	0.359318469618579	-0.73961498578998	0.898814869129009
"TRINITY_DN51_c0_g2_i1"	0.0276524607274212	0.919720718797635	0.573004808721614	-0.0428713845701758	-0.368354529345102	-0.0502585378950646
"TRINITY_DN51_c0_g1_i1"	-0.00116465033176803	0.906336898521873	0.574239794885408	-0.0957177050670373	-0.29912271365383	-0.0492401057274564
"TRINITY_DN91_c0_g2_i1"	0.850212955623791	-0.0979912203795494	-0.829402752671974	-0.0753335082109771	0.750697668228336	-0.823941567365721
"TRINITY_DN40_c0_g1_i3"	0.281904267856751	0.981856718929909	0.412396815133656	-0.289203965271498	-0.231487192352756	-0.299943780181364
