Accession_ID,kME_vals
Q5R9U9,0
Q0VC92,0
Q0VC92,0
Q0VC92,0
A2VE21,0
Q7ZWM6,0
Q05825,0
Q14739,0
A3KP59,0
Q45FY6,0
Q45FY6,0
Q6UWH6,0
Q06732,0
Q9BW72,0
P11966,0
Q3T1L0,0
Q7QB13,0
B3DH20,0
B3DH20,0
B3N4F1,0
Q0P5F3,0
Q98SN8,0
Q9EQS0,0
P37837,0
Q9EQS0,0
Q9EQS0,0
Q9EQS0,0
Q9EQS0,0
O55003,0
O55003,0
P82650,0
P52565,0
P52565,0
P52565,0
P52565,0
Q9VX32,0
Q9VX32,0
Q2PFW9,0
O55173,0.989373368361546
Q24439,0
Q24439,0
Q24439,0
Q91V61,0
Q91V61,0
P10987,0
P53505,0
P27484,0
Q1HRV4,0
Q1HRV4,0
Q86FP7,0
Q3ZCA2,0
Q08473,0
Q08473,0
Q08473,0
Q66IZ5,0
A2VE52,0
Q96EY8,0
Q32NQ8,0
Q13162,0
Q6UB98,0
Q6UB98,0
Q94613,0
Q94613,0
O62839,0
P49758,0
P49758,0
P80585,0
P80585,0
P80585,0
Q5M9B7,0
Q9VHS8,0
Q6XUZ5,0
Q5XFW8,0
Q4R502,0
P41562,0
P51812,0
P14576,0
P0A9Y1,0
P0A9Y1,0
P0A9Y8,0
P0A9Y8,0
P49915,0
Q21086,0
Q56JX5,0
P61485,0
Q8BMP6,0
Q6PDG8,0
Q6NU95,0
Q6P616,0
P61771,0
O82574,0
O42161,0
C4NZN9,0
P11118,0
P0CG70,0
Q3SZZ0,0
Q6DKB0,0
Q9CYF5,0
A2VDP2,0
Q9DBE9,0
P43332,0
P22648,0
P78362,0
Q0KHQ5,0
Q90XG0,0
Q90XG0,0
Q969Q6,0
Q9H8H3,0
Q9SF85,0
Q6NZ09,0
A8CAG3,0
Q5E9N4,0
Q5E9N4,0
Q3ZC31,0
Q2TA03,0
A4K526,0
A1A4P5,0
Q9NQP4,0
Q6KF82,0
Q6YKA8,0
Q6YKA8,0
Q9VLU6,0
Q9D1A2,0
Q96KP4,0
Q9D1A2,0
Q92963,0
Q92963,0
Q8JGW0,0
Q8JHW2,0
Q8JHW2,0
Q80T23,0
Q9DGD1,0
Q2TA46,0
P78537,0
P78537,0
Q9VND8,0
O97366,0
P01122,0
P01122,0
P24495,0
Q7YQK3,0
Q7YQK3,0
Q08DS5,0
Q0P5A2,0
P08537,0
Q05825,0
Q8K0T0,0
P05202,0
Q9TZC4,0
Q9Z2I9,0
Q03161,0
Q9WTS8,0
Q9WTS8,0
Q8WQ47,0
Q94572,0
P30436,0
P06603,0
Q94570,0
Q94572,0
P06603,0
P06603,0
P30436,0
P06603,0
P18258,0
Q32PE9,0
Q32PE9,0
Q5ZMM5,0
C0KJQ4,0
P89116,0
Q9DA39,0
O76484,0
O76484,0
Q9NFT7,0
P21266,0
P21266,0
Q8BMJ2,0
Q90512,0
Q9BVG4,0
P06660,0
P20007,0
Q9VYD7,0
Q9VYD7,0
Q9CX48,0
Q921Y2,0
