"kMEblack"	"kMEbrown"	"kMEmagenta"	"kMEred"	"kMEsalmon"	"kMEtan"	"kMEyellow"
"TRINITY_DN37814_c0_g1_i3"	-0.539389854065883	0.00607319608797501	-0.337815004026061	0.975922528920623	-0.199555819271304	-0.358597237790136	0.389459916942983
"TRINITY_DN37883_c1_g2_i7"	-0.682337277952518	0.438802586923562	-0.169636375709901	0.367714953638049	0.160083523726721	-0.229050796059755	0.820625181982877
"TRINITY_DN37810_c0_g1_i7"	0.77054260047223	-0.692636641237315	0.545464872128538	-0.321652249058605	0.123426455992336	0.294884765836212	-0.433231099185187
"TRINITY_DN37828_c1_g1_i1"	-0.739314218687714	0.953542227193083	-0.272953748540332	0.0542295278583864	0.118160388533153	-0.265711364282288	0.37501811428045
"TRINITY_DN79355_c0_g1_i7"	-0.638192402261455	0.409387756206612	-0.324959767612571	0.359851819480713	-0.116908414430312	-0.420580261105422	0.972377307574051
"TRINITY_DN79315_c0_g2_i1"	-0.654078283761776	0.964115222943847	-0.35500010028615	-0.0446439021810512	0.0950592139437009	-0.362376714452924	0.452808860499955
"TRINITY_DN63083_c3_g1_i1"	-0.659025871359574	0.887352372690006	-0.171783431915247	-0.0385001792081038	0.179650277645347	-0.177430565153099	0.254702424569799
"TRINITY_DN63081_c0_g1_i5"	-0.538239645008811	0.319901280162729	-0.350835011146286	0.34299951167211	-0.121013571759056	-0.360652479943404	0.942970365979545
"TRINITY_DN63028_c0_g1_i2"	-0.669726522500222	0.591883191511312	-0.326251392238934	0.255407624220758	-0.0257790110344174	-0.542992410219221	0.947034519234133
"TRINITY_DN28797_c0_g3_i7"	0.586069266512467	-0.531233733260689	0.107737257756109	0.043255529474548	-0.114562581933219	0.0722900952942224	-0.30663096588282
"TRINITY_DN28742_c0_g1_i10"	0.917665748977601	-0.489439395600602	0.0776433482376739	-0.607958729946578	-0.268583929764789	0.288261197720861	-0.603641947798247
"TRINITY_DN28742_c0_g1_i2"	0.471311466259073	-0.525343028413	0.562096638575456	-0.128204574186048	0.166105547620236	0.165019697736942	-0.345246099325606
"TRINITY_DN28708_c1_g1_i6"	-0.748215634692381	0.942525864785375	-0.271362389083311	0.0461978304840387	0.184162538516569	-0.266563776098997	0.381069406836188
"TRINITY_DN28708_c2_g2_i1"	-0.604872961911856	0.884021025948366	-0.276530523795396	0.0530892937212634	0.1614554889889	-0.275876128366091	0.471354051980712
"TRINITY_DN28708_c2_g1_i3"	-0.501485792800154	0.863211068469401	-0.187873166729257	-0.0757849068800817	0.20157090155598	-0.189762586583775	0.350859468173169
"TRINITY_DN28779_c0_g1_i3"	0.705627554923268	-0.471994907875701	0.503344780603885	-0.527317613435858	0.160503625699175	0.242202520901139	-0.360666834505754
"TRINITY_DN28779_c0_g1_i9"	0.744040987727203	-0.548789428264067	0.162415611764083	-0.29923023478338	-0.0507450513081432	0.281831328630745	-0.528070778934853
"TRINITY_DN28721_c2_g2_i1"	-0.658121588534867	0.906811288999949	-0.259810613988277	0.0894692947033968	0.189599651960231	-0.257815997412759	0.47908382352446
"TRINITY_DN28760_c7_g1_i1"	-0.707308233732066	0.856628352101949	-0.418583830240511	0.132047666303318	0.0125113377613934	-0.377842092164432	0.770043324927927
"TRINITY_DN28791_c8_g1_i1"	-0.595696864686545	0.304501386165832	-0.33686469016071	0.416493112954772	-0.200416380084465	-0.411165600851292	0.95376209366111
"TRINITY_DN28777_c0_g2_i1"	-0.702941811167842	0.951515691546065	-0.475778801580791	0.0221468463218713	0.0202216423338273	-0.39208813961279	0.600158961202625
"TRINITY_DN28777_c1_g1_i1"	-0.85704302569991	0.86535355503912	-0.403125865622495	0.257490041860986	-0.0131757238556103	-0.39670466446162	0.803046522356142
"TRINITY_DN28710_c0_g1_i8"	-0.613519237990662	0.816515808504753	-0.260197238466396	-0.00719927911469245	0.279758921840529	-0.263836915454854	0.353438750277505
"TRINITY_DN28710_c0_g1_i2"	-0.662461817546877	0.974533479908277	-0.310552711971566	-0.0176286236360634	0.129068650334975	-0.305538978311133	0.386155697453531
"TRINITY_DN28769_c0_g1_i1"	-0.67650489701805	0.985433114363344	-0.379440579439962	-0.0410093583448405	0.10291806467471	-0.347306407851887	0.479183172082718
"TRINITY_DN28722_c2_g1_i1"	0.848147630721934	-0.591882679640178	0.254116354927833	-0.429848587395693	-0.108117407329947	0.406999933996643	-0.474382446128889
"TRINITY_DN28783_c1_g1_i5"	-0.780612519249852	0.951019650260536	-0.400394811465212	0.109490376004887	0.0158543846471864	-0.396850768634876	0.65388054884933
"TRINITY_DN28729_c0_g1_i3"	-0.661176191778332	0.317155567171487	-0.34421681517232	0.420159925418116	-0.126359803146063	-0.347342516285987	0.96036917823452
"TRINITY_DN28789_c2_g1_i24"	0.70952879270914	-0.447621596338448	0.226375692123107	-0.56285067455703	0.0482997792596616	0.389611845336268	-0.74478583965663
"TRINITY_DN28789_c2_g1_i13"	0.775761103678017	-0.55365459863867	0.723554542172027	-0.584020036067475	0.349963348821159	0.196982131307246	-0.683528813585967
