"id072_TPM"	"id294_TPM"
"TRINITY_DN3559_c0_g1_i2"	148.847	21.0044
"TRINITY_DN3559_c0_g1_i7"	473.211	61.8034
"TRINITY_DN3559_c0_g1_i11"	244.16	56.8403
"TRINITY_DN3559_c0_g1_i8"	162.736	32.8298
"TRINITY_DN51127_c3_g1_i1"	415.388	58.9905
"TRINITY_DN2602_c26_g1_i5"	220.452	141.156
"TRINITY_DN2636_c0_g1_i23"	70.1576	24.8157
"TRINITY_DN2621_c2_g1_i1"	304.825	197.749
"TRINITY_DN2639_c1_g1_i2"	326.334	263.075
"TRINITY_DN1784_c4_g1_i12"	351.215	88.2996
"TRINITY_DN1777_c1_g1_i39"	72.3406	33.92
"TRINITY_DN1708_c4_g1_i7"	139.514	16.6292
"TRINITY_DN1748_c4_g2_i4"	771.944	152.924
"TRINITY_DN24067_c2_g1_i2"	160.683	62.9406
"TRINITY_DN24067_c2_g1_i8"	66.4017	23.3294
"TRINITY_DN24067_c2_g1_i7"	132.226	30.0063
"TRINITY_DN74963_c0_g1_i2"	75.8529	43.7932
"TRINITY_DN23135_c0_g2_i13"	239.616	256.786
"TRINITY_DN40411_c0_g1_i1"	126.463	177.641
"TRINITY_DN7518_c1_g2_i1"	79.0652	44.7743
"TRINITY_DN89388_c5_g1_i1"	142.483	44.1599
"TRINITY_DN90255_c0_g1_i4"	212.467	231.211
"TRINITY_DN5750_c9_g1_i1"	193.929	165.053
"TRINITY_DN5702_c0_g1_i16"	133.29	27.9646
"TRINITY_DN5762_c0_g1_i11"	160.817	234.842
"TRINITY_DN5765_c0_g1_i1"	143.859	38.8428
"TRINITY_DN13327_c3_g1_i2"	248.438	9.28623
"TRINITY_DN191_c5_g1_i7"	226.274	129.36
"TRINITY_DN114_c0_g1_i1"	114.461	24.0402
"TRINITY_DN30634_c0_g2_i1"	142.707	23.3456
"TRINITY_DN21518_c1_g1_i7"	191.983	115.778
"TRINITY_DN21547_c0_g2_i4"	379.7	96.2899
"TRINITY_DN21635_c0_g1_i5"	686.039	40.9497
"TRINITY_DN12511_c9_g1_i5"	353.433	191.764
"TRINITY_DN28912_c0_g1_i1"	149.457	59.3984
"TRINITY_DN28920_c0_g1_i9"	353.859	145.62
"TRINITY_DN96815_c0_g1_i7"	194.467	46.7455
"TRINITY_DN96815_c0_g1_i3"	112.634	36.4454
"TRINITY_DN20840_c0_g1_i6"	152.677	189.969
"TRINITY_DN11797_c1_g3_i3"	156.733	147.711
"TRINITY_DN3046_c13_g1_i1"	96.3795	35.8201
"TRINITY_DN3092_c1_g1_i24"	527.692	420.528
"TRINITY_DN27012_c7_g1_i1"	85.1231	44.7057
"TRINITY_DN545_c7_g1_i1"	95.8146	47.4187
