"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEpink"
"TRINITY_DN21_c0_g1_i7"	0.238675675174754	0.959031820298284	-0.0702258994378357	-0.0134007249264814	-0.207456242928244
"TRINITY_DN21_c0_g1_i3"	0.364345766909716	0.957550751520874	-0.137861118879686	0.0709617226964583	-0.205575429811485
"TRINITY_DN21_c0_g1_i8"	0.19013807461622	0.923309645300914	0.0118628646704723	-0.0781795932236916	-0.32638269279654
"TRINITY_DN29_c0_g1_i11"	-0.243047304802774	-0.271612029285955	0.298787584958587	-0.707601952194905	-0.220139840773748
"TRINITY_DN29_c0_g1_i8"	0.162802461247718	0.136063939803762	-0.0881800239823101	-0.386205812107844	-0.0986594990598672
"TRINITY_DN29_c0_g1_i1"	-0.132730649225102	0.894616587798828	0.312787375900785	-0.141458254698217	-0.476492932404168
"TRINITY_DN29_c0_g1_i7"	-0.639784951838369	0.366724633522976	0.599026836461105	0.101602207342319	-0.450711404241882
"TRINITY_DN29_c0_g1_i2"	-0.109822945309637	0.63900079449108	0.214045699119603	-0.255787099753928	-0.278789965722545
"TRINITY_DN64_c0_g1_i3"	0.286951691284465	0.969111693045475	-0.0958414628036624	-0.14194435721491	-0.166532396698705
"TRINITY_DN64_c0_g1_i5"	0.302192958576344	0.969454808610683	-0.103082273909633	0.0341885772442541	-0.211219551306457
"TRINITY_DN8_c0_g2_i2"	0.351404896968746	0.951261835063071	-0.130625168657059	-0.0676401849719653	-0.187773575489368
"TRINITY_DN8_c0_g1_i1"	0.184916576931851	0.910802823125379	-0.0433440593236227	-0.100408767536143	-0.228224752764773
"TRINITY_DN8_c0_g1_i8"	0.2099765643771	0.955246539696167	-0.0179115502158177	0.0180622232569745	-0.267064987329289
"TRINITY_DN8_c0_g1_i3"	0.33118957928761	0.955884013047633	-0.108915531673957	0.0165851803088164	-0.201672609274295
"TRINITY_DN8_c0_g1_i5"	0.173446016655997	0.919575085675971	0.0173507217170674	-0.08501167763057	-0.277228158492465
"TRINITY_DN86_c0_g2_i1"	0.159148426994157	0.967872188110817	0.0852619707931716	0.0737186803447331	-0.361466372986489
"TRINITY_DN86_c0_g1_i1"	0.339166721841007	0.966056285622939	-0.153078217195428	0.0595479441622953	-0.151249596999848
